# M=12, N=6, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:37:50
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      3.192145791047E-01      2.208107671665E-01      1.763396054425E-01      1.505310592810E-01      1.332415020434E-01      1.205395755606E-01      1.106242445564E-01      1.025649348461E-01      9.583049495857E-02      9.009066813143E-02      4.338548060411E-01
     -1.990000000000E+00      3.156549802578E-01      2.174238819191E-01      1.734448667378E-01      1.480800202227E-01      1.311438864336E-01      1.187170617788E-01      1.090167082646E-01      1.011275700577E-01      9.452996677518E-02      8.890198707347E-02      4.309469069639E-01
     -1.980000000000E+00      3.121490535936E-01      2.140987053941E-01      1.706096085826E-01      1.456826166815E-01      1.290937659981E-01      1.169367748668E-01      1.074471973717E-01      9.972493233987E-02      9.326153344209E-02      8.774322953934E-02      4.280807655496E-01
     -1.970000000000E+00      3.086947269841E-01      2.108330249757E-01      1.678315273229E-01      1.433365245616E-01      1.270888601609E-01      1.151965194548E-01      1.059136230840E-01      9.835504934146E-02      9.202334331238E-02      8.661266552560E-02      4.252546488180E-01
     -1.960000000000E+00      3.052900069007E-01      2.076247395452E-01      1.651084438442E-01      1.410395513511E-01      1.251270219137E-01      1.134942300352E-01      1.044140182876E-01      9.701605963933E-02      9.081364401600E-02      8.550865295727E-02      4.224668570408E-01
     -1.950000000000E+00      3.019329803635E-01      2.044718560308E-01      1.624382981630E-01      1.387896303579E-01      1.232062322720E-01      1.118279660069E-01      1.029465334243E-01      9.570620950836E-02      8.963078003358E-02      8.442963587437E-02      4.197157301263E-01
     -1.940000000000E+00      2.986218158073E-01      2.013724854902E-01      1.598191438218E-01      1.365848147563E-01      1.213245944740E-01      1.101959063976E-01      1.015094319947E-01      9.442384929882E-02      8.847318988676E-02      8.337414227470E-02      4.169996526315E-01
     -1.930000000000E+00      2.953547630562E-01      1.983248388704E-01      1.572491421991E-01      1.344232715559E-01      1.194803280423E-01      1.085963443815E-01      1.001010858055E-01      9.316742952499E-02      8.733940303359E-02      8.234078168326E-02      4.143170575789E-01
     -1.920000000000E+00      2.921301525702E-01      1.953272225638E-01      1.547265568241E-01      1.323032755799E-01      1.176717628013E-01      1.070276816934E-01      9.871997005721E-02      9.193549675385E-02      8.622803654618E-02      8.132824251060E-02      4.116664292383E-01
     -1.910000000000E+00      2.889463941099E-01      1.923780338568E-01      1.522497477654E-01      1.302232035219E-01      1.158973329281E-01      1.054884230183E-01      9.736465835146E-02      9.072668936918E-02      8.513779163698E-02      8.033528925499E-02      4.090463050238E-01
     -1.900000000000E+00      2.858019749387E-01      1.894757563476E-01      1.498171661469E-01      1.281815281344E-01      1.141555710966E-01      1.039771704231E-01      9.603381768563E-02      8.953973327389E-02      8.406745009014E-02      7.936075959582E-02      4.064552766367E-01
     -1.890000000000E+00      2.826954576714E-01      1.866189553938E-01      1.474273488313E-01      1.261768125912E-01      1.124451027626E-01      1.024926178818E-01      9.472620348724E-02      8.837343758273E-02      8.301587064570E-02      7.840356141931E-02      4.038919905742E-01
     -1.880000000000E+00      2.796254778539E-01      1.838062736385E-01      1.450789132999E-01      1.242077050516E-01      1.107646406248E-01      1.010335459346E-01      9.344065473145E-02      8.722669034804E-02      8.198198537646E-02      7.746266981118E-02      4.013551481090E-01
     -1.870000000000E+00      2.765907413520E-01      1.810364266503E-01      1.427705527479E-01      1.222729334478E-01      1.091129792892E-01      9.959881651297E-02      9.217608917553E-02      8.609845435284E-02      8.096479609021E-02      7.653712404567E-02      3.988435048321E-01
     -1.860000000000E+00      2.735900216100E-01      1.783081987041E-01      1.405010314094E-01      1.203713005103E-01      1.074889901540E-01      9.818736795105E-02      9.093149873571E-02      8.498776299833E-02      7.996337078404E-02      7.562602459514E-02      3.963558698410E-01
     -1.850000000000E+00      2.706221568312E-01      1.756204387230E-01      1.382691801169E-01      1.185016790365E-01      1.058916165270E-01      9.679821020236E-02      8.970594502607E-02      8.389371630712E-02      7.897684017206E-02      7.472853018037E-02      3.938911046420E-01
     -1.840000000000E+00      2.676860471227E-01      1.729720563934E-01      1.360738920994E-01      1.166630074083E-01      1.043198689831E-01      9.543042026987E-02      8.849855507277E-02      8.281547705783E-02      7.800439430334E-02      7.384385487750E-02      3.914481218293E-01
     -1.830000000000E+00      2.647806516394E-01      1.703620184615E-01      1.339141190160E-01      1.148542853544E-01      1.027728209630E-01      9.408313785643E-02      8.730851721300E-02      8.175226706285E-02      7.704527928270E-02      7.297126529466E-02      3.890258835925E-01
     -1.820000000000E+00      2.619049857551E-01      1.677893452164E-01      1.317888672225E-01      1.130745699578E-01      1.012496046129E-01      9.275556123740E-02      8.613507718371E-02      8.070336359684E-02      7.609879410411E-02      7.211007782808E-02      3.866234000954E-01
     -1.810000000000E+00      2.590581182813E-01      1.652531071587E-01      1.296971942623E-01      1.113229718988E-01      9.974940686079E-02      9.144694335466E-02      8.497753440248E-02      7.966809598113E-02      7.516428760316E-02      7.125965600519E-02      3.842397277675E-01
     -1.800000000000E+00      2.562391687535E-01      1.627524218551E-01      1.276382055773E-01      1.095986519279E-01      9.827146572506E-02      9.015658812888E-02      8.383523844010E-02      7.864584232605E-02      7.424115553296E-02      7.041940792012E-02      3.818739675348E-01
     -1.790000000000E+00      2.534473047950E-01      1.602864509732E-01      1.256110514262E-01      1.079008175597E-01      9.681506684598E-02      8.888384698506E-02      8.270758568267E-02      7.763602643183E-02      7.332883776597E-02      6.958878376527E-02      3.795252630218E-01
     -1.780000000000E+00      2.506817395712E-01      1.578543974936E-01      1.236149240034E-01      1.062287199780E-01      9.537954023386E-02      8.762811558498E-02      8.159401617935E-02      7.663811484645E-02      7.242681562236E-02      6.876727346104E-02      3.771927987409E-01
