# M=24, N=12, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:51:45
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      3.561192330577E-01      2.576753068913E-01      2.083116698038E-01      1.777174879836E-01      1.564817291654E-01      1.406701162238E-01      1.283249865251E-01      1.183519055347E-01      1.100857063662E-01      1.030959091257E-01      4.601856630838E-01
     -1.990000000000E+00      3.497361329611E-01      2.514547023921E-01      2.028553003586E-01      1.729740710383E-01      1.523244972571E-01      1.369855836037E-01      1.250236125175E-01      1.153648583869E-01      1.073600203138E-01      1.005904125472E-01      4.550333561158E-01
     -1.980000000000E+00      3.439273982382E-01      2.458205809355E-01      1.979352960926E-01      1.687118146042E-01      1.485991537233E-01      1.336909228620E-01      1.220765821084E-01      1.127020313817E-01      1.049328516180E-01      9.836133914713E-02      4.503486586364E-01
     -1.970000000000E+00      3.385730419891E-01      2.406496407421E-01      1.934378565698E-01      1.648278572143E-01      1.452128075499E-01      1.307018508850E-01      1.194069490899E-01      1.102927350669E-01      1.027388746997E-01      9.634799375009E-02      4.460336784009E-01
     -1.960000000000E+00      3.335846150474E-01      2.358515387205E-01      1.892799834125E-01      1.612474121416E-01      1.420980695731E-01      1.279573250421E-01      1.169590598857E-01      1.080859000090E-01      1.007309426928E-01      9.450661042506E-02      4.420160529665E-01
     -1.950000000000E+00      3.288956615031E-01      2.313587171995E-01      1.853998409841E-01      1.579149004330E-01      1.392049464504E-01      1.254121219828E-01      1.146917313354E-01      1.060437743847E-01      9.887423628272E-02      9.280489453106E-02      4.382413133714E-01
     -1.940000000000E+00      3.244553448691E-01      2.271196985640E-01      1.817504535334E-01      1.547881811960E-01      1.364955825225E-01      1.230320337270E-01      1.125738408108E-01      1.041378542092E-01      9.714248817053E-02      9.121850302499E-02      4.346677348823E-01
     -1.930000000000E+00      3.202241270482E-01      2.230945823845E-01      1.782954993351E-01      1.518347173988E-01      1.339407754616E-01      1.207906906496E-01      1.105814139408E-01      1.023461984798E-01      9.551549431565E-02      8.972872585339E-02      4.312628250031E-01
     -1.920000000000E+00      3.161707889004E-01      2.192519622371E-01      1.750064456934E-01      1.490289735103E-01      1.315176175872E-01      1.186674149974E-01      1.086956597941E-01      1.006516197139E-01      9.397743800958E-02      8.832092564143E-02      4.280008929583E-01
     -1.910000000000E+00      3.122703398763E-01      2.155667737754E-01      1.718605578710E-01      1.463506128363E-01      1.292078660622E-01      1.166457405105E-01      1.069016177119E-01      9.904043910836E-02      9.251573785528E-02      8.698346585814E-02      4.248613408332E-01
