# M=34, N=17, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.05, Vstep=0.05, PBC
# start time 2022-02-04 16:49:37
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -1.150000000000E+00      1.261394215357E-01      6.295512378613E-02      4.799207447350E-02      4.190810733449E-02      3.852660992298E-02      3.627278799817E-02      3.459565877223E-02      3.325647151256E-02      3.213531686714E-02      3.116526996801E-02      2.573952865463E-01
     -9.500000000000E-01      9.044669560333E-02      4.080712790875E-02      3.092631471228E-02      2.717705933058E-02      2.516947097079E-02      2.387115878128E-02      2.293049760954E-02      2.219633148893E-02      2.159301733492E-02      2.107849249883E-02      2.147690452461E-01
     -7.500000000000E-01      5.990261674364E-02      2.418635621931E-02      1.825124938328E-02      1.611555435169E-02      1.500409816342E-02      1.430490648773E-02      1.381238541124E-02      1.343836786636E-02      1.313876516013E-02      1.288908037249E-02      1.713800247675E-01
     -5.500000000000E-01      3.483986355868E-02      1.238830178853E-02      9.320241666988E-03      8.257151749226E-03      7.714872067197E-03      7.381251505007E-03      7.152023302693E-03      6.982498024185E-03      6.850330734651E-03      6.743107436183E-03      1.270994474596E-01
     -3.500000000000E-01      1.575405642929E-02      4.786918757730E-03      3.594499310713E-03      3.191136926422E-03      2.987942075634E-03      2.864832896136E-03      2.781769764176E-03      2.721592762358E-03      2.675721929051E-03      2.639390616690E-03      8.183538831040E-02
     -1.500000000000E-01      3.502424319181E-03      8.406231757663E-04      6.305999524940E-04      5.604152547525E-04      5.252785182623E-04      5.041610634322E-04      4.900532652541E-04      4.799509986553E-04      4.723522010961E-04      4.664223933863E-04      3.550358691635E-02
      5.000000000000E-02      4.738670909390E-04      8.948769091655E-05      6.711726978592E-05      5.965851169076E-05      5.592865112058E-05      5.369034967240E-05      5.219782780319E-05      5.113146570901E-05      5.033145348676E-05      4.970900785839E-05      1.182619884581E-02
      2.500000000000E-01      7.987470728059E-03      2.148008292110E-03      1.611872573442E-03      1.432068308795E-03      1.341898992555E-03      1.287585141823E-03      1.251199259943E-03      1.225058131348E-03      1.205320148177E-03      1.189851083777E-03      5.685977512436E-02
      4.500000000000E-01      2.118334220956E-02      6.696619617204E-03      5.030910809003E-03      4.465368540877E-03      4.180083424089E-03      4.006944130062E-03      3.889884732597E-03      3.804876736585E-03      3.739905885144E-03      3.688297584434E-03      9.866300798320E-02
      6.500000000000E-01      3.809076935998E-02      1.347365806393E-02      1.013959080733E-02      8.987777582113E-03      8.401975880126E-03      8.042911867542E-03      7.797273065257E-03      7.616493284945E-03      7.476289234690E-03      7.363170069720E-03      1.376874514197E-01
      8.500000000000E-01      5.764940012905E-02      2.226858375525E-02      1.679581898439E-02      1.486450269541E-02      1.387247248936E-02      1.325758471372E-02      1.283152265277E-02      1.251355341946E-02      1.226330871966E-02      1.205836062641E-02      1.743031889486E-01
      1.050000000000E+00      7.919319410402E-02      3.291683607426E-02      2.489534831614E-02      2.199512419687E-02      2.048863903457E-02      1.954401856933E-02      1.888115668786E-02      1.837989386639E-02      1.798013969977E-02      1.764850467649E-02      2.088206778178E-01
      1.250000000000E+00      1.022805866979E-01      4.529651316574E-02      3.436908391569E-02      3.031214676567E-02      2.817903813163E-02      2.682621739959E-02      2.586570798477E-02      2.513085608227E-02      2.453829055990E-02      2.404167041322E-02      2.415067394821E-01
      1.450000000000E+00      1.266159718758E-01      5.932697364857E-02      4.518238635641E-02      3.978095651976E-02      3.690405029972E-02      3.505971999437E-02      3.373657360060E-02      3.271441922993E-02      3.188301522950E-02      3.118104063207E-02      2.725967360885E-01
      1.650000000000E+00      1.520079428972E-01      7.496928055167E-02      5.733632532307E-02      5.040134668774E-02      4.665749118455E-02      4.423321699873E-02      4.247863257844E-02      4.111282393243E-02      3.999493072951E-02      3.904649334206E-02      3.023039322836E-01
      1.850000000000E+00      1.783446222091E-01      9.222782640537E-02      7.087046665803E-02      6.221045702713E-02      5.746953027209E-02      5.437133647071E-02      5.211288037344E-02      5.034504727465E-02      4.889230462191E-02      4.765665202384E-02      3.308259248347E-01
      4.000000000000E-01      1.748198814455E-02      5.341250983659E-03      4.011306535893E-03      3.561385773568E-03      3.334813755465E-03      3.197603297330E-03      3.105077179181E-03      3.038087921915E-03      2.987061782443E-03      2.946680011991E-03      8.848875822774E-02
      6.000000000000E-01      3.358263461706E-02      1.158281645406E-02      8.712463453650E-03      7.725546696775E-03      7.224726728603E-03      6.918559757738E-03      6.709755140215E-03      6.556614832105E-03      6.438289709965E-03      6.343196860627E-03      1.281704511130E-01
      8.000000000000E-01      5.255229097450E-02      1.989042269844E-02      1.499299474740E-02      1.327441521371E-02      1.239396148160E-02      1.184978914396E-02      1.147393874377E-02      1.119441098839E-02      1.097520511430E-02      1.079632002328E-02      1.653572398394E-01
      1.000000000000E+00      7.364820678160E-02      3.008839916900E-02      2.273952226605E-02      2.009916408612E-02      1.873163467174E-02      1.787661988947E-02      1.727849246901E-02      1.682761672999E-02      1.646916771321E-02      1.617268307485E-02      2.003728041430E-01
      1.200000000000E+00      9.638221264730E-02      4.204438624269E-02      3.187430655301E-02      2.812412959706E-02      2.615844976919E-02      2.491529609765E-02      2.403513591695E-02      2.336359744417E-02      2.282346303698E-02      2.237181682279E-02      2.334936085072E-01
      1.400000000000E+00      1.204271053592E-01      5.566745321066E-02      4.235405054349E-02      3.730639698638E-02      3.462673532932E-02      3.291336700899E-02      3.168718557446E-02      3.074204892582E-02      2.997477587481E-02      2.932798596549E-02      2.649619000088E-01
      1.600000000000E+00      1.455681950978E-01      7.090810965710E-02      5.417068108518E-02      4.763692890453E-02      4.412172048261E-02      4.185101758070E-02      4.021094273329E-02      3.893644963117E-02      3.789469803185E-02      3.701172653645E-02      2.949957355048E-01
      1.800000000000E+00      1.716755332271E-01      8.775975919577E-02      6.735383670135E-02      5.914320301036E-02      5.466415987775E-02      5.174357808983E-02      4.961807733896E-02      4.795631542937E-02      4.659183050866E-02      4.543175066596E-02      3.237962328330E-01
      2.000000000000E+00      1.986847805713E-01      1.062598770332E-01      8.197385252993E-02      7.189254839236E-02      6.631374771397E-02      6.264484108831E-02      5.995878644231E-02      5.785016389447E-02      5.611450475725E-02      5.463735790176E-02      3.515507483875E-01
     -2.000000000000E+00      3.654467094774E-01      2.670166790929E-01      2.165539998401E-01      1.849033609931E-01      1.627873680020E-01      1.462607952304E-01      1.333337365860E-01      1.228821470045E-01      1.142175836247E-01      1.068920076935E-01      4.652237402647E-01
     -1.800000000000E+00      2.786715353022E-01      1.845898436182E-01      1.457327069736E-01      1.241992552039E-01      1.101140641410E-01      9.991709088818E-02      9.203752770245E-02      8.567646642238E-02      8.038162150351E-02      7.587462770586E-02      3.972358746163E-01
     -1.600000000000E+00      2.246232361385E-01      1.372023580574E-01      1.067880511612E-01      9.158480971079E-02      8.215650373005E-02      7.547774655865E-02      7.033699426555E-02      6.616480981469E-02      6.265816210371E-02      5.963896344215E-02      3.522922933362E-01
     -1.400000000000E+00      1.776871541476E-01      9.959398974166E-02      7.668789906824E-02      6.631534834996E-02      6.020817187914E-02      5.598764750692E-02      5.276965595707E-02      5.015961768311E-02      4.795562415584E-02      4.604294085523E-02      3.099886040090E-01
     -1.200000000000E+00      1.358387253775E-01      6.944462375340E-02      5.303166480822E-02      4.622505184790E-02      4.240145881894E-02      3.983367680488E-02      3.791166600356E-02      3.637012107542E-02      3.507553408210E-02      3.395324320862E-02      2.679560939608E-01
     -1.000000000000E+00      9.889771827147E-02      4.579690261227E-02      3.475332889135E-02      3.049626763638E-02      2.819729763804E-02      2.669945224997E-02      2.560659507229E-02      2.474822203349E-02      2.403896694635E-02      2.343133679384E-02      2.254905663449E-01
     -8.000000000000E-01      6.703981193283E-02      2.786314769420E-02      2.104568416394E-02      1.856340298929E-02      1.726340718517E-02      1.644027826896E-02      1.585643743314E-02      1.540996693115E-02      1.504989768035E-02      1.474790727015E-02      1.823067902823E-01
     -6.000000000000E-01      4.056843510548E-02      1.492135809370E-02      1.123318445029E-02      9.944847276878E-03      9.284864308751E-03      8.876813189463E-03      8.594841489832E-03      8.385004631065E-03      8.220329806015E-03      8.085831782959E-03      1.382584817615E-01
     -4.000000000000E-01      1.992796785716E-02      6.324883881029E-03      4.751195455912E-03      4.216287134332E-03      3.946154088748E-03      3.781974591086E-03      3.670779485231E-03      3.589867461864E-03      3.527887856230E-03      3.478534736097E-03      9.324818151866E-02
     -2.000000000000E-01      5.850084466666E-03      1.511020674751E-03      1.133694034656E-03      1.007342926742E-03      9.440222332850E-04      9.059142756129E-04      8.804127796922E-04      8.621150558978E-04      8.483197593963E-04      8.375261430396E-04      4.719139804642E-02
      0.000000000000E+00     -1.261213355974E-13      1.367794766338E-13      1.025846074754E-13      9.148237722911E-14      8.570921750106E-14      8.215650382226E-14      7.949196856316E-14      7.815970093361E-14      7.682743330406E-14      7.593925488436E-14      2.829292355955E-12
      2.000000000000E-01      5.461629194279E-03      1.388496883977E-03      1.041734483591E-03      9.256872467671E-04      8.675509892120E-04      8.325795293769E-04      8.091905327410E-04      7.924201411709E-04      7.797864255870E-04      7.699105364893E-04      4.592404901890E-02
     -1.900000000000E+00      3.118694749535E-01      2.153402702694E-01      1.716674685564E-01      1.461415993932E-01      1.289755981675E-01      1.163978849163E-01      1.066481149427E-01      9.878919390265E-02      9.227188060834E-02      8.674983364278E-02      4.236895330135E-01
     -1.700000000000E+00      2.504253740928E-01      1.593519255683E-01      1.248436636839E-01      1.066840127202E-01      9.511841244696E-02      8.683523203588E-02      8.044584219893E-02      7.527312850748E-02      7.094616353938E-02      6.724202014257E-02      3.741170676109E-01
     -1.500000000000E+00      2.004745643491E-01      1.173867065644E-01      9.084375281088E-02      7.822783925198E-02      7.060743948786E-02      6.527279344355E-02      6.118163676355E-02      5.785838855964E-02      5.505569584734E-02      5.263094202080E-02      3.310280274263E-01
     -1.300000000000E+00      1.561525892176E-01      8.365419323688E-02      6.413043317909E-02      5.568405130478E-02      5.083046447209E-02      4.752265784608E-02      4.502102644367E-02      4.300058162672E-02      4.129676298335E-02      3.981698072487E-02      2.889982337909E-01
     -1.100000000000E+00      1.167475767692E-01      5.685887277459E-02      4.327424384932E-02      3.785349591185E-02      3.487097292974E-02      3.289812142460E-02      3.143923889802E-02      3.028013924099E-02      2.931340291347E-02      2.847916243591E-02      2.468002796173E-01
     -9.000000000000E-01      8.231696878496E-02      3.616249626368E-02      2.737313311854E-02      2.408688289137E-02      2.234115182634E-02      2.122036487027E-02      2.041406731122E-02      1.978892502767E-02      1.927823479967E-02      1.884491759483E-02      2.039993919094E-01
     -7.000000000000E-01      5.310728035971E-02      2.081059384290E-02      1.569029098503E-02      1.386763257326E-02      1.292454584602E-02      1.233491305880E-02      1.192233774911E-02      1.161119131029E-02      1.136365693035E-02      1.115872368859E-02      1.603973787892E-01
