# M=32, N=16, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 21:58:59
#                       V#               S₀₋₅(n=1)#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)
     -1.780000000000E+00      2.723520768720E-01      1.788267443767E-01      1.409320760475E-01      1.201765383421E-01      1.066822552535E-01      9.693596488352E-02      8.940631165418E-02      8.332259237345E-02      7.825207106298E-02      7.392994048663E-02      3.922930024253E-01
     -1.770000000000E+00      2.694488647998E-01      1.762099644409E-01      1.387583689590E-01      1.183523747348E-01      1.051210817763E-01      9.557511906901E-02      8.820151488805E-02      8.224214188111E-02      7.727277415254E-02      7.303444331397E-02      3.899206730195E-01
     -1.760000000000E+00      2.665811070699E-01      1.736345325726E-01      1.366226710748E-01      1.165612562955E-01      1.035883912325E-01      9.423899756979E-02      8.701844051610E-02      8.118102075217E-02      7.631087772465E-02      7.215476615639E-02      3.875718524093E-01
     -1.750000000000E+00      2.637464418136E-01      1.710981930572E-01      1.345229204336E-01      1.148012976752E-01      1.020824555202E-01      9.292601309051E-02      8.585562736697E-02      8.013788048898E-02      7.536513368311E-02      7.128975024860E-02      3.852444741406E-01
     -1.740000000000E+00      2.609427732215E-01      1.685989514339E-01      1.324572879892E-01      1.130708210890E-01      1.006017331260E-01      9.163474710879E-02      8.471176755135E-02      7.911151230429E-02      7.443442177224E-02      7.043835432689E-02      3.829366881083E-01
     -1.730000000000E+00      2.581682362549E-01      1.661350387400E-01      1.304241456582E-01      1.113683283093E-01      9.914484447873E-02      9.036392798498E-02      8.358568683076E-02      7.810082935571E-02      7.351773336628E-02      6.959963972621E-02      3.806468321726E-01
     -1.720000000000E+00      2.554211669282E-01      1.637048814172E-01      1.284220394557E-01      1.096924771224E-01      9.771055122430E-02      8.911241255076E-02      8.247632810799E-02      7.710485181180E-02      7.261415785100E-02      6.877275786885E-02      3.783734082706E-01
     -1.710000000000E+00      2.527000771357E-01      1.613070758388E-01      1.264496667777E-01      1.080420614196E-01      9.629773868972E-02      8.787917052335E-02      8.138273745043E-02      7.612269421416E-02      7.172287110685E-02      6.795693969160E-02      3.761150621909E-01
     -1.700000000000E+00      2.500036332074E-01      1.589403666356E-01      1.245058570933E-01      1.064159942705E-01      9.490540096009E-02      8.666327123169E-02      8.030405218421E-02      7.515355471543E-02      7.084312570808E-02      6.715148665524E-02      3.738705663511E-01
     -1.690000000000E+00      2.473306375502E-01      1.566036281670E-01      1.225895554550E-01      1.048132934593E-01      9.353262811076E-02      8.546387224773E-02      7.923949069298E-02      7.419670586056E-02      6.997424253302E-02      6.635576305514E-02      3.716388050576E-01
     -1.680000000000E+00      2.446800128557E-01      1.542958486113E-01      1.206998083549E-01      1.032330690683E-01      9.217859522862E-02      8.428020959772E-02      7.818834362931E-02      7.325148664596E-02      6.911560354232E-02      6.556918940838E-02      3.694187618276E-01
     -1.670000000000E+00      2.420507884549E-01      1.520161162499E-01      1.188357515451E-01      1.016745127735E-01      9.084255292777E-02      8.311158929166E-02      7.714996630375E-02      7.231729564338E-02      6.826664552974E-02      6.479123673690E-02      3.672095084365E-01
     -1.660000000000E+00      2.394420884831E-01      1.497636075991E-01      1.169965995092E-01      1.001368885777E-01      8.952381912003E-02      8.195737995930E-02      7.612377206164E-02      7.139358501602E-02      6.742685468753E-02      6.402142160096E-02      3.650101954148E-01
     -1.650000000000E+00      2.368531215722E-01      1.475375771072E-01      1.151816363322E-01      9.861952476017E-02      8.822177184529E-02      8.081700641970E-02      7.510922649280E-02      7.047985528658E-02      6.659576185773E-02      6.325930176415E-02      3.628200437714E-01
     -1.640000000000E+00      2.342831718449E-01      1.453373481796E-01      1.133902077561E-01      9.712180685733E-02      8.693584300048E-02      7.968994404246E-02      7.410584234693E-02      6.957565074193E-02      6.577293836394E-02      6.250447239224E-02      3.606383377579E-01
     -1.630000000000E+00      2.317315910181E-01      1.431623053423E-01      1.116217142488E-01      9.564317152326E-02      8.566551283537E-02      7.857571378402E-02      7.311317505072E-02      6.868055537999E-02      6.495799233688E-02      6.175656270638E-02      3.584644185205E-01
     -1.620000000000E+00      2.291977914590E-01      1.410118873766E-01      1.098756049399E-01      9.418310114346E-02      8.441030510436E-02      7.747387780172E-02      7.213081873949E-02      6.779418932011E-02      6.415056546176E-02      6.101523302361E-02      3.562976785135E-01
     -1.610000000000E+00      2.266812400602E-01      1.388855812943E-01      1.081513723021E-01      9.274111909580E-02      8.316978278272E-02      7.638403556496E-02      7.115840273147E-02      6.691620561169E-02      6.335033008768E-02      6.028017212980E-02      3.541375565672E-01
     -1.600000000000E+00      2.241814528235E-01      1.367829170350E-01      1.064485474757E-01      9.131678556987E-02      8.194354426975E-02      7.530582039551E-02      7.019558838413E-02      6.604628738633E-02      6.255698664898E-02      5.955109493855E-02      3.519835335210E-01
     -1.590000000000E+00      2.216979900581E-01      1.347034627917E-01      1.047666961500E-01      8.990969386987E-02      8.073122001426E-02      7.423889638016E-02      6.924206628202E-02      6.518414530762E-02      6.177026135643E-02      5.882774039728E-02      3.498351283461E-01
     -1.580000000000E+00      2.192304521122E-01      1.326468208808E-01      1.031054149276E-01      8.851946713716E-02      7.953246950705E-02      7.318295560748E-02      6.829755371296E-02      6.432951527993E-02      6.098990412296E-02      5.810986960779E-02      3.476918946949E-01
