# M=14, N=7, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:38:58
#          				V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      3.298112459965E-01      2.323467735122E-01      1.862520712086E-01      1.588277903133E-01      1.402096978052E-01      1.264777864195E-01      1.157771924935E-01      1.071167199785E-01      9.991464151712E-02      9.380279602515E-02      4.320999486042E-01
     -1.990000000000E+00      3.258110967322E-01      2.284794088108E-01      1.829198176574E-01      1.559840197305E-01      1.377591028039E-01      1.243360182096E-01      1.138786745473E-01      1.054122915270E-01      9.836769007948E-02      9.238587810113E-02      4.293097335700E-01
     -1.980000000000E+00      3.219095518899E-01      2.247174701699E-01      1.796873045746E-01      1.532309495224E-01      1.353902468973E-01      1.222680903467E-01      1.120472989485E-01      1.037693611340E-01      9.687743892806E-02      9.102152603208E-02      4.265651532896E-01
     -1.970000000000E+00      3.180989940572E-01      2.210540798092E-01      1.765478306344E-01      1.505622158149E-01      1.330971530371E-01      1.202684315805E-01      1.102778990129E-01      1.021831494207E-01      9.543946819124E-02      8.970564600639E-02      4.238637008704E-01
     -1.960000000000E+00      3.143729107776E-01      2.174829484058E-01      1.734952907942E-01      1.479720219686E-01      1.308743722060E-01      1.183319568098E-01      1.085657527399E-01      1.006492829302E-01      9.404972944800E-02      8.843448625001E-02      4.212029398087E-01
     -1.950000000000E+00      3.107254817051E-01      2.139983302388E-01      1.705241255538E-01      1.454550897982E-01      1.287169389856E-01      1.164540271803E-01      1.069065469272E-01      9.916376153822E-02      9.270451567692E-02      8.720460881373E-02      4.185805202367E-01
     -1.940000000000E+00      3.071514426898E-01      2.105949793787E-01      1.676292727916E-01      1.430066135869E-01      1.266203296344E-01      1.146304123610E-01      1.052963432326E-01      9.772292769429E-02      9.140043301468E-02      8.601286321080E-02      4.159941898377E-01
     -1.930000000000E+00      3.036460076030E-01      2.072681076748E-01      1.648061226121E-01      1.406222171861E-01      1.245804229242E-01      1.128572552254E-01      1.037315463767E-01      9.632343764797E-02      9.013437442988E-02      8.485636196597E-02      4.134418005652E-01
     -1.920000000000E+00      3.002048126391E-01      2.040133450153E-01      1.620504754148E-01      1.382979143188E-01      1.225934638354E-01      1.111310390316E-01      1.022088745681E-01      9.496223471380E-02      8.890349533584E-02      8.373245806635E-02      4.109213120994E-01
     -1.910000000000E+00      2.968238720880E-01      2.008267021326E-01      1.593585032473E-01      1.360300720811E-01      1.206560301028E-01      1.094485571045E-01      1.007253321523E-01      9.363652456393E-02      8.770519110926E-02      8.263872425651E-02      4.084307928032E-01
     -1.900000000000E+00      2.934995411144E-01      1.977045360742E-01      1.567267143915E-01      1.338153775525E-01      1.187650015392E-01      1.078068849616E-01      9.927818443075E-02      9.234375248991E-02      8.653707644351E-02      8.157293408999E-02      4.059684187932E-01
     -1.890000000000E+00      2.902284834166E-01      1.946435183549E-01      1.541519210634E-01      1.316508073715E-01      1.169175320089E-01      1.062033547784E-01      9.786493455982E-02      9.108158254489E-02      8.539696644170E-02      8.053304463138E-02      4.035324716201E-01
     -1.880000000000E+00      2.870076426102E-01      1.916406057330E-01      1.516312100624E-01      1.295336001008E-01      1.151110239002E-01      1.046355320660E-01      9.648330241708E-02      8.984787845897E-02      8.428285934082E-02      7.951718069397E-02      4.011213349503E-01
     -1.870000000000E+00      2.838342166446E-01      1.886930135040E-01      1.491619161768E-01      1.274612311869E-01      1.133431049280E-01      1.031011944169E-01      9.513120530820E-02      8.864068621073E-02      8.319292075179E-02      7.852362049526E-02      3.987334905589E-01
     -1.860000000000E+00      2.807056347918E-01      1.857981911726E-01      1.467415981426E-01      1.254313903145E-01      1.116116070913E-01      1.015983121710E-01      9.380674038376E-02      8.745821813414E-02      8.212546929929E-02      7.755078261369E-02      3.963675138758E-01
     -1.850000000000E+00      2.776195368759E-01      1.829538003521E-01      1.443680169489E-01      1.234419609566E-01      1.099145476124E-01      1.001250308498E-01      9.250816863380E-02      8.629883844056E-02      8.107896354686E-02      7.659721413445E-02      3.940220692714E-01
     -1.840000000000E+00      2.745737544852E-01      1.801576947245E-01      1.420391162882E-01      1.214910019269E-01      1.082501116881E-01      9.867965521529E-02      9.123390033175E-02      8.516105003919E-02      8.005199009804E-02      7.566157987770E-02      3.916959052250E-01
     -1.830000000000E+00      2.715662939572E-01      1.774079019019E-01      1.397530049556E-01      1.195767307521E-01      1.066166368929E-01      9.726063481029E-02      8.998248180417E-02      8.404348254474E-02      7.904325276964E-02      7.474265260976E-02      3.893878494839E-01
     -1.820000000000E+00      2.685953209568E-01      1.747026070262E-01      1.375079410161E-01      1.176975086906E-01      1.050125990809E-01      9.586655085153E-02      8.875258341017E-02      8.294488136751E-02      7.805156274031E-02      7.383930414502E-02      3.870968042930E-01
     -1.810000000000E+00      2.656591464925E-01      1.720401379566E-01      1.353023175673E-01      1.158518272411E-01      1.034365996476E-01      9.449610434970E-02      8.754298862158E-02      8.186409778818E-02      7.707582958472E-02      7.295049725370E-02      3.848217417514E-01
     -1.800000000000E+00      2.627562142316E-01      1.694189518986E-01      1.331346499420E-01      1.140382959912E-01      1.018873540210E-01      9.314810534347E-02      8.635258410324E-02      8.080007992727E-02      7.611505311071E-02      7.207527829796E-02      3.825616993392E-01
     -1.790000000000E+00      2.598850889904E-01      1.668376233408E-01      1.310035642038E-01      1.122556316754E-01      1.003636812614E-01      9.182146314226E-02      8.518035070048E-02      7.975186452615E-02      7.516831592385E-02      7.121277052600E-02      3.803157756378E-01
     -1.780000000000E+00      2.570444462890E-01      1.642948331737E-01      1.289077868075E-01      1.105026483177E-01      9.886449466421E-02      9.051517748174E-02      8.402535524899E-02      7.871856946376E-02      7.423477665053E-02      7.036216796010E-02      3.780831262645E-01
     -1.770000000000E+00      2.542330628676E-01      1.617893588770E-01      1.268461353018E-01      1.087782483512E-01      9.738879326437E-02      8.922833050450E-02      8.288674312940E-02      7.769938694001E-02      7.331366375707E-02      6.952272982086E-02      3.758629600263E-01
