# M=8, N=4, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:36:42
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      2.730469698598E-01      1.748394138858E-01      1.376213778760E-01      1.186973015207E-01      1.069119494776E-01      9.845216734549E-02      9.179887835583E-02      8.626292576497E-02      8.149374392696E-02      7.729445911963E-02      4.016980603195E-01
     -1.990000000000E+00      2.705218965098E-01      1.725817917285E-01      1.357507181440E-01      1.171212629009E-01      1.055527859078E-01      9.726046654629E-02      9.074260439051E-02      8.531947849396E-02      8.064583902716E-02      7.652810141213E-02      3.995664506870E-01
     -1.980000000000E+00      2.680072221927E-01      1.703426423349E-01      1.338980993109E-01      1.155599714581E-01      1.042050093799E-01      9.607737729792E-02      8.969278492518E-02      8.438086551248E-02      7.980159745270E-02      7.576460717283E-02      3.974381981272E-01
     -1.970000000000E+00      2.655030993519E-01      1.681220600107E-01      1.320635179618E-01      1.140134064120E-01      1.028686146557E-01      9.490290850459E-02      8.864943106222E-02      8.344708773566E-02      7.896100022577E-02      7.500393111672E-02      3.953133853217E-01
     -1.960000000000E+00      2.630096714272E-01      1.659201273184E-01      1.302469618959E-01      1.124815416546E-01      1.015435936246E-01      9.373706820766E-02      8.761255498019E-02      8.251814906171E-02      7.812403312282E-02      7.424603422962E-02      3.931920870298E-01
     -1.950000000000E+00      2.605270731333E-01      1.637369154923E-01      1.284484105279E-01      1.109643459925E-01      1.002299353824E-01      9.257986353638E-02      8.658216979060E-02      8.159405616789E-02      7.729068644263E-02      7.349088353903E-02      3.910743702995E-01
     -1.940000000000E+00      2.580554307388E-01      1.615724848512E-01      1.266678352828E-01      1.094617833833E-01      9.892762631201E-02      9.143130066264E-02      8.555828939936E-02      8.067481830954E-02      7.646095477398E-02      7.273845188003E-02      3.889602946817E-01
     -1.930000000000E+00      2.555948623460E-01      1.594268852074E-01      1.249051999817E-01      1.079738131681E-01      9.763665016281E-02      9.029138475978E-02      8.454092837343E-02      7.976044712283E-02      7.563483676360E-02      7.198871765720E-02      3.868499124501E-01
     -1.920000000000E+00      2.531454781703E-01      1.573001562710E-01      1.231604612198E-01      1.065003902981E-01      9.635698813135E-02      8.916011996528E-02      8.353010181258E-02      7.885095643157E-02      7.481233488542E-02      7.124166460368E-02      3.847432688233E-01
     -1.910000000000E+00      2.507073808181E-01      1.551923280508E-01      1.214335687358E-01      1.050414655565E-01      9.508861894174E-02      8.803750934752E-02      8.252582522664E-02      7.794636205862E-02      7.399345521170E-02      7.049728153833E-02      3.826404021910E-01
