# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.900000000000E+00      3.070371981606E-01      2.107066924592E-01      1.677241851908E-01      1.428572498583E-01      1.262241071217E-01      1.140576242611E-01      1.046220727412E-01      9.700499159697E-02      9.067687510581E-02      8.530589605360E-02      4.190529884418E-01
     -1.890000000000E+00      3.034250043622E-01      2.073100709556E-01      1.648416915107E-01      1.404145670801E-01      1.241253409288E-01      1.122258310062E-01      1.029999933610E-01      9.555051518481E-02      8.935881030351E-02      8.410080544854E-02      4.162571913913E-01
     -1.880000000000E+00      2.999080514716E-01      2.040142145408E-01      1.620512107699E-01      1.380535527585E-01      1.220989485578E-01      1.104585836915E-01      1.014359675248E-01      9.414869454452E-02      8.808887093013E-02      8.293999353504E-02      4.135260102269E-01
     -1.870000000000E+00      2.964762575213E-01      2.008090921951E-01      1.593436433586E-01      1.357660133206E-01      1.201375230810E-01      1.087491547803E-01      9.992385812603E-02      9.279390736491E-02      8.686188384299E-02      8.181867914515E-02      4.108522152976E-01
     -1.860000000000E+00      2.931210387256E-01      1.976861944161E-01      1.567112701623E-01      1.335449879591E-01      1.182347613962E-01      1.070918113287E-01      9.845843013621E-02      9.148135474363E-02      8.567343217305E-02      8.073277988677E-02      4.082296128339E-01
     -1.850000000000E+00      2.898350426592E-01      1.946382593654E-01      1.541475020549E-01      1.313845246122E-01      1.163852639166E-01      1.054816346914E-01      9.703518698692E-02      9.020691149836E-02      8.451971736716E-02      7.967878416711E-02      4.056528636858E-01
     -1.840000000000E+00      2.866119365495E-01      1.916590557487E-01      1.516466817417E-01      1.292795031024E-01      1.145843766702E-01      1.039143785820E-01      9.565024190990E-02      8.896700858771E-02      8.339745092753E-02      7.865365084602E-02      4.031173388305E-01
     -1.830000000000E+00      2.834462378695E-01      1.887432092061E-01      1.492039256467E-01      1.272254942584E-01      1.128280656881E-01      1.023863562845E-01      9.430021581134E-02      8.775853987946E-02      8.230376865351E-02      7.765472981398E-02      4.006190032984E-01
     -1.820000000000E+00      2.803331776936E-01      1.858860623839E-01      1.468149967255E-01      1.252186467590E-01      1.111128162173E-01      1.008943502385E-01      9.298215548389E-02      8.657878756204E-02      8.123616210105E-02      7.667969857272E-02      3.981543222373E-01
     -1.810000000000E+00      2.772685896509E-01      1.830835613077E-01      1.444762013749E-01      1.232555955303E-01      1.094355511944E-01      9.943553895587E-02      9.169346755282E-02      8.542536196482E-02      8.019242333927E-02      7.572651116786E-02      3.957201843558E-01
