# M=16, N=8, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:39:21
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      3.387794883744E-01      2.404278480022E-01      1.932453354785E-01      1.647533510067E-01      1.452553085021E-01      1.308327218975E-01      1.195957483701E-01      1.105155473536E-01      1.029793248255E-01      9.659576127901E-02      4.476597303521E-01
     -1.990000000000E+00      3.342716885987E-01      2.360850049237E-01      1.894819594210E-01      1.615215553023E-01      1.424540601389E-01      1.283725301494E-01      1.174067772432E-01      1.085450779102E-01      1.011877335277E-01      9.495302306045E-02      4.439969766738E-01
     -1.980000000000E+00      3.299227455898E-01      2.319092304037E-01      1.858746009363E-01      1.584313137740E-01      1.397806515364E-01      1.260281180635E-01      1.153232106732E-01      1.066711232571E-01      9.948501647583E-02      9.339255550564E-02      4.404636827492E-01
     -1.970000000000E+00      3.257177835265E-01      2.278847994952E-01      1.824083069613E-01      1.554687925767E-01      1.372223704304E-01      1.237878189450E-01      1.133343326958E-01      1.048838179370E-01      9.786205917003E-02      9.190590079383E-02      4.370477401604E-01
     -1.960000000000E+00      3.216435463288E-01      2.239978489476E-01      1.790699506539E-01      1.526218556151E-01      1.347680578256E-01      1.216413835056E-01      1.114307240077E-01      1.031744884812E-01      9.631084964268E-02      9.048562776299E-02      4.337382498977E-01
     -1.950000000000E+00      3.176882317055E-01      2.202361559750E-01      1.758480003834E-01      1.498798450771E-01      1.324079062331E-01      1.195797955777E-01      1.096040929362E-01      1.015354971550E-01      9.482433279365E-02      8.912519507409E-02      4.305254206105E-01
     -1.940000000000E+00      3.138413347362E-01      2.165889386054E-01      1.727323150325E-01      1.472333886011E-01      1.301332830958E-01      1.175951111900E-01      1.078471280935E-01      9.996010597199E-02      9.339628380799E-02      8.781883243662E-02      4.274004657698E-01
     -1.930000000000E+00      3.100935036174E-01      2.130466776307E-01      1.697139641414E-01      1.446742309884E-01      1.279365771596E-01      1.156803187958E-01      1.061533705921E-01      9.844235894864E-02      9.202119872575E-02      8.656143806556E-02      4.243555040874E-01
     -1.920000000000E+00      3.064364086311E-01      2.096009591563E-01      1.667850708146E-01      1.421950880224E-01      1.258110653342E-01      1.138292183003E-01      1.045171035907E-01      9.697698048480E-02      9.069420015276E-02      8.534849045826E-02      4.213834657536E-01
     -1.910000000000E+00      3.028626244052E-01      2.062443362007E-01      1.639386750764E-01      1.397895198824E-01      1.237507975955E-01      1.120363165795E-01      1.029332570028E-01      9.555928782355E-02      8.941095617128E-02      8.417597264502E-02      4.184780058439E-01
     -1.900000000000E+00      2.993655249331E-01      2.029702075505E-01      1.611686153369E-01      1.374518217350E-01      1.217504976241E-01      1.102967373378E-01      1.013973253605E-01      9.418511570043E-02      8.816761065965E-02      8.304030720912E-02      4.156334254335E-01
     -1.890000000000E+00      2.959391904898E-01      1.997727120250E-01      1.584694257480E-01      1.351769292692E-01      1.198054770750E-01      1.086061433576E-01      9.990529702084E-02      9.285075148411E-02      8.696072341505E-02      8.193830054863E-02      4.128446004427E-01
     -1.880000000000E+00      2.925783254192E-01      1.966466363621E-01      1.558362473993E-01      1.329603371586E-01      1.179115616014E-01      1.069606694122E-01      9.845359311735E-02      9.155287931231E-02      8.578721866630E-02      8.086709503666E-02      4.101069179112E-01
     -1.870000000000E+00      2.892781857185E-01      1.935873350584E-01      1.532647515133E-01      1.307980286692E-01      1.160650269855E-01      1.053568643312E-01      9.703901486053E-02      9.028853192156E-02      8.464434075012E-02      7.982412791483E-02      4.074162192242E-01
     -1.860000000000E+00      2.860345153660E-01      1.905906606457E-01      1.507510730086E-01      1.286864148499E-01      1.142625439412E-01      1.037916409095E-01      9.565869798351E-02      8.905504904924E-02      8.352961589521E-02      7.880709591814E-02      4.047687497161E-01
     -1.850000000000E+00      2.828434903923E-01      1.876529030470E-01      1.482917530010E-01      1.266222819526E-01      1.125011303508E-01      1.022622325329E-01      9.431007329852E-02      8.785004144701E-02      8.244081921159E-02      7.781392477595E-02      4.021611140513E-01
     -1.840000000000E+00      2.797016697779E-01      1.847707368119E-01      1.458836889999E-01      1.246027459133E-01      1.107781098752E-01      1.007661555576E-01      9.299083248046E-02      8.667135968668E-02      8.137594611710E-02      7.684274286195E-02      3.995902367849E-01
     -1.830000000000E+00      2.766059523446E-01      1.819411751789E-01      1.435240917265E-01      1.226252128934E-01      1.090910760257E-01      9.930117661728E-02      9.169889832481E-02      8.551706706142E-02      8.033318754866E-02      7.589185837646E-02      3.970533275377E-01
     -1.820000000000E+00      2.735535388957E-01      1.791615300477E-01      1.412104476289E-01      1.206873450210E-01      1.074378609238E-01      9.786528415797E-02      9.043239883923E-02      8.438541599105E-02      7.931090840573E-02      7.495973953957E-02      3.945478502583E-01
     -1.810000000000E+00      2.705418989474E-01      1.764293770664E-01      1.389404862982E-01      1.187870305994E-01      1.058165080848E-01      9.645666360292E-02      8.918964462456E-02      8.327482742944E-02      7.830762875782E-02      7.404499735385E-02      3.920714960922E-01
     -1.800000000000E+00      2.675687414690E-01      1.737425251446E-01      1.367121521066E-01      1.169223581562E-01      1.042252486628E-01      9.507367563840E-02      8.796910908283E-02      8.218387284832E-02      7.732200741966E-02      7.314637056396E-02      3.896221594294E-01
     -1.790000000000E+00      2.646319891249E-01      1.710989897998E-01      1.345235794824E-01      1.150915937989E-01      1.026624806752E-01      9.371483718817E-02      8.676941105887E-02      8.111125843653E-02      7.635282755861E-02      7.226271249773E-02      3.871979167417E-01
     -1.780000000000E+00      2.617297555723E-01      1.684969698231E-01      1.323730713231E-01      1.132931614199E-01      1.011267507982E-01      9.237880470802E-02      8.558929958150E-02      8.005581120768E-02      7.539898404943E-02      7.139297952188E-02      3.847970078725E-01
     -1.770000000000E+00      2.588603254288E-01      1.659348268243E-01      1.302590801191E-01      1.115256253609E-01      9.961673838302E-02      9.106435948605E-02      8.442764041912E-02      7.901646675573E-02      7.445947233525E-02      7.053622088642E-02      3.824178194769E-01
     -1.760000000000E+00      2.560221365722E-01      1.634110672757E-01      1.281801914208E-01      1.097876752054E-01      9.813124139355E-02      8.977039468056E-02      8.328340420727E-02      7.799225843629E-02      7.353337858927E-02      6.969156976583E-02      3.800588703483E-01
     -1.750000000000E+00      2.532137644798E-01      1.609243267273E-01      1.261351093356E-01      1.080781124123E-01      9.666916401210E-02      8.849590386620E-02      8.215565594060E-02      7.698230778459E-02      7.261987100278E-02      6.885823533429E-02      3.777187984014E-01
     -1.740000000000E+00      2.504339083532E-01      1.584733559113E-01      1.241226437856E-01      1.063958385473E-01      9.522950569265E-02      8.723997089227E-02      8.104354565197E-02      7.598581600815E-02      7.171819205037E-02      6.803549573599E-02      3.753963491086E-01
     -1.730000000000E+00      2.476813788069E-01      1.560570084918E-01      1.221416992941E-01      1.047398449037E-01      9.381135147525E-02      8.600176088468E-02      7.994630012674E-02      7.500205641610E-02      7.082765160532E-02      6.722269183268E-02      3.730903652140E-01
     -1.720000000000E+00      2.449550869286E-01      1.536742302503E-01      1.201912651021E-01      1.031092033307E-01      9.241386340001E-02      8.478051224710E-02      7.886321552163E-02      7.403036766638E-02      6.994762079627E-02      6.641922162722E-02      3.707997775704E-01
     -1.710000000000E+00      2.422540345452E-01      1.513240495253E-01      1.182704064440E-01      1.015030581176E-01      9.103627288220E-02      8.357552953661E-02      7.779365077613E-02      7.307014772897E-02      6.907752651179E-02      6.562453527669E-02      3.685235969648E-01
     -1.700000000000E+00      2.395773055478E-01      1.490055687480E-01      1.163782568336E-01      9.992061879666E-02      8.967787392888E-02      8.238617710674E-02      7.673702171937E-02      7.212084847745E-02      6.821684647274E-02      6.483813062125E-02      3.662609068153E-01
     -1.690000000000E+00      2.369240581504E-01      1.467179569395E-01      1.145140112348E-01      9.836115375384E-02      8.833801709383E-02      8.121187342490E-02      7.569279578922E-02      7.118197083321E-02      6.736510480330E-02      6.405954916463E-02      3.640108566365E-01
     -1.680000000000E+00      2.342935179703E-01      1.444604430508E-01      1.126769200053E-01      9.682398454462E-02      8.701610408149E-02      8.005208598394E-02      7.466048729097E-02      7.025306039690E-02      6.652186804117E-02      6.328837245180E-02      3.617726561843E-01
     -1.670000000000E+00      2.316849718366E-01      1.422323100420E-01      1.108662835178E-01      9.530848083073E-02      8.571158292225E-02      7.890632673818E-02      7.363965313294E-02      6.933370351046E-02      6.568674153525E-02      6.252421879623E-02      3.595455702008E-01
