# M=18, N=9, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:39:48
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      3.443049095129E-01      2.464036305939E-01      1.984434868765E-01      1.691976000957E-01      1.490775508922E-01      1.341615466493E-01      1.225351526360E-01      1.131447442944E-01      1.053574756293E-01      9.876707552035E-02      4.456915101568E-01
     -1.990000000000E+00      3.393457357319E-01      2.415849328926E-01      1.942500572250E-01      1.655801256922E-01      1.459287843806E-01      1.313864992539E-01      1.200595164069E-01      1.109120731703E-01      1.033249630969E-01      9.690195184220E-02      4.421088171739E-01
     -1.980000000000E+00      3.346248817923E-01      2.370129182300E-01      1.902850553882E-01      1.621690843167E-01      1.429661370677E-01      1.287798918803E-01      1.177371625132E-01      1.088197108593E-01      1.014216228864E-01      9.515639589274E-02      4.386715739832E-01
     -1.970000000000E+00      3.301121713160E-01      2.326573239437E-01      1.865200570926E-01      1.589384830927E-01      1.401659507098E-01      1.263201532163E-01      1.155483463065E-01      1.068494994910E-01      9.963067138766E-02      9.351481390335E-02      4.353631991106E-01
     -1.960000000000E+00      3.257824653725E-01      2.284925241920E-01      1.829311025914E-01      1.558664477741E-01      1.375083235344E-01      1.239891386432E-01      1.134764628520E-01      1.049861747331E-01      9.793800779329E-02      9.196411385617E-02      4.321691965400E-01
     -1.950000000000E+00      3.216144708374E-01      2.244967645336E-01      1.794979301965E-01      1.529345012190E-01      1.349764450370E-01      1.217715193638E-01      1.115074842993E-01      1.032168448725E-01      9.633172911720E-02      9.049325165503E-02      4.290769132192E-01
     -1.940000000000E+00      3.175900334229E-01      2.206515227086E-01      1.762033447069E-01      1.501269733222E-01      1.325560544020E-01      1.196542864045E-01      1.096295038099E-01      1.015305689664E-01      9.480173764607E-02      8.909286384767E-02      4.260753074860E-01
     -1.930000000000E+00      3.136936022482E-01      2.169409779615E-01      1.730326988203E-01      1.474305195797E-01      1.302350003250E-01      1.176263484603E-01      1.078323663673E-01      9.991801572412E-02      9.333942372809E-02      8.775497093842E-02      4.231547371695E-01
     -1.920000000000E+00      3.099118022982E-01      2.133515718018E-01      1.699734678422E-01      1.448337284057E-01      1.280028831755E-01      1.156782056794E-01      1.061073697632E-01      9.837118754623E-02      9.193740936463E-02      8.647273769561E-02      4.203067707031E-01
     -1.910000000000E+00      3.062330864279E-01      2.098716448152E-01      1.670149007925E-01      1.423268004939E-01      1.258507636481E-01      1.138016845747E-01      1.044470219762E-01      9.688319687666E-02      9.058934060512E-02      8.524027921296E-02      4.175240215351E-01
     -1.900000000000E+00      3.026474494977E-01      2.064911362488E-01      1.641477337782E-01      1.399012864649E-01      1.237709249625E-01      1.119897220285E-01      1.028448437581E-01      9.544808445304E-02      8.928971901262E-02      8.405250359950E-02      4.148000045203E-01
     -1.890000000000E+00      2.991461922173E-01      2.032013351856E-01      1.613639540051E-01      1.375498716188E-01      1.217566781658E-01      1.102361887103E-01      1.012952074550E-01      9.406067110189E-02      8.803376439199E-02      8.290498397148E-02      4.121290122317E-01
     -1.880000000000E+00      2.957217252171E-01      1.999946740352E-01      1.586566049587E-01      1.352661987709E-01      1.198022021584E-01      1.085357441688E-01      9.979320490160E-02      9.271643641813E-02      8.681730255534E-02      8.179385390324E-02      4.095060088797E-01
     -1.870000000000E+00      2.923674058859E-01      1.968645567184E-01      1.560196250806E-01      1.330447219251E-01      1.179024117455E-01      1.068837174346E-01      9.833453869009E-02      9.141141903558E-02      8.563667317833E-02      8.071572169300E-02      4.069265395470E-01
