# M=12, N=6, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.03, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:21:45
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -2.220446049250E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      2.220446049250E-16      4.440892098501E-16      2.220446049250E-16      2.220446049250E-16      4.440892098501E-16      2.442490654175E-15
      1.000000000000E-01      2.343914855940E-05      3.298777866867E-06      2.474085440740E-06      2.199186712293E-06      2.061737218506E-06      1.979267418406E-06      1.924287464927E-06      1.885015995517E-06      1.855562328457E-06      1.832653863110E-06      2.493713787561E-03
      2.000000000000E-01      8.096218529285E-05      1.258518891101E-05      9.438921380722E-06      8.390147027360E-06      7.865757858827E-06      7.551122764182E-06      7.341364706592E-06      7.191536384621E-06      7.079164147106E-06      6.991762632635E-06      4.857223083662E-03
      3.000000000000E-01      1.586669780749E-04      2.617371664138E-05      1.963041593278E-05      1.744923352764E-05      1.635863291893E-05      1.570426502928E-05      1.526801349927E-05      1.495639988902E-05      1.472268497893E-05      1.454090253517E-05      6.977456322304E-03
      4.000000000000E-01      2.427424196925E-04      4.169633257067E-05      3.127257542146E-05      2.779777295525E-05      2.606034476660E-05      2.501786629194E-05      2.432286267462E-05      2.382641611831E-05      2.345406772530E-05      2.316445144102E-05      8.760490921086E-03
      5.000000000000E-01      3.204341863257E-04      5.663761152364E-05      4.247881013164E-05      3.775878780599E-05      3.539871867564E-05      3.398263083154E-05      3.303853363112E-05      3.236414536967E-05      3.185832519503E-05      3.146488374495E-05      1.013830324580E-02
      6.000000000000E-01      3.818568413985E-04      6.887048767790E-05      5.165375513871E-05      4.591417500732E-05      4.304428215507E-05      4.132226423148E-05      4.017418377233E-05      3.935406757893E-05      3.873892905171E-05      3.826044230193E-05      1.107341532908E-02
      7.000000000000E-01      4.213146491308E-04      7.705863897400E-05      5.779509266923E-05      5.137299450042E-05      4.816178740952E-05      4.623493677713E-05      4.495026437490E-05      4.403255096164E-05      4.334418691676E-05      4.280872245133E-05      1.156125600423E-02
      8.000000000000E-01      4.377677493492E-04      8.083659206881E-05      6.062866934675E-05      5.389157186619E-05      5.052280605544E-05      4.850137295009E-05      4.715360619878E-05      4.619079165114E-05      4.546857223153E-05      4.490674956470E-05      1.163036949056E-02
      9.000000000000E-01      4.343880522000E-04      8.074552315773E-05      6.056036490421E-05      5.383071000375E-05      5.046561042144E-05      4.844633301171E-05      4.709996669061E-05      4.613812099374E-05      4.541660068869E-05      4.485529731335E-05      1.134120574261E-02
      1.000000000000E+00      4.173755480354E-04      7.796968478502E-05      5.847840351136E-05      5.197995939121E-05      4.873042084608E-05      4.678044458140E-05      4.548024946027E-05      4.455135785353E-05      4.385453094558E-05      4.331241383948E-05      1.078609344640E-02
      1.100000000000E+00      3.943632473917E-04      7.396549376426E-05      5.547514616611E-05      4.931031721633E-05      4.622755622363E-05      4.437762246634E-05      4.314410233142E-05      4.226281855679E-05      4.160168251066E-05      4.108731162034E-05      1.010081644323E-02
      1.200000000000E+00      3.727745510624E-04      7.009081172415E-05      5.256902997153E-05      4.672706059128E-05      4.380571355078E-05      4.205261549917E-05      4.088364194788E-05      4.004845383032E-05      3.942188161266E-05      3.893438666580E-05      9.515427355873E-03
      1.300000000000E+00      3.580981308833E-04      6.732527031739E-05      5.049480265584E-05      4.488329059837E-05      4.207716758087E-05      4.039320023197E-05      3.927031072304E-05      3.846803712881E-05      3.786614848522E-05      3.739784981316E-05      9.279750114115E-03
      1.400000000000E+00      3.524350324862E-04      6.613316191917E-05      4.960069152471E-05      4.408853157378E-05      4.133208702162E-05      3.967792868043E-05      3.857491345127E-05      3.778683714839E-05      3.719559767967E-05      3.673558277129E-05      9.319400295268E-03
      1.500000000000E+00      3.551181447741E-04      6.647362619816E-05      4.985604819940E-05      4.431553113138E-05      4.154491396324E-05      3.988225680640E-05      3.877357966209E-05      3.798146252953E-05      3.738719540980E-05      3.692482830275E-05      9.510900364084E-03
      1.600000000000E+00      3.637225842277E-04      6.792368122199E-05      5.094362601077E-05      4.528228744971E-05      4.245126721680E-05      4.075237436640E-05      3.961954521303E-05      3.881018103535E-05      3.820298247170E-05      3.773056098866E-05      9.797203908789E-03
      1.700000000000E+00      3.748861370507E-04      6.985810051297E-05      5.239449045646E-05      4.657197026114E-05      4.366036878189E-05      4.191313484037E-05      4.074808467380E-05      3.991571095519E-05      3.929126002089E-05      3.880542427992E-05      1.011826621100E-02
      1.800000000000E+00      3.851973638951E-04      7.162880953948E-05      5.372256920433E-05      4.775251939937E-05      4.476716612589E-05      4.297569151568E-05      4.178115624254E-05      4.092772916664E-05      4.028749471874E-05      3.978938869276E-05      1.040918892331E-02
      1.900000000000E+00      3.918843930077E-04      7.270111143831E-05      5.452682464901E-05      4.846746213283E-05      4.543747088204E-05      4.361922818585E-05      4.240685977241E-05      4.154070523921E-05      4.089093438453E-05      4.038541931917E-05      1.061718739664E-02
      2.000000000000E+00      3.931441274094E-04      7.272643687717E-05      5.454581941877E-05      4.848441287675E-05      4.545342455620E-05      4.363460356949E-05      4.242186625336E-05      4.155546246776E-05      4.090551714153E-05      4.039987745785E-05      1.070741849211E-02
      2.100000000000E+00      3.881586762899E-04      7.155295077732E-05      5.366567309584E-05      4.770214385141E-05      4.472012541057E-05      4.293071132988E-05      4.173759943282E-05      4.088523164314E-05      4.024582892348E-05      3.974840291932E-05      1.066073504825E-02
      2.200000000000E+00      3.769244146192E-04      6.919040014952E-05      5.189369777447E-05      4.612714998475E-05      4.324365802111E-05      4.151338841951E-05      4.035973000094E-05      3.953556368930E-05      3.891732994532E-05      3.843638458223E-05      1.047150784774E-02
      2.300000000000E+00      3.600122100051E-04      6.575209095083E-05      4.931487887450E-05      4.383496708038E-05      4.109483083603E-05      3.945060483534E-05      3.835433395794E-05      3.757118029402E-05      3.698372488992E-05      3.652673499288E-05      1.015018010530E-02
      2.400000000000E+00      3.383406320534E-04      6.139615557021E-05      4.604782348561E-05      4.093101735081E-05      3.837247126026E-05      3.683722920478E-05      3.581363916694E-05      3.508242171057E-05      3.453393711816E-05      3.410727443520E-05      9.735106994707E-03
