# M=10, N=5, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.25, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:20:20
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -2.220446049250E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      2.220446049250E-16      4.440892098501E-16      2.220446049250E-16      4.440892098501E-16      2.220446049250E-16      2.220446049250E-16      8.881784197001E-16
      1.000000000000E-01      1.153652582333E-03      2.318126571643E-04      1.738695701381E-04      1.545489573300E-04      1.448879855110E-04      1.390908705738E-04      1.352256840730E-04      1.324644566754E-04      1.303932037136E-04      1.287819337064E-04      2.066726860211E-02
      2.000000000000E-01      3.804569741259E-03      8.837878393440E-04      6.629874185267E-04      5.892950541426E-04      5.524386526123E-04      5.303166637487E-04      5.155618810191E-04      5.050169301843E-04      4.971031241243E-04      4.909434144396E-04      3.988328616631E-02
      3.000000000000E-01      7.224011027079E-03      1.836075067973E-03      1.377689170359E-03      1.224485335647E-03      1.147835153098E-03      1.101806687832E-03      1.071089080038E-03      1.049120532420E-03      1.032620146335E-03      1.019765200321E-03      5.680276981210E-02
      4.000000000000E-01      1.079332440935E-02      2.921072221443E-03      2.192407162216E-03      1.948444139908E-03      1.826324496149E-03      1.752943296722E-03      1.703931318908E-03      1.668844608478E-03      1.642461188373E-03      1.621879960272E-03      7.078299949357E-02
      5.000000000000E-01      1.399426103534E-02      3.962168073295E-03      2.974577371831E-03      2.643295638627E-03      2.477358708684E-03      2.377562649941E-03      2.310837042267E-03      2.263008842339E-03      2.226991528737E-03      2.198848145348E-03      8.140960926450E-02
      6.000000000000E-01      1.645717527714E-02      4.812085043158E-03      3.613419537750E-03      3.210568065671E-03      3.008620178047E-03      2.887039581439E-03      2.805642706618E-03      2.747208008726E-03      2.703124716117E-03      2.668609067513E-03      8.850583883258E-02
      7.000000000000E-01      1.799280834220E-02      5.381004149803E-03      4.041201761757E-03      3.590103348988E-03      3.363756970006E-03      3.227320723367E-03      3.135839757531E-03      3.070047679766E-03      3.020311295611E-03      2.981278832164E-03      9.213022673596E-02
      8.000000000000E-01      1.859562362688E-02      5.648175204181E-03      4.242135617475E-03      3.767953601842E-03      3.529775498030E-03      3.386011531824E-03      3.289455076287E-03      3.219874679539E-03      3.167154619319E-03      3.125675053371E-03      9.256784303471E-02
      9.000000000000E-01      1.841873712483E-02      5.655795982749E-03      4.247867445366E-03      3.772348194050E-03      3.533235071184E-03      3.388699402891E-03      3.291453192489E-03      3.221230106576E-03      3.167896984338E-03      3.125824297446E-03      9.032358607119E-02
