# M=16, N=8, V0=0.0, Vp0=0.0, Vp=0.0, V=0.8, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 09:44:48
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      4.440892098501E-16     -8.881784197001E-16     -8.881784197001E-16     -8.881784197001E-16     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16      1.163513729807E-13
      1.000000000000E-01      8.872180479046E-03      2.316222750704E-03      1.738174535258E-03      1.544879988374E-03      1.448170192476E-03      1.390094767117E-03      1.351336522776E-03      1.323616663418E-03      1.302795791040E-03      1.286574240094E-03      6.403573872435E-02
      2.000000000000E-01      2.784616486015E-02      8.809764775297E-03      6.621961811987E-03      5.883722676669E-03      5.513621914383E-03      5.290802863986E-03      5.141624578520E-03      5.034526540425E-03      4.953728493080E-03      4.890463629727E-03      1.209049259096E-01
      3.000000000000E-01      5.092280898233E-02      1.822536913766E-02      1.373207395408E-02      1.219498748894E-02      1.142168669330E-02      1.095414167462E-02      1.063947595797E-02      1.041216891105E-02      1.023946025403E-02      1.010314988634E-02      1.688182608487E-01
      4.000000000000E-01      7.374687194577E-02      2.880847593528E-02      2.176501758616E-02      1.931534951772E-02      1.807660117698E-02      1.732322684013E-02      1.681255856819E-02      1.644058145017E-02      1.615528824026E-02      1.592778645848E-02      2.067642407581E-01
      5.000000000000E-01      9.308844946266E-02      3.871546998223E-02      2.932509635554E-02      2.600141464520E-02      2.430943619167E-02      2.327278035029E-02      2.256388112307E-02      2.204230113936E-02      2.163782236778E-02      2.131143662990E-02      2.343765793818E-01
      6.000000000000E-01      1.068940378275E-01      4.642263571297E-02      3.523396928004E-02      3.120616566737E-02      2.913928877961E-02      2.786186931552E-02      2.697947164962E-02      2.632292800454E-02      2.580765580060E-02      2.538666966274E-02      2.518012567424E-01
      7.000000000000E-01      1.142835364208E-01      5.102746087717E-02      3.877602179389E-02      3.429753290386E-02      3.197873228907E-02      3.053165674970E-02      2.952110065294E-02      2.876032791634E-02      2.815597209203E-02      2.765617212123E-02      2.596005262806E-01
      8.000000000000E-01      1.154557724429E-01      5.237326525931E-02      3.981288318158E-02      3.515971472021E-02      3.272752266910E-02      3.119402461131E-02      3.011104476066E-02      2.928619585855E-02      2.862328455960E-02      2.806888234652E-02      2.587208978283E-01
      9.000000000000E-01      1.115226597464E-01      5.098324838987E-02      3.874197152827E-02      3.415456552888E-02      3.173377923991E-02      3.019166273433E-02      2.909063381879E-02      2.824277915431E-02      2.755413834869E-02      2.697252272339E-02      2.505453810654E-01
