# M=18, N=9, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.4, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 11:15:08
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00      5.329070518201E-15
      1.000000000000E-01      2.614171103993E-03      5.777345777753E-04      4.333635406786E-04      3.852018876387E-04      3.611172398719E-04      3.466634014884E-04      3.370249677195E-04      3.301381936645E-04      3.249712068718E-04      3.209507448689E-04      3.252601370278E-02
      2.000000000000E-01      8.489436179686E-03      2.203093305197E-03      1.653231371318E-03      1.469384475729E-03      1.377402204082E-03      1.322166192801E-03      1.285303308110E-03      1.258939349384E-03      1.239137216318E-03      1.223709630976E-03      6.242868483897E-02
      3.000000000000E-01      1.595214892870E-02      4.579204656874E-03      3.438347242419E-03      3.055587393229E-03      2.863928850888E-03      2.748714641540E-03      2.671722576302E-03      2.616571708567E-03      2.575071565241E-03      2.542671883696E-03      8.851672574743E-02
      4.000000000000E-01      2.366262634546E-02      7.292393448308E-03      5.479314868749E-03      4.868462356558E-03      4.562236758290E-03      4.377878084798E-03      4.254452849045E-03      4.165846640789E-03      4.099002256507E-03      4.046665695910E-03      1.099539475977E-01
      5.000000000000E-01      3.054746223768E-02      9.909189751562E-03      7.450425781503E-03      6.618270090906E-03      6.200476352155E-03      5.948470821007E-03      5.779359599225E-03      5.657616510589E-03      5.565478473979E-03      5.493077118574E-03      1.262717999118E-01
      6.000000000000E-01      3.587403419934E-02      1.207105636560E-02      9.080834675092E-03      8.064255996426E-03      7.552937946678E-03      7.243810227665E-03      7.035778835959E-03      6.885517222119E-03      6.771362132429E-03      6.681278448950E-03      1.373599104567E-01
      7.000000000000E-01      3.929275702894E-02      1.356201931358E-02      1.020631579538E-02      9.060688499941E-03      8.483246909643E-03      8.133217027364E-03      7.896896487459E-03      7.725554684719E-03      7.594826364007E-03      7.491175324328E-03      1.434469955275E-01
      8.000000000000E-01      4.082486155584E-02      1.433403710863E-02      1.078942425602E-02      9.574725351472E-03      8.961052082373E-03      8.587976629620E-03      8.335207719840E-03      8.151190417132E-03      8.010147338853E-03      7.897757809063E-03      1.450811964092E-01
      9.000000000000E-01      4.079834090223E-02      1.448838886223E-02      1.090603440184E-02      9.674319868525E-03      9.050554263906E-03      8.670197069308E-03      8.411557603248E-03      8.222480741311E-03      8.076889047931E-03      7.960295194144E-03      1.431171659415E-01
      1.000000000000E+00      3.974438431166E-02      1.422398522171E-02      1.070628752773E-02      9.493352595661E-03      8.877664953697E-03      8.501134805801E-03      8.244203910744E-03      8.055630730810E-03      7.909794657468E-03      7.792462189059E-03      1.387225882970E-01
      1.100000000000E+00      3.827134001494E-02      1.377138810641E-02      1.036443025892E-02      9.186923762877E-03      8.587983631684E-03      8.220748518498E-03      7.969393599389E-03      7.784277168436E-03      7.640578550903E-03      7.524508671393E-03      1.334209518073E-01
      1.200000000000E+00      3.693099485195E-02      1.333250824836E-02      1.003300937757E-02      8.890601183394E-03      8.308565342145E-03      7.950970986434E-03      7.705631759409E-03      7.524465152155E-03      7.383430088892E-03      7.269170606719E-03      1.290205567463E-01
      1.300000000000E+00      3.608896149145E-02      1.304091484531E-02      9.812853143198E-03      8.693788331031E-03      8.123007103687E-03      7.771844624737E-03      7.530531971284E-03      7.352022528634E-03      7.212793154531E-03      7.099775616338E-03      1.268418037470E-01
      1.400000000000E+00      3.585543908127E-02      1.294894796750E-02      9.743423927025E-03      8.631252487927E-03      8.063605264690E-03      7.714088379801E-03      7.473682891526E-03      7.295663404293E-03      7.156667362544E-03      7.043715730434E-03      1.269080643644E-01
      1.500000000000E+00      3.613050677375E-02      1.303879700336E-02      9.811254268927E-03      8.690730520901E-03      8.118586500555E-03      7.766135541524E-03      7.523583438811E-03      7.343872255264E-03      7.203473135697E-03      7.089314633557E-03      1.284237595830E-01
      1.600000000000E+00      3.670811938605E-02      1.324839197717E-02      9.969497305049E-03      8.830383359635E-03      8.248542163307E-03      7.889977970778E-03      7.643111604729E-03      7.460119756894E-03      7.317090852844E-03      7.200740799420E-03      1.305316080896E-01
      1.700000000000E+00      3.736807769068E-02      1.350089697371E-02      1.016015963804E-02      8.998593721351E-03      8.405020702985E-03      8.039044981197E-03      7.786935418757E-03      7.599945968474E-03      7.453703647845E-03      7.334667998081E-03      1.325960730329E-01
      1.800000000000E+00      3.793438823072E-02      1.372858061537E-02      1.033210084105E-02      9.149964078739E-03      8.545523333980E-03      8.172596405324E-03      7.915503081147E-03      7.724661473687E-03      7.575280636993E-03      7.453587879346E-03      1.342204444386E-01
      1.900000000000E+00      3.830043496906E-02      1.388628094997E-02      1.045120404961E-02      9.254326045551E-03      8.641920071945E-03      8.263772768078E-03      8.002840954727E-03      7.808958097853E-03      7.657040883073E-03      7.533154158753E-03      1.352094039138E-01
      2.000000000000E+00      3.842787395408E-02      1.395445170317E-02      1.050269299294E-02      9.298746799458E-03      8.682279765013E-03      8.301303424994E-03      8.038167193996E-03      7.842443780013E-03      7.688919447098E-03      7.563586555412E-03      1.355158268490E-01
      2.100000000000E+00      3.833090131468E-02      1.393508618513E-02      1.048806615609E-02      9.284741187467E-03      8.668196677914E-03      8.286883441115E-03      8.023287172103E-03      7.827038682818E-03      7.672953255415E-03      7.547039345060E-03      1.351899495574E-01
      2.200000000000E+00      3.805745191267E-02      1.384482971296E-02      1.041989706578E-02      9.223596079861E-03      8.610356233421E-03      8.230868840959E-03      7.968362731665E-03      7.772787074249E-03      7.619116308755E-03      7.493447294547E-03      1.343479336667E-01
      2.300000000000E+00      3.767420641412E-02      1.370857616531E-02      1.031699316147E-02      9.132040119965E-03      8.524450142447E-03      8.148331555423E-03      7.888054463876E-03      7.694057190967E-03      7.541558748006E-03      7.416791860978E-03      1.331609399133E-01
      2.400000000000E+00      3.725650425502E-02      1.355484408134E-02      1.020089738850E-02      9.029140865640E-03      8.428274468685E-03      8.056280319076E-03      7.798826398189E-03      7.606907420533E-03      7.456020598989E-03      7.332553218553E-03      1.318505970620E-01
      2.500000000000E+00      3.688051073460E-02      1.341246707608E-02      1.009338489502E-02      8.934113586385E-03      8.339708073616E-03      7.971750822335E-03      7.717118631589E-03      7.527324499509E-03      7.378124793513E-03      7.256050781305E-03      1.306693417900E-01
      2.600000000000E+00      3.661453511382E-02      1.330743093284E-02      1.001407444094E-02      8.864243203673E-03      8.274807625318E-03      7.910017619556E-03      7.657647697402E-03      7.469595809148E-03      7.321810812676E-03      7.200930924448E-03      1.298509293251E-01
      2.700000000000E+00      3.650889198208E-02      1.325915201097E-02      9.977621527059E-03      8.832429191933E-03      8.245544036746E-03      7.882457066998E-03      7.631363202863E-03      7.444340743280E-03      7.297428732783E-03      7.177315500116E-03      1.295565129303E-01
      2.800000000000E+00      3.658601901014E-02      1.327658999710E-02      9.990787943825E-03      8.844605329688E-03      8.257406955231E-03      7.894269851002E-03      7.643254902648E-03      7.456383071787E-03      7.309664742946E-03      7.189772329049E-03      1.298547160087E-01
      2.900000000000E+00      3.683279505463E-02      1.335552814855E-02      1.005039105061E-02      8.897924183602E-03      8.307709747934E-03      7.942860459633E-03      7.690783620615E-03      7.503220125074E-03      7.356040329178E-03      7.235838856808E-03      1.307051640351E-01
      3.000000000000E+00      3.719906681010E-02      1.347852025596E-02      1.014326235787E-02      8.980713933601E-03      8.385542974059E-03      8.017786796923E-03      7.763826795563E-03      7.574964184371E-03      7.426849483597E-03      7.305955190031E-03      1.319339648588E-01
      3.100000000000E+00      3.760716291129E-02      1.361825623708E-02      1.024878403240E-02      9.074718078793E-03      8.473859764302E-03      8.102748565804E-03      7.846598620618E-03      7.656210878321E-03      7.506985732422E-03      7.385256726026E-03      1.332644524464E-01
      3.200000000000E+00      3.797089798530E-02      1.374380155224E-02      1.034359603854E-02      9.159260425252E-03      8.553362013229E-03      8.179300541828E-03      7.921243464970E-03      7.729543178922E-03      7.579375811450E-03      7.456950323330E-03      1.344043720221E-01
      3.300000000000E+00      3.821670486066E-02      1.382796066483E-02      1.040715652551E-02      9.216168343086E-03      8.607097128038E-03      8.231247741024E-03      7.972092086727E-03      7.779684574057E-03      7.629052356483E-03      7.506321647384E-03      1.351239927275E-01
      3.400000000000E+00      3.830018818192E-02      1.385347791433E-02      1.042642876068E-02      9.233923804519E-03      8.624334777075E-03      8.248353206512E-03      7.989253294083E-03      7.797004931863E-03      7.646593044491E-03      7.524120408470E-03      1.352976036834E-01
      3.500000000000E+00      3.821455476491E-02      1.381615460714E-02      1.039823993156E-02      9.209752917395E-03      8.602518711635E-03      8.228205225147E-03      7.970423249031E-03      7.779287254788E-03      7.629854495784E-03      7.508267961473E-03      1.349216382307E-01
      3.600000000000E+00      3.798963506905E-02      1.372403804516E-02      1.032867020607E-02      9.149084243666E-03      8.546760281163E-03      8.175732512674E-03      7.920415611327E-03      7.731268990741E-03      7.583522420022E-03      7.463414764734E-03      1.341212713295E-01
      3.700000000000E+00      3.768141684938E-02      1.359314074909E-02      1.022981750826E-02      9.062679122292E-03      8.467154230506E-03      8.100633114765E-03      7.848667287655E-03      7.662203859082E-03      7.516716490507E-03      7.398579576069E-03      1.331376942428E-01
      3.800000000000E+00      3.735293684593E-02      1.344114875241E-02      1.011504252921E-02      8.962409862353E-03      8.374825856925E-03      8.013584185679E-03      7.765557478983E-03      7.582259535339E-03      7.439447397239E-03      7.323652918755E-03      1.322676591148E-01
      3.900000000000E+00      3.705002598163E-02      1.328094763680E-02      9.994078164324E-03      8.856913028228E-03      8.277856837409E-03      7.922331127892E-03      7.678605294656E-03      7.498792224694E-03      7.358948528178E-03      7.245772500164E-03      1.317374244689E-01
      4.000000000000E+00      3.678076515533E-02      1.311552131658E-02      9.869178734859E-03      8.748164941577E-03      8.178073513331E-03      7.828602782343E-03      7.589468748054E-03      7.413404703590E-03      7.276777469168E-03      7.166457679237E-03      1.315717241138E-01
      4.100000000000E+00      3.650905436967E-02      1.293512292882E-02      9.732987172675E-03      8.629587452748E-03      8.069272601703E-03      7.726409542206E-03      7.492291480403E-03      7.320328038803E-03      7.187224193026E-03      7.080038428354E-03      1.315804617076E-01
      4.200000000000E+00      3.616350622541E-02      1.271695200830E-02      9.568296012179E-03      8.485842055563E-03      7.937034229320E-03      7.601869921448E-03      7.373540281591E-03      7.206268675511E-03      7.077166928054E-03      6.973519527582E-03      1.314862226882E-01
      4.300000000000E+00      3.565231054651E-02      1.242718396988E-02      9.349586488615E-03      8.294203950048E-03      7.760015449600E-03      7.434457796248E-03      7.213223346242E-03      7.051607713811E-03      6.927258817684E-03      6.827758945366E-03      1.310677281766E-01
      4.400000000000E+00      3.487457228546E-02      1.202515091592E-02      9.046195658511E-03      8.027373320651E-03      7.512581638929E-03      7.199524705393E-03      6.987338950701E-03      6.832796293781E-03      6.714282773249E-03      6.619790711059E-03      1.301989830361E-01
      4.500000000000E+00      3.372555358282E-02      1.146959439112E-02      8.627051822662E-03      7.657667083191E-03      7.168719196249E-03      6.872039516161E-03      6.671495033840E-03      6.525885293601E-03      6.414610117450E-03      6.326225011509E-03      1.287495954475E-01
      4.600000000000E+00      3.210261819642E-02      1.072690379486E-02      8.066908243486E-03      7.162538330435E-03      6.707189244433E-03      6.431515694800E-03      6.245679547234E-03      6.111178354927E-03      6.008760921688E-03      5.927732165695E-03      1.264413966636E-01
      4.700000000000E+00      2.992366613357E-02      9.780879628350E-03      7.353714776296E-03      6.531123113881E-03      6.117659950876E-03      5.867893044510E-03      5.699973448080E-03      5.578822812308E-03      5.486901974963E-03      5.414466969552E-03      1.228568908431E-01
      4.800000000000E+00      2.715939131790E-02      8.642799046237E-03      6.496186337552E-03      5.770994991297E-03      5.407065294138E-03      5.187667589612E-03      5.040535198607E-03      4.934696568605E-03      4.854665927785E-03      4.791840074144E-03      1.176018377166E-01
      4.900000000000E+00      2.386900717721E-02      7.359667571018E-03      5.529956643542E-03      4.913692909868E-03      4.604843353023E-03      4.418974432300E-03      4.294595449982E-03      4.205353197119E-03      4.138071070318E-03      4.085428735540E-03      1.104617712853E-01
      5.000000000000E+00      2.023063810117E-02      6.017958003478E-03      4.520286324952E-03      4.017190883306E-03      3.765311405272E-03      3.613925623927E-03      3.512786533208E-03      3.440359681910E-03      3.385877844534E-03      3.343359229290E-03      1.015198447563E-01
      5.100000000000E+00      1.656182063793E-02      4.740298835353E-03      3.559450690824E-03      3.163604001477E-03      2.965541431479E-03      2.846595771174E-03      2.767208506071E-03      2.710425980415E-03      2.667771366298E-03      2.634535314871E-03      9.131376825386E-02
      5.200000000000E+00      1.332462213214E-02      3.673687784864E-03      2.757802548460E-03      2.451209652072E-03      2.297846120484E-03      2.205775794774E-03      2.144352047542E-03      2.100440607661E-03      2.067474339561E-03      2.041804834587E-03      8.113057529952E-02
      5.300000000000E+00      1.109313253906E-02      2.969722714822E-03      2.228948926595E-03      1.981177881118E-03      1.857249410244E-03      1.782858755187E-03      1.733237001939E-03      1.697768900662E-03      1.671146826439E-03      1.650422098763E-03      7.337403124578E-02
      5.400000000000E+00      1.041159759763E-02      2.759575096069E-03      2.071111814162E-03      1.840891045878E-03      1.725742847530E-03      1.656624322667E-03      1.610520634735E-03      1.577568281598E-03      1.552835512191E-03      1.533582464813E-03      7.088139390580E-02
      5.500000000000E+00      1.155142853360E-02      3.128315340947E-03      2.348075282725E-03      2.086935809449E-03      1.956272925918E-03      1.877801801018E-03      1.825426563837E-03      1.787963268047E-03      1.759819940505E-03      1.737889929487E-03      7.459837583753E-02
      5.600000000000E+00      1.442010322285E-02      4.094121052313E-03      3.073742234169E-03      2.731389584508E-03      2.559896836225E-03      2.456751427184E-03      2.387779757436E-03      2.338335991245E-03      2.301097211091E-03      2.271995129788E-03      8.324691742661E-02
      5.700000000000E+00      1.864622900414E-02      5.597498279407E-03      4.204020464417E-03      3.734712329846E-03      3.499214477884E-03      3.357251082793E-03      3.262055151816E-03      3.193583656794E-03      3.141815086086E-03      3.101181935514E-03      9.457489384840E-02
      5.800000000000E+00      2.371816020733E-02      7.503921656757E-03      5.638552241229E-03      5.007433781017E-03      4.690090025451E-03      4.498283082366E-03      4.369245091616E-03      4.276075430913E-03      4.205323799507E-03      4.149517817947E-03      1.067106656525E-01
      5.900000000000E+00      2.908406747465E-02      9.620602876350E-03      7.232918454154E-03      6.421124099109E-03      6.012055015300E-03      5.764134788005E-03      5.596790148400E-03      5.475489383110E-03      5.382966666569E-03      5.309629903420E-03      1.185115124069E-01
      6.000000000000E+00      3.420384884245E-02      1.172503103965E-02      8.819753223387E-03      7.827197579330E-03      7.325976958881E-03      7.021399731519E-03      6.815146806178E-03      6.665080713396E-03      6.550132789316E-03      6.458598290196E-03      1.291072057176E-01
