# M=8, N=4, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.02, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:19:24
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      4.440892098501E-16      4.440892098501E-16      2.220446049250E-16      2.220446049250E-16      4.440892098501E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      1.332267629550E-15
      1.000000000000E-01      1.137243668903E-05      1.518364646458E-06      1.138773917164E-06      1.012243399545E-06      9.489781100935E-07      9.110189116424E-07      8.857127586914E-07      8.676369176452E-07      8.540800215950E-07      8.435357552461E-07      1.691012575754E-03
      2.000000000000E-01      3.946312227399E-05      5.788494535919E-06      4.341377184414E-06      3.859000679007E-06      3.617811952461E-06      3.473098337814E-06      3.376622278894E-06      3.307710537692E-06      3.256026495091E-06      3.215827584668E-06      3.292969423073E-03
      3.000000000000E-01      7.750106355697E-05      1.202272502776E-05      9.017070873307E-06      8.015168146969E-06      7.514214547699E-06      7.213640599302E-06      7.013256476229E-06      6.870123682168E-06      6.762772968294E-06      6.679276975063E-06      4.726755245496E-03
      4.000000000000E-01      1.186118871972E-04      1.911405372801E-05      1.433560879938E-05      1.274274633922E-05      1.194630871915E-05      1.146844103528E-05      1.114985831974E-05      1.092229558597E-05      1.075162034092E-05      1.061887008835E-05      5.925980712203E-03
      5.000000000000E-01      1.563782644076E-04      2.588622745514E-05      1.941479623668E-05      1.725756029569E-05      1.617892868833E-05      1.553173881574E-05      1.510026981055E-05      1.479206987187E-05      1.456091310037E-05      1.438111844010E-05      6.841580245782E-03
      6.000000000000E-01      1.857913917251E-04      3.134482733347E-05      2.350880472246E-05      2.089665178717E-05      1.959055149547E-05      1.880687226286E-05      1.828440355944E-05      1.791119801609E-05      1.763128194754E-05      1.741355886220E-05      7.444933748787E-03
      7.000000000000E-01      2.039499928472E-04      3.486641957418E-05      2.615004262352E-05      2.324438705514E-05      2.179152353676E-05      2.091977684082E-05      2.033858855643E-05      1.992343364976E-05      1.961204960410E-05      1.936984613282E-05      7.729317938653E-03
      8.000000000000E-01      2.103172721797E-04      3.628296076785E-05      2.721246741677E-05      2.418873386145E-05      2.267681980261E-05      2.176963354583E-05      2.116481118986E-05      2.073276820602E-05      2.040871232967E-05      2.015664785815E-05      7.709671144538E-03
      9.000000000000E-01      2.064984659160E-04      3.584916455535E-05      2.688711439025E-05      2.389950767534E-05      2.240564822564E-05      2.150928768496E-05      2.091167659946E-05      2.048477948779E-05      2.016457861020E-05      1.991550855518E-05      7.420987763715E-03
      1.000000000000E+00      1.956206675953E-04      3.411200429060E-05      2.558422140342E-05      2.274136948799E-05      2.131988327947E-05      2.046694335767E-05      1.989827657933E-05      1.949205159657E-05      1.918735273687E-05      1.895033795862E-05      6.916905460120E-03
      1.100000000000E+00      1.814945365475E-04      3.172517848005E-05      2.379407258024E-05      2.115012972492E-05      1.982809941081E-05      1.903483411669E-05      1.850595133179E-05      1.812814426727E-05      1.784475952760E-05      1.762432300456E-05      6.279212162239E-03
      1.200000000000E+00      1.678463705679E-04      2.926167437622E-05      2.194641633135E-05      1.950778589155E-05      1.828841826534E-05      1.755675576720E-05      1.706894583275E-05      1.672048022061E-05      1.645910481018E-05      1.625578953379E-05      5.763787148984E-03
      1.300000000000E+00      1.572074786729E-04      2.707335497654E-05      2.030515366602E-05      1.804891269441E-05      1.692074990989E-05      1.624381840171E-05      1.579250253192E-05      1.547010988445E-05      1.522829425027E-05      1.504019662524E-05      5.857867183595E-03
      1.400000000000E+00      1.490839094000E-04      2.523050374381E-05      1.892299716832E-05      1.682036020556E-05      1.576901107581E-05      1.513817708032E-05      1.471760065219E-05      1.441717140538E-05      1.419183414697E-05      1.401655821387E-05      6.087473246164E-03
      1.500000000000E+00      1.416895256268E-04      2.355164722911E-05      1.766383942603E-05      1.570113847027E-05      1.471976844125E-05      1.413093078395E-05      1.373835931262E-05      1.345793994778E-05      1.324761564891E-05      1.308402139455E-05      6.231893925267E-03
