# M=16, N=8, V0=0.0, Vp0=0.0, Vp=0.0, V=0.18, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:36:01
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16      0.000000000000E+00      0.000000000000E+00      1.154631945610E-13
      1.000000000000E-01      6.245889038121E-04      1.173789597493E-04      8.803680335534E-05      7.825451280707E-05      7.336320858586E-05      7.042829895720E-05      6.847158662371E-05      6.707384417304E-05      6.602545789836E-05      6.520997574100E-05      1.479327389560E-02
      2.000000000000E-01      2.082052325251E-03      4.478478393075E-04      3.359234971536E-04      2.985921673746E-04      2.799240587898E-04      2.687212421555E-04      2.612510714650E-04      2.559138412837E-04      2.519096988953E-04      2.487942816805E-04      2.864461345204E-02
      3.000000000000E-01      3.985064577322E-03      9.314734362689E-04      6.987678613077E-04      6.210963230417E-04      5.822489856651E-04      5.589313610894E-04      5.433785926767E-04      5.322628847089E-04      5.239203393277E-04      5.174265688348E-04      4.093329398816E-02
      4.000000000000E-01      5.992407107455E-03      1.483894101771E-03      1.113333849246E-03      9.895422247763E-04      9.276131708393E-04      8.904292839285E-04      8.656179800148E-04      8.478767229825E-04      8.345542447774E-04      8.241776187048E-04      5.116830459610E-02
      5.000000000000E-01      7.808906182427E-03      2.015212968167E-03      1.512172203658E-03      1.343964046123E-03      1.259788298354E-03      1.209225891128E-03      1.175470154969E-03      1.151318231136E-03      1.133168690274E-03      1.119020738310E-03      5.901281373003E-02
      6.000000000000E-01      9.215756587582E-03      2.449017654132E-03      1.837889646152E-03      1.633344231537E-03      1.530944190040E-03      1.469403050953E-03      1.428291371358E-03      1.398853674726E-03      1.376712222836E-03      1.359434938946E-03      6.429756969927E-02
      7.000000000000E-01      1.009226222923E-02      2.736818657930E-03      2.054020968754E-03      1.825280275280E-03      1.710713977738E-03      1.641818648225E-03      1.595758831535E-03      1.562747902142E-03      1.537892547393E-03      1.518474260354E-03      6.702553230019E-02
      8.000000000000E-01      1.042169383742E-02      2.864729397456E-03      2.150088744103E-03      1.910480634429E-03      1.790407433119E-03      1.718149847254E-03      1.669800136897E-03      1.635112124988E-03      1.608962723189E-03      1.588505771491E-03      6.737055327557E-02
      9.000000000000E-01      1.028051195631E-02      2.851516493653E-03      2.140164864130E-03      1.901480190124E-03      1.781801047242E-03      1.709726117993E-03      1.661453420248E-03      1.626782100961E-03      1.600611733890E-03      1.580108749161E-03      6.567450125717E-02
      1.000000000000E+00      9.813847652810E-03      2.739491800179E-03      2.056028577779E-03      1.826550275692E-03      1.711420896620E-03      1.642033309249E-03      1.595516809292E-03      1.562069662325E-03      1.536791001486E-03      1.516958123286E-03      6.245428589208E-02
      1.100000000000E+00      9.202555560681E-03      2.581408430228E-03      1.937307914729E-03      1.720928391683E-03      1.612313856033E-03      1.546807641664E-03      1.502855844453E-03      1.471221072741E-03      1.447284631077E-03      1.428480577891E-03      5.845889676087E-02
      1.200000000000E+00      8.627596079982E-03      2.427138713121E-03      1.821460388050E-03      1.617909291052E-03      1.515692864126E-03      1.454012655559E-03      1.412600865863E-03      1.382771291092E-03      1.360180829646E-03      1.342416647638E-03      5.486360869800E-02
      1.300000000000E+00      8.229777252018E-03      2.313406982923E-03      1.736060259510E-03      1.541991473028E-03      1.444513939959E-03      1.385675248610E-03      1.346156325535E-03      1.317677563732E-03      1.296099160033E-03      1.279121224101E-03      5.304185379884E-02
      1.400000000000E+00      8.068963296531E-03      2.258528037357E-03      1.694853898255E-03      1.505376496760E-03      1.410199626602E-03      1.352745305662E-03      1.314152631555E-03      1.286338356318E-03      1.265260856262E-03      1.248674785169E-03      5.313284780818E-02
      1.500000000000E+00      8.125887517752E-03      2.262472034548E-03      1.697815246998E-03      1.508024386175E-03      1.412696654101E-03      1.355156540233E-03      1.316510625332E-03      1.288661725546E-03      1.267561249207E-03      1.250959978965E-03      5.444919767536E-02
      1.600000000000E+00      8.332453329372E-03      2.311158291866E-03      1.734371786846E-03      1.540525438718E-03      1.443172265764E-03      1.384418804879E-03      1.344965605892E-03      1.316541471465E-03      1.295010803172E-03      1.278076046552E-03      5.625804912054E-02
      1.700000000000E+00      8.603779377234E-03      2.383036695044E-03      1.788344002656E-03      1.588492712426E-03      1.488133900470E-03      1.427574637489E-03      1.386915572279E-03      1.357628406738E-03      1.335448992046E-03      1.318008356849E-03      5.802368453309E-02
      1.800000000000E+00      8.861888628407E-03      2.455866465407E-03      1.843032568707E-03      1.637083918378E-03      1.533668413263E-03      1.471268859670E-03      1.429377723805E-03      1.399206057515E-03      1.376359386950E-03      1.358396337967E-03      5.941950721369E-02
      1.900000000000E+00      9.050336195546E-03      2.512036672444E-03      1.885212675779E-03      1.674550625601E-03      1.568768221249E-03      1.504940493178E-03      1.462090562068E-03      1.431228331345E-03      1.407858752957E-03      1.389484578212E-03      6.027516402145E-02
      2.000000000000E+00      9.140858122681E-03      2.541532823291E-03      1.907362808609E-03      1.694217107469E-03      1.587184314519E-03      1.522599581793E-03      1.479239348160E-03      1.448007796060E-03      1.424357016958E-03      1.405760395237E-03      6.054557110041E-02
      2.100000000000E+00      9.132736629705E-03      2.542447584783E-03      1.908049753943E-03      1.694819528212E-03      1.587741377513E-03      1.523126960518E-03      1.479744877942E-03      1.448495953000E-03      1.424830597553E-03      1.406221262878E-03      6.028664070782E-02
      2.200000000000E+00      9.046653642855E-03      2.519535460974E-03      1.890843859521E-03      1.679538597670E-03      1.573427958619E-03      1.509397996029E-03      1.466408823116E-03      1.435443340078E-03      1.411992997274E-03      1.393553045142E-03      5.962901809867E-02
      2.300000000000E+00      8.915633990802E-03      2.481615071177E-03      1.862367919505E-03      1.654263114129E-03      1.549766542004E-03      1.486715938517E-03      1.444388739628E-03      1.413903841386E-03      1.390820692065E-03      1.372672318717E-03      5.875859739630E-02
      2.400000000000E+00      8.775542403515E-03      2.438642554675E-03      1.830098790153E-03      1.625635639892E-03      1.522981185352E-03      1.461052677969E-03      1.419487520591E-03      1.389558881298E-03      1.366903344368E-03      1.349096790179E-03      5.791208642648E-02
      2.500000000000E+00      8.656261225527E-03      2.399108489772E-03      1.800412294046E-03      1.599316505292E-03      1.498371787084E-03      1.437489731348E-03      1.396639330772E-03      1.367235863931E-03      1.344986970338E-03      1.327508005493E-03      5.734273498456E-02
      2.600000000000E+00      8.573905056962E-03      2.368163439276E-03      1.777175779444E-03      1.578735875836E-03      1.479147091143E-03      1.419100748504E-03      1.378825894149E-03      1.349849258726E-03      1.327934207781E-03      1.310727055712E-03      5.716696174821E-02
      2.700000000000E+00      8.527556217449E-03      2.346643914981E-03      1.761017067452E-03      1.564446931225E-03      1.465821115031E-03      1.406374790991E-03      1.366518423545E-03      1.337856494527E-03      1.316191245072E-03      1.299190587124E-03      5.726705907152E-02
      2.800000000000E+00      8.502947425514E-03      2.330995543278E-03      1.749267031987E-03      1.554076421900E-03      1.456168294258E-03      1.397174707955E-03      1.357638549517E-03      1.329221053577E-03      1.307752837666E-03      1.290917578385E-03      5.746677023186E-02
      2.900000000000E+00      8.477620136617E-03      2.313977425309E-03      1.736488587382E-03      1.542794433576E-03      1.445663463561E-03      1.387159112031E-03      1.347968179962E-03      1.319813580036E-03      1.298556768797E-03      1.281898555619E-03      5.768381854708E-02
      3.000000000000E+00      8.423405887866E-03      2.285964740053E-03      1.715454857116E-03      1.524181624561E-03      1.428292777638E-03      1.370558833099E-03      1.331902411521E-03      1.304147491519E-03      1.283206062581E-03      1.266807007919E-03      5.789339089875E-02
      3.100000000000E+00      8.307317673183E-03      2.236628975444E-03      1.678411102801E-03      1.491347898897E-03      1.397599604781E-03      1.341178226965E-03      1.303420350097E-03      1.276327366328E-03      1.255899971879E-03      1.239916331448E-03      5.799947819605E-02
      3.200000000000E+00      8.094655864846E-03      2.156759910676E-03      1.618443366417E-03      1.438146506192E-03      1.347820419216E-03      1.293483397874E-03      1.257140932003E-03      1.231081087738E-03      1.211447898251E-03      1.196099159844E-03      5.778200177781E-02
      3.300000000000E+00      7.755949219320E-03      2.040001434043E-03      1.530782439330E-03      1.360332396245E-03      1.274970071841E-03      1.223643400012E-03      1.189334563890E-03      1.164750212746E-03      1.146243671281E-03      1.131789008834E-03      5.698504870774E-02
      3.400000000000E+00      7.274667659566E-03      1.884304658301E-03      1.413895069371E-03      1.256533640672E-03      1.177753872569E-03      1.130407158786E-03      1.098776973165E-03      1.076127661241E-03      1.059091395816E-03      1.045797161809E-03      5.541875953989E-02
      3.500000000000E+00      6.653050349567E-03      1.692949301221E-03      1.270249972639E-03      1.128935433812E-03      1.058211762174E-03      1.015724682440E-03      9.873558947988E-04      9.670546991098E-04      9.517957453187E-04      9.398982834079E-04      5.300632966153E-02
      3.600000000000E+00      5.915727622474E-03      1.475033117941E-03      1.106683188027E-03      9.836082275116E-04      9.220291165835E-04      8.850484850504E-04      8.603670876086E-04      8.427138190208E-04      8.294531266730E-04      8.191208146724E-04      4.980856823336E-02
