# M=14, N=7, V0=0.0, Vp0=0.0, Vp=0.0, V=1.09, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:25:55
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -4.440892098501E-16      6.661338147751E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      6.661338147751E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      2.220446049250E-15
      1.000000000000E-01      1.518582844588E-02      4.315460123523E-03      3.240097017764E-03      2.879512240549E-03      2.698998059432E-03      2.590515169443E-03      2.518047901888E-03      2.466160963880E-03      2.427136709105E-03      2.396687556408E-03      8.632666554228E-02
      2.000000000000E-01      4.666796296188E-02      1.636706560958E-02      1.232608115818E-02      1.094805849952E-02      1.025550981813E-02      9.837320023899E-03      9.556310030052E-03      9.353687468081E-03      9.200056174048E-03      9.079084976184E-03      1.610589468310E-01
      3.000000000000E-01      8.382962902363E-02      3.369639333775E-02      2.549008744030E-02      2.262023100790E-02      2.116787581236E-02      2.028404375854E-02      1.968450051284E-02      1.924740652038E-02      1.891184219208E-02      1.864396396358E-02      2.224160956673E-01
      4.000000000000E-01      1.194586194912E-01      5.289976577433E-02      4.021872574713E-02      3.564924960650E-02      3.331318224854E-02      3.187666275635E-02      3.089016048630E-02      3.016085916496E-02      2.959235033814E-02      2.913107851198E-02      2.697393993868E-01
      5.000000000000E-01      1.486010652770E-01      7.046860223379E-02      5.382851940722E-02      4.764459795403E-02      4.444214324318E-02      4.244801250075E-02      4.105908239919E-02      4.001631824978E-02      3.919019536484E-02      3.850877299909E-02      3.031900449402E-01
      6.000000000000E-01      1.684243714490E-01      8.360895502644E-02      6.409495727042E-02      5.663242982363E-02      5.271065401861E-02      5.023444677503E-02      4.848387118827E-02      4.714912813220E-02      4.607528420409E-02      4.517630199004E-02      3.234850021542E-01
      7.000000000000E-01      1.780055857477E-01      9.080891530816E-02      6.975272266031E-02      6.149997403743E-02      5.709570889730E-02      5.427441065248E-02      5.225035530577E-02      5.068469197416E-02      4.940790195556E-02      4.832585202164E-02      3.317255558389E-01
      8.000000000000E-01      1.780429948595E-01      9.202238167647E-02      7.070857150899E-02      6.218407208331E-02      5.756525540379E-02      5.456398644473E-02      5.238081989464E-02      5.067026825450E-02      4.925940090226E-02      4.805216009584E-02      3.293617678735E-01
      9.000000000000E-01      1.705521802233E-01      8.846999514013E-02      6.791223154573E-02      5.955251292352E-02      5.495780173751E-02      5.193164594572E-02      4.970253619026E-02      4.793648682670E-02      4.646620974652E-02      4.519871423440E-02      3.183207396533E-01
