# M=4, N=2, V0=0.0, Vp0=0.0, Vp=0.0, V=0.25, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:17:44
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      4.440892098501E-16
      1.000000000000E-01      1.489367266241E-03      3.042391132776E-04      2.281966937486E-04      2.028415071194E-04      1.901639129246E-04      1.825573564076E-04      1.774863187296E-04      1.738641489596E-04      1.711475216322E-04      1.690345892663E-04      2.436619381455E-02
      2.000000000000E-01      4.760327316188E-03      1.121988197920E-03      8.417273609133E-04      7.482021771567E-04      7.014395411153E-04      6.733819594709E-04      6.546769050411E-04      6.413161518770E-04      6.312955870039E-04      6.235018143249E-04      4.627017620856E-02
      3.000000000000E-01      8.586231855507E-03      2.197986268847E-03      1.649396870425E-03      1.466131142884E-03      1.374497946911E-03      1.319518029035E-03      1.282864750451E-03      1.256683837176E-03      1.237048152220E-03      1.221775952810E-03      6.416255791159E-02
      4.000000000000E-01      1.188742444170E-02      3.196359924152E-03      2.399189668536E-03      2.132614859485E-03      1.999326432817E-03      1.919353375506E-03      1.866038003965E-03      1.827955595720E-03      1.799393789537E-03      1.777179051395E-03      7.685977471366E-02
      5.000000000000E-01      1.382056045005E-02      3.805468415206E-03      2.856823516229E-03      2.539401755880E-03      2.380689150258E-03      2.285461584254E-03      2.221976540247E-03      2.176630080242E-03      2.142620235238E-03      2.116168133569E-03      8.356672290097E-02
      6.000000000000E-01      1.391354269680E-02      3.835181369337E-03      2.879150962448E-03      2.559248447434E-03      2.399295423721E-03      2.303323606778E-03      2.239342395479E-03      2.193641530265E-03      2.159365881355E-03      2.132707043313E-03      8.387845157966E-02
      7.000000000000E-01      1.214398451227E-02      3.276224073103E-03      2.459185018763E-03      2.185944199784E-03      2.049322689560E-03      1.967349781980E-03      1.912701176925E-03      1.873666459029E-03      1.844390420606E-03      1.821620168500E-03      7.777639245310E-02
      8.000000000000E-01      8.942931575817E-03      2.303072295437E-03      1.728300277602E-03      1.536267593844E-03      1.440250869780E-03      1.382640834989E-03      1.344234145128E-03      1.316800795228E-03      1.296225782802E-03      1.280222995360E-03      6.562810740247E-02
      9.000000000000E-01      5.123192161139E-03      1.219493532548E-03      9.148992196388E-04      8.132438516832E-04      7.624161109964E-04      7.319194665565E-04      7.115883702632E-04      6.970661586252E-04      6.861744998967E-04      6.777032097746E-04      4.819098399142E-02
      1.000000000000E+00      1.748103287532E-03      3.637273734602E-04      2.728203419121E-04      2.425069732630E-04      2.273502874344E-04      2.182562759371E-04      2.121936016054E-04      2.078631199399E-04      2.046152586910E-04      2.020891443861E-04      2.661166432630E-02
      1.100000000000E+00      2.095651743417E-05      2.901903554897E-06      2.176429245160E-06      1.934603773623E-06      1.813691037689E-06      1.741143396128E-06      1.692778301754E-06      1.658231805979E-06      1.632321933953E-06      1.612169811316E-06      2.406210199484E-03
      1.200000000000E+00      1.246813690717E-03      2.496488317134E-04      1.872483115815E-04      1.664429444925E-04      1.560402604619E-04      1.497986500434E-04      1.456375764312E-04      1.426653809937E-04      1.404362344157E-04      1.387024537439E-04      2.209761435308E-02
      1.300000000000E+00      4.402547498999E-03      1.026946102737E-03      7.704074534589E-04      6.848066855351E-04      6.420062677109E-04      6.163260170025E-04      5.992058498634E-04      5.869771590500E-04      5.778056409398E-04      5.706722379651E-04      4.431182253637E-02
      1.400000000000E+00      8.224476264817E-03      2.092159840245E-03      1.569941738940E-03      1.395504277905E-03      1.308285260912E-03      1.255953850476E-03      1.221066243518E-03      1.196146524263E-03      1.177456734821E-03      1.162920231922E-03      6.264845369226E-02
      1.500000000000E+00      1.161786625478E-02      3.112782871685E-03      2.336407697708E-03      2.076808523909E-03      1.947007993008E-03      1.869127673290E-03      1.817207460143E-03      1.780121593609E-03      1.752307193709E-03      1.730673771565E-03      7.588721735415E-02
      1.600000000000E+00      1.371013342126E-02      3.770229053881E-03      2.830343749458E-03      2.515864100666E-03      2.358622598345E-03      2.264277694417E-03      2.201381091794E-03      2.156454947064E-03      2.122760338516E-03      2.096553420756E-03      8.319529709873E-02
      1.700000000000E+00      1.398886931653E-02      3.859279452200E-03      2.897259425404E-03      2.575344918742E-03      2.414385865680E-03      2.317810431059E-03      2.253426807974E-03      2.207438505771E-03      2.172947279118E-03      2.146120769499E-03      8.413031090409E-02
      1.800000000000E+00      1.238694892536E-02      3.352137537239E-03      2.516214777118E-03      2.236637457992E-03      2.096847619347E-03      2.012973714576E-03      1.957057778060E-03      1.917117823406E-03      1.887162857415E-03      1.863864550534E-03      7.863655119631E-02
      1.900000000000E+00      9.293690721379E-03      2.407105041286E-03      1.806416931249E-03      1.605704715833E-03      1.505348171752E-03      1.445134244882E-03      1.404991626969E-03      1.376318328459E-03      1.354813354577E-03      1.338087263780E-03      6.704423165878E-02
      2.000000000000E+00      5.490109797893E-03      1.319171797096E-03      9.897054252056E-04      8.797382834635E-04      8.247546408063E-04      7.917644551741E-04      7.697709980860E-04      7.540613858801E-04      7.422791767256E-04      7.331152362723E-04      5.007303028862E-02
      2.100000000000E+00      2.021909255010E-03      4.279364942095E-04      3.209867172641E-04      2.853215308127E-04      2.674889351376E-04      2.567893777321E-04      2.496563394617E-04      2.445613121259E-04      2.407400416239E-04      2.377679423445E-04      2.883249722410E-02
      2.200000000000E+00      7.572818427937E-05      1.159897422909E-05      8.699255897637E-06      7.732671909122E-06      7.249379914809E-06      6.959404718176E-06      6.766087920385E-06      6.628004493581E-06      6.524441923283E-06      6.443893257657E-06      4.804849098696E-03
      2.300000000000E+00      1.021577328107E-03      2.001190636987E-04      1.500968077084E-04      1.334193850751E-04      1.250806735078E-04      1.200774465676E-04      1.167419619407E-04      1.143594729215E-04      1.125726061570E-04      1.111828208958E-04      1.980748164500E-02
      2.400000000000E+00      4.050892200038E-03      9.346502225296E-04      7.011515635930E-04      6.232458797127E-04      5.842930122457E-04      5.609212917559E-04      5.453401447626E-04      5.342107540532E-04      5.258637110211E-04      5.193715664407E-04      4.231717069468E-02
      2.500000000000E+00      7.858570052567E-03      1.985908093061E-03      1.490171518449E-03      1.324597341378E-03      1.241810007847E-03      1.192137607533E-03      1.159022673991E-03      1.135369150032E-03      1.117629007062E-03      1.103831118086E-03      6.108669905599E-02
      2.600000000000E+00      1.133594041795E-02      3.025741751838E-03      2.271026367439E-03      2.018691648591E-03      1.892523422199E-03      1.816822485313E-03      1.766355194054E-03      1.730307128869E-03      1.703271079981E-03      1.682243041957E-03      7.485927347172E-02
      2.700000000000E+00      1.358251235211E-02      3.729568203228E-03      2.799790718540E-03      2.488705755128E-03      2.333161649234E-03      2.239835183270E-03      2.177617539290E-03      2.133176365019E-03      2.099845484316E-03      2.073921465991E-03      8.276437966627E-02
      2.800000000000E+00      1.404636968950E-02      3.877690916857E-03      2.911094836767E-03      2.587643108366E-03      2.425915418536E-03      2.328878801802E-03      2.264187723974E-03      2.217979811240E-03      2.183323876689E-03      2.156369260927E-03      8.432216187806E-02
      2.900000000000E+00      1.261575400510E-02      3.423874298016E-03      2.570108799177E-03      2.284543393323E-03      2.141759433939E-03      2.056089056585E-03      1.998975471680E-03      1.958180053890E-03      1.927583490549E-03      1.903786163505E-03      7.943976524208E-02
      3.000000000000E+00      9.637646483749E-03      2.509774763942E-03      1.883514109253E-03      1.674235644544E-03      1.569595917538E-03      1.506812080838E-03      1.464956189703E-03      1.435059124607E-03      1.412636325785E-03      1.395196371146E-03      6.841009402318E-02
      3.100000000000E+00      5.860056250314E-03      1.420726212415E-03      1.065923479929E-03      9.474876972858E-04      8.882697162853E-04      8.527389276339E-04      8.290517351996E-04      8.121323120323E-04      7.994427446568E-04      7.895730811425E-04      5.191513191172E-02
      3.200000000000E+00      2.309688510932E-03      4.966753016848E-04      3.725527452759E-04      3.311580026115E-04      3.104606274494E-04      2.980422023515E-04      2.897632522862E-04      2.838497165253E-04      2.794145647045E-04      2.759650021773E-04      3.102719156344E-02
      3.300000000000E+00      1.596246004866E-04      2.606531776861E-05      1.954911571633E-05      1.737699174886E-05      1.629092976463E-05      1.563929257398E-05      1.520486778017E-05      1.489456435622E-05      1.466183678811E-05      1.448082645739E-05      7.194167573062E-03
      3.400000000000E+00      8.148246802567E-04      1.557972771343E-04      1.168525094720E-04      1.038688975186E-04      9.737709142366E-05      9.348200776671E-05      9.088528532875E-05      8.903048358733E-05      8.763938228129E-05      8.655741459884E-05      1.749737770647E-02
      3.500000000000E+00      3.706407305899E-03      8.453753562896E-04      6.341655914355E-04      5.637027815388E-04      5.284713577026E-04      5.073325033945E-04      4.932399338557E-04      4.831738127566E-04      4.756242219324E-04      4.697523179579E-04      4.028750021067E-02
      3.600000000000E+00      7.489437643752E-03      1.879547377289E-03      1.410323744964E-03      1.253621476299E-03      1.175270134274E-03      1.128259328904E-03      1.096918791990E-03      1.074532694194E-03      1.057743120847E-03      1.044684563800E-03      5.947823206007E-02
      3.700000000000E+00      1.104230933096E-02      2.935495714733E-03      2.203240667219E-03      1.958437558605E-03      1.836035212649E-03      1.762593804145E-03      1.713632865141E-03      1.678660765852E-03      1.652431691386E-03      1.632031300134E-03      7.377652992740E-02
      3.800000000000E+00      1.343798748984E-02      3.683606922559E-03      2.765255635616E-03      2.458007797809E-03      2.304382314063E-03      2.212207021506E-03      2.150756826464E-03      2.106863830005E-03      2.073944082662E-03      2.048339834728E-03      8.227420939233E-02
      3.900000000000E+00      1.408591368703E-02      3.890360947098E-03      2.920615885403E-03      2.596106294751E-03      2.433849655831E-03      2.336495669605E-03      2.271593012116E-03      2.225233971052E-03      2.190464690254E-03      2.163421916301E-03      8.445389871670E-02
      4.000000000000E+00      1.282987082697E-02      3.491220772531E-03      2.620706278060E-03      2.329519064995E-03      2.183924126351E-03      2.096567161301E-03      2.038329184598E-03      1.996730629810E-03      1.965531713719E-03      1.941265890093E-03      8.018558251625E-02
      4.100000000000E+00      9.973959279425E-03      2.610775779456E-03      1.959362091179E-03      1.741656183707E-03      1.632802673136E-03      1.567490566212E-03      1.523949161595E-03      1.492848158297E-03      1.469522405823E-03      1.451380153900E-03      6.972489171580E-02
      4.200000000000E+00      6.232016921143E-03      1.523854413391E-03      1.143326652632E-03      1.016290554821E-03      9.527723952506E-04      9.146614994406E-04      8.892542355673E-04      8.711061899435E-04      8.574951557255E-04      8.469087957783E-04      5.371613833421E-02
      4.300000000000E+00      2.610355887986E-03      5.697391354429E-04      4.273652377116E-04      3.798802215802E-04      3.561377077335E-04      3.418921994242E-04      3.323951938846E-04      3.256116184992E-04      3.205239369601E-04      3.165668513186E-04      3.319427475625E-02
      4.400000000000E+00      2.700167369948E-04      4.625786275481E-05      3.469379828913E-05      3.083893181799E-05      2.891149857942E-05      2.775503863617E-05      2.698406534085E-05      2.643337012964E-05      2.602034872146E-05      2.569910984829E-05      9.572435989178E-03
