# M=14, N=7, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.2, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 09:05:36
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      0.000000000000E+00      2.886579864025E-15
      1.000000000000E-01      7.588122974693E-04      1.455667550909E-04      1.091790397689E-04      9.704737586880E-05      9.098129636231E-05      8.734145073053E-05      8.491472203542E-05      8.318120301687E-05      8.188094004535E-05      8.086951443786E-05      1.645217171543E-02
      2.000000000000E-01      2.521591703222E-03      5.553186232794E-04      4.165468098940E-04      3.702537343391E-04      3.471033961224E-04      3.332101594888E-04      3.239454735833E-04      3.173256737525E-04      3.123589276695E-04      3.084942173746E-04      3.182853119193E-02
      3.000000000000E-01      4.816058357178E-03      1.154892491047E-03      8.664196441097E-04      7.701032878424E-04      7.219271627668E-04      6.930071921447E-04      6.737152982805E-04      6.599251621267E-04      6.495736241594E-04      6.415144846459E-04      4.544776924427E-02
      4.000000000000E-01      7.232157803442E-03      1.840131758469E-03      1.380734489611E-03      1.227183972649E-03      1.150357314451E-03      1.104220464335E-03      1.073428517121E-03      1.051405084629E-03      1.034861972776E-03      1.021972407081E-03      5.678172919456E-02
      5.000000000000E-01      9.420505373498E-03      2.500947847593E-03      1.876885608186E-03      1.668052393933E-03      1.563525398859E-03      1.500721607782E-03      1.458779419321E-03      1.428758146243E-03      1.406187444966E-03      1.388583791310E-03      6.548181530891E-02
      6.000000000000E-01      1.112745892811E-02      3.044978815891E-03      2.285476128912E-03      2.031021191069E-03      1.903598348200E-03      1.826989773626E-03      1.775788345622E-03      1.739105295397E-03      1.711496238662E-03      1.689936517582E-03      7.139195133136E-02
      7.000000000000E-01      1.221882897110E-02      3.415017712668E-03      2.563454964479E-03      2.277839526510E-03      2.134732033361E-03      2.048630015359E-03      1.991030780634E-03      1.949718885426E-03      1.918586608104E-03      1.894240770216E-03      7.455099679072E-02
      8.000000000000E-01      1.268374823952E-02      3.596335068028E-03      2.699682184501E-03      2.398636769882E-03      2.247702706535E-03      2.156816329253E-03      2.095953904804E-03      2.052248112336E-03      2.019265291878E-03      1.993431188311E-03      7.518797968158E-02
      9.000000000000E-01      1.261844856712E-02      3.613132804507E-03      2.712303275748E-03      2.409579402805E-03      2.257701581630E-03      2.166166016034E-03      2.104801783104E-03      2.060678478840E-03      2.027330901933E-03      2.001167274514E-03      7.371542130169E-02
      1.000000000000E+00      1.219419583891E-02      3.516408150979E-03      2.639630022690E-03      2.344753593218E-03      2.196713802002E-03      2.107412974926E-03      2.047481949624E-03      2.004333932556E-03      1.971675527858E-03      1.946010405323E-03      7.073555839034E-02
      1.100000000000E+00      1.161641874958E-02      3.367550585203E-03      2.527794048078E-03      2.245181376516E-03      2.103212529387E-03      2.017505803045E-03      1.959930573954E-03      1.918430850339E-03      1.886978637361E-03      1.862225049964E-03      6.710905288824E-02
      1.200000000000E+00      1.108117340068E-02      3.222527373613E-03      2.418846850616E-03      2.148239847603E-03      2.012236680316E-03      1.930079797973E-03      1.874846599603E-03      1.834998817150E-03      1.804767317707E-03      1.780947028464E-03      6.407697411472E-02
      1.300000000000E+00      1.072778058894E-02      3.120564115833E-03      2.342252753593E-03      2.080103039982E-03      1.948308763775E-03      1.868661530162E-03      1.815088445241E-03      1.776415400958E-03      1.747055344420E-03      1.723904358394E-03      6.263666604063E-02
      1.400000000000E+00      1.060734276606E-02      3.079301701909E-03      2.311257827513E-03      2.052522215084E-03      1.922423872649E-03      1.843785446962E-03      1.790877676589E-03      1.752673724207E-03      1.723660172279E-03      1.700774012096E-03      6.280098287855E-02
      1.500000000000E+00      1.069154095086E-02      3.096260081529E-03      2.323996309444E-03      2.063817688191E-03      1.932987347054E-03      1.853901532958E-03      1.800688739268E-03      1.762261165839E-03      1.733074913722E-03      1.710050040084E-03      6.397761987534E-02
      1.600000000000E+00      1.090685446092E-02      3.154765127295E-03      2.367943880559E-03      2.102843323865E-03      1.969537125896E-03      1.888954166943E-03      1.834733640754E-03      1.795578046478E-03      1.765838634826E-03      1.742377212797E-03      6.549873157542E-02
      1.700000000000E+00      1.116902067393E-02      3.231720202249E-03      2.425752633000E-03      2.154175999979E-03      2.017611505704E-03      1.935057692852E-03      1.879510088539E-03      1.839395333726E-03      1.808926750074E-03      1.784889517371E-03      6.691899567823E-02
      1.800000000000E+00      1.140556436334E-02      3.304774606905E-03      2.480633264956E-03      2.202899631748E-03      2.063234009154E-03      1.978801742705E-03      1.921987071237E-03      1.880954653960E-03      1.849786821719E-03      1.825195981682E-03      6.799049377207E-02
      1.900000000000E+00      1.156820507652E-02      3.357280812994E-03      2.520078726030E-03      2.237912288872E-03      2.096011171205E-03      2.010222582687E-03      1.952491211061E-03      1.910793335680E-03      1.879117097517E-03      1.854122576083E-03      6.861102589275E-02
