# M=6, N=3, V0=0.0, Vp0=0.0, Vp=0.0, V=0.04, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:18:32
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -2.220446049250E-16      2.220446049250E-16      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      2.220446049250E-16      0.000000000000E+00
      1.000000000000E-01      4.323774663328E-05      6.412936869316E-06      4.809710363096E-06      4.275296269451E-06      4.008088536178E-06      3.847763346831E-06      3.740879429559E-06      3.664533382075E-06      3.607273503015E-06      3.562737736384E-06      3.403060380677E-03
      2.000000000000E-01      1.482587212143E-04      2.442200659236E-05      1.831661677754E-05      1.628140978349E-05      1.526379602823E-05      1.465321956906E-05      1.424616175760E-05      1.395540031646E-05      1.373732410670E-05      1.356770471816E-05      6.615841834946E-03
      3.000000000000E-01      2.885188365511E-04      5.060581562510E-05      3.795484191271E-05      3.373751404334E-05      3.162880389129E-05      3.036354083163E-05      2.952000131806E-05      2.891744668743E-05      2.846550760838E-05      2.811397889690E-05      9.474290768811E-03
      4.000000000000E-01      4.376226586251E-04      8.008716321184E-05      6.006657508917E-05      5.339218214440E-05      5.005486222798E-05      4.805237154470E-05      4.671729547656E-05      4.576359918773E-05      4.504826525964E-05      4.449183957123E-05      1.183847927398E-02
      5.000000000000E-01      5.707705691658E-04      1.075534431640E-04      8.066725148059E-05      7.170358229391E-05      6.722150710425E-05      6.453206956758E-05      6.273895085340E-05      6.145801432078E-05      6.049719164891E-05      5.974977821510E-05      1.360059705337E-02
      6.000000000000E-01      6.679656789945E-04      1.283145955777E-04      9.623903406664E-05      8.554481252920E-05      8.019732820697E-05      7.698853886473E-05      7.484909700572E-05      7.332071084565E-05      7.217423449246E-05      7.128236467224E-05      1.469036093059E-02
      7.000000000000E-01      7.165335235761E-04      1.391567837381E-04      1.043712190048E-04      9.277313410050E-05      8.697361029331E-05      8.349351104875E-05      8.117312407574E-05      7.951542982076E-05      7.827191850707E-05      7.730452914756E-05      1.507764317735E-02
      8.000000000000E-01      7.123194332113E-04      1.388191575169E-04      1.041179817394E-04      9.254792148350E-05      8.676236767791E-05      8.329061657930E-05      8.097576682276E-05      7.932200353800E-05      7.808141928933E-05      7.711628772422E-05      1.477237900576E-02
      9.000000000000E-01      6.594345308688E-04      1.280304572659E-04      9.602591667401E-05      8.535508709828E-05      8.001919081746E-05      7.681726795705E-05      7.468233179719E-05      7.315710231470E-05      7.201293949799E-05      7.112282111876E-05      1.382217057355E-02
      1.000000000000E+00      5.688072357568E-04      1.091571815943E-04      8.187012047522E-05      7.277245736481E-05      6.822325699440E-05      6.549344178519E-05      6.367331914947E-05      6.237302083600E-05      6.139761271884E-05      6.063879806151E-05      1.231015583323E-02
      1.100000000000E+00      4.564061334726E-04      8.560164618898E-05      6.420260865303E-05      5.706838005892E-05      5.350103865154E-05      5.136045215037E-05      4.993324309899E-05      4.891367830173E-05      4.814889116100E-05      4.755395578937E-05      1.088945438907E-02
      1.200000000000E+00      3.383240103469E-04      6.112410974479E-05      4.584378286654E-05      4.074975165258E-05      3.820263193210E-05      3.667427681986E-05      3.565530401084E-05      3.492740680278E-05      3.438143184442E-05      3.395673838535E-05      9.759678397037E-03
      1.300000000000E+00      2.284715484429E-04      3.924396708754E-05      2.943326409000E-05      2.616282296097E-05      2.452757297089E-05      2.354639943869E-05      2.289226413543E-05      2.242500782024E-05      2.207455087189E-05      2.180196016854E-05      8.308074249355E-03
      1.400000000000E+00      1.407716049726E-04      2.281482201627E-05      1.711121411052E-05      1.520996158133E-05      1.425933287202E-05      1.368895369125E-05      1.330869927441E-05      1.303708757994E-05      1.283337758706E-05      1.267493539525E-05      6.659912514444E-03
      1.500000000000E+00      8.872535337212E-05      1.379327093609E-05      1.034498887487E-05      9.195544383722E-06      8.620821656535E-06      8.275987635420E-06      8.046097967007E-06      7.881890786043E-06      7.758735159680E-06      7.662947236531E-06      5.213474985612E-03
      1.600000000000E+00      8.483383978275E-05      1.315988054262E-05      9.869942878993E-06      8.773280208096E-06      8.224947990687E-06      7.895947955028E-06      7.676614010244E-06      7.519946402912E-06      7.402445256544E-06      7.311055084225E-06      5.068659923124E-03
      1.700000000000E+00      1.302810264405E-04      2.092349411775E-05      1.569270267554E-05      1.394906699770E-05      1.307724839061E-05      1.255415661205E-05      1.220542824787E-05      1.195633612028E-05      1.176951664084E-05      1.162421225964E-05      6.423751147824E-03
      1.800000000000E+00      2.128385434201E-04      3.615204475138E-05      2.711427862634E-05      2.410152866350E-05      2.259513405112E-05      2.169128158092E-05      2.108870018169E-05      2.065827367992E-05      2.033544398916E-05      2.008434550582E-05      8.113627861670E-03
      1.900000000000E+00      3.187371179612E-04      5.701371856692E-05      4.276089842903E-05      3.800946700405E-05      3.563366858694E-05      3.420812338151E-05      3.325770478124E-05      3.257878709784E-05      3.206955748647E-05      3.167345325639E-05      9.636985673337E-03
      2.000000000000E+00      4.342940008604E-04      8.085946850755E-05      6.064582736931E-05      5.390687579965E-05      5.053720258252E-05      4.851524073257E-05      4.716713456343E-05      4.620408878142E-05      4.548170573893E-05      4.491976452159E-05      1.083937088305E-02
      2.100000000000E+00      5.458574583681E-04      1.044070057168E-04      7.830729833413E-05      6.960557970381E-05      6.525437985139E-05      6.264338756701E-05      6.090249906077E-05      5.965881270842E-05      5.872587769762E-05      5.800011024415E-05      1.180744020673E-02
      2.200000000000E+00      6.398139379629E-04      1.240803833089E-04      9.306317445956E-05      8.272158087497E-05      7.755031851397E-05      7.444718873639E-05      7.237812524141E-05      7.089995675669E-05      6.979109764638E-05      6.892844477946E-05      1.339597553652E-02
      2.300000000000E+00      7.003113659705E-04      1.365155135085E-04      1.023901297903E-04      9.101204600848E-05      8.532247779480E-05      8.190831593136E-05      7.963185723159E-05      7.800551461545E-05      7.678549454315E-05      7.583635615904E-05      1.448603276352E-02
      2.400000000000E+00      7.155014226805E-04      1.391739734820E-04      1.043841122101E-04      9.278454238548E-05      8.698425648301E-05      8.350368427501E-05      8.118296890380E-05      7.952502885877E-05      7.828132338461E-05      7.731377428422E-05      1.496284981942E-02
      2.500000000000E+00      6.795800744870E-04      1.309405612098E-04      9.820863595622E-05      8.729549316078E-05      8.183851946408E-05      7.856401350814E-05      7.638074141525E-05      7.482103152290E-05      7.365104800017E-05      7.274088205245E-05      1.476807905711E-02
      2.600000000000E+00      5.943759006823E-04      1.125422521959E-04      8.440906415474E-05      7.502956284333E-05      7.033954338564E-05      6.752531673171E-05      6.564898647521E-05      6.430859701378E-05      6.330317054637E-05      6.252105273852E-05      1.387908589696E-02
      2.700000000000E+00      4.700294966604E-04      8.663764466665E-05      6.497964097174E-05      5.775929645502E-05      5.414897997857E-05      5.198267474515E-05      5.053837513191E-05      4.950665015735E-05      4.873278433060E-05      4.813082460142E-05      1.231192722504E-02
      2.800000000000E+00      3.243265467539E-04      5.749082942375E-05      4.311874181573E-05      3.832761704681E-05      3.593199709839E-05      3.449457908578E-05      3.353626204072E-05      3.285171697653E-05      3.233827940030E-05      3.193891348241E-05      1.012257598123E-02
      2.900000000000E+00      1.806594309968E-04      3.024727607959E-05      2.268562860652E-05      2.016496498203E-05      1.890461883347E-05      1.814839967618E-05      1.764424401474E-05      1.728412463620E-05      1.701402793475E-05      1.680394635128E-05      7.405637930249E-03
      3.000000000000E+00      6.504760711135E-05      9.942230806192E-06      7.456691638597E-06      6.628166849376E-06      6.213903143593E-06      5.965343871095E-06      5.799636815462E-06      5.681273883784E-06      5.592501029161E-06      5.523454893019E-06      4.290830269154E-03
      3.100000000000E+00      3.734323841709E-06      4.590275406446E-07      3.442706948409E-07      3.060183941805E-07      2.868922435173E-07      2.754165528973E-07      2.677660919659E-07      2.623014769831E-07      2.582030154130E-07      2.550153228587E-07      9.535786662085E-04
      3.200000000000E+00      2.573435409059E-05      3.686335415143E-06      2.764754109430E-06      2.457558389013E-06      2.303960221717E-06      2.211801075624E-06      2.150361440023E-06      2.106475810448E-06      2.073561434779E-06      2.047961228380E-06      2.507573426986E-03
      3.300000000000E+00      1.179523514601E-04      1.908641605119E-05      1.431488034376E-05      1.272431917232E-05      1.192903149416E-05      1.145185321372E-05      1.113372963202E-05      1.090649444979E-05      1.073606451696E-05      1.060350475046E-05      5.791731830535E-03
      3.400000000000E+00      2.525334133137E-04      4.378865165111E-05      3.284184827002E-05      2.919265638912E-05      2.736802382963E-05      2.627321500226E-05      2.554331804072E-05      2.502194214493E-05      2.463089191562E-05      2.432672546337E-05      8.774148974779E-03
      3.500000000000E+00      4.030738946821E-04      7.319075895196E-05      5.489407367931E-05      4.879445245409E-05      4.574453691197E-05      4.391450366015E-05      4.269441155214E-05      4.182285724008E-05      4.116913904917E-05      4.066064493879E-05      1.130197613055E-02
      3.600000000000E+00      5.437427721040E-04      1.019219877649E-04      7.644343872326E-05      6.794915226394E-05      6.370179478266E-05      6.115320893807E-05      5.945400890872E-05      5.824017220002E-05      5.732968756433E-05      5.662143764229E-05      1.325420730457E-02
      3.700000000000E+00      6.525466669274E-04      1.249350625412E-04      9.370422379384E-05      8.329172367882E-05      7.808512852669E-05      7.496089544579E-05      7.287784339471E-05      7.138975192644E-05      7.027351081823E-05      6.940516994614E-05      1.454615692793E-02
      3.800000000000E+00      7.142717635396E-04      1.384709999057E-04      1.038568454270E-04      9.231597086723E-05      8.654507388983E-05      8.308216806530E-05      8.077325780853E-05      7.912377358199E-05      7.788643061768E-05      7.692384848856E-05      1.513308338114E-02
      3.900000000000E+00      7.222226979049E-04      1.406875571968E-04      1.055193794313E-04      9.379362589579E-05      8.793023203468E-05      8.441178217389E-05      8.206580430237E-05      8.038981041492E-05      7.913255650926E-05      7.815446258430E-05      1.501122389249E-02
      4.000000000000E+00      6.784671232087E-04      1.318413153084E-04      9.888424591753E-05      8.789579323532E-05      8.240107376967E-05      7.910384770127E-05      7.690536832095E-05      7.533474418242E-05      7.415652956211E-05      7.323992128039E-05      1.421631330087E-02
      4.100000000000E+00      5.926955943949E-04      1.140335460619E-04      8.552759791591E-05      7.602348032276E-05      7.127102715221E-05      6.841923982415E-05      6.651778540978E-05      6.515937836848E-05      6.414037592983E-05      6.334764322125E-05      1.282043988693E-02
      4.200000000000E+00      4.802398280686E-04      9.063483225846E-05      6.797766453825E-05      6.042390641969E-05      5.664677065820E-05      5.438028387661E-05      5.286912158109E-05      5.178957327456E-05      5.097978370805E-05      5.034983329888E-05      1.098318023878E-02
      4.300000000000E+00      3.594120499539E-04      6.556390519941E-05      4.917373492708E-05      4.370964657907E-05      4.097747486109E-05      3.933806980894E-05      3.824504808825E-05      3.746424541307E-05      3.687857964008E-05      3.642300513462E-05      9.864883177220E-03
      4.400000000000E+00      2.451581253344E-04      4.259949462848E-05      3.194996124045E-05      2.839985446013E-05      2.662475940407E-05      2.555966904105E-05      2.484958102444E-05      2.434235149096E-05      2.396190850962E-05      2.366598989600E-05      8.478741798892E-03
      4.500000000000E+00      1.518111283452E-04      2.485660849061E-05      1.864257221706E-05      1.657116073650E-05      1.553544953214E-05      1.491401843867E-05      1.449972740097E-05      1.420380210915E-05      1.398185540857E-05      1.380922776884E-05      6.872477955415E-03
      4.600000000000E+00      9.291924932775E-05      1.448284951633E-05      1.086217646606E-05      9.655267680264E-06      9.051813178562E-06      8.689740390588E-06      8.448358459479E-06      8.275942732228E-06      8.146630882555E-06      8.046054951194E-06      5.362125308349E-03
      4.700000000000E+00      8.113765375195E-05      1.255551765156E-05      9.416667796636E-06      8.370368375310E-06      7.847217539769E-06      7.533326138454E-06      7.324064454473E-06      7.174591180270E-06      7.062485662068E-06      6.975291981570E-06      4.932684081280E-03
      4.800000000000E+00      1.199903561802E-04      1.911211640682E-05      1.433415579455E-05      1.274147159469E-05      1.194512941072E-05      1.146732403345E-05      1.114878705932E-05      1.092126060165E-05      1.075061571632E-05      1.061789187973E-05      6.160621736018E-03
      4.900000000000E+00      1.978047947711E-04      3.323872686178E-05      2.492925230335E-05      2.215930288996E-05      2.077431599656E-05      1.994331411215E-05      1.938930473244E-05      1.899357678381E-05      1.869677472954E-05      1.846592327159E-05      7.889831407488E-03
      5.000000000000E+00      3.002541023955E-04      5.316923359455E-05      3.987745527123E-05      3.544645703757E-05      3.323089420348E-05      3.190150553567E-05      3.101520395044E-05      3.038209498341E-05      2.990723140250E-05      2.953786474547E-05      9.491258119986E-03
