# M=12, N=6, V0=0.0, Vp0=0.0, Vp=0.0, V=1.3, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 08:59:59
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      0.000000000000E+00      2.220446049250E-16      0.000000000000E+00      3.552713678801E-15
      1.000000000000E-01      2.062533996773E-02      6.177047392638E-03      4.639969365486E-03      4.123221900495E-03      3.864380578869E-03      3.708710733978E-03      3.604626574149E-03      3.530019876197E-03      3.473836529052E-03      3.429935360458E-03      1.023484628465E-01
      2.000000000000E-01      6.246140654838E-02      2.336591073861E-02      1.762842232135E-02      1.565241648063E-02      1.465685462494E-02      1.405396556693E-02      1.364741674747E-02      1.335306007290E-02      1.312882155855E-02      1.295132689799E-02      1.892726870192E-01
      3.000000000000E-01      1.107476396526E-01      4.789159753758E-02      3.636294808905E-02      3.224789599052E-02      3.015270684638E-02      2.886984203325E-02      2.799326996268E-02      2.734887581081E-02      2.684960196722E-02      2.644708572721E-02      2.592381014544E-01
      4.000000000000E-01      1.559185391460E-01      7.471350812330E-02      5.713674082562E-02      5.059516474583E-02      4.721327796164E-02      4.511263917204E-02      4.365365314820E-02      4.256157701097E-02      4.169902737552E-02      4.098969733023E-02      3.120836580948E-01
      5.000000000000E-01      1.918128601962E-01      9.873714805058E-02      7.600992887948E-02      6.718909725695E-02      6.254218430191E-02      5.960777426875E-02      5.753367000781E-02      5.595256148656E-02      5.468071166965E-02      5.361609524283E-02      3.485680392190E-01
      6.000000000000E-01      2.152599350061E-01      1.160630990238E-01      8.978553816032E-02      7.919760638312E-02      7.350497810536E-02      6.984771820079E-02      6.721844435808E-02      6.518092733546E-02      6.351676891458E-02      6.210470451379E-02      3.699903328831E-01
      7.000000000000E-01      2.255811660192E-01      1.247907528075E-01      9.677879895760E-02      8.514233035067E-02      7.875980219685E-02      7.458985500658E-02      7.154543573725E-02      6.915348757888E-02      6.717684171245E-02      6.548372851769E-02      3.779551029025E-01
      8.000000000000E-01      2.240821860637E-01      1.251968240470E-01      9.710507266127E-02      8.515710957614E-02      7.848245377227E-02      7.405286261033E-02      7.077444258747E-02      6.816915311568E-02      6.599690903428E-02      6.412412112001E-02      3.743457521114E-01
      9.000000000000E-01      2.136431262909E-01      1.193423651542E-01      9.240882622536E-02      8.074474703543E-02      7.412318623196E-02      6.966650593663E-02      6.632821451667E-02      6.364966958375E-02      6.140014846216E-02      5.945101631110E-02      3.615413364982E-01
      1.000000000000E+00      1.983418328663E-01      1.102985999355E-01      8.518660047996E-02      7.416225628309E-02      6.782186756490E-02      6.350350517675E-02      6.023581864520E-02      5.759253881053E-02      5.535899174454E-02      5.341527744573E-02      3.428616186076E-01
      1.100000000000E+00      1.829083955412E-01      1.012327636327E-01      7.798551168523E-02      6.769355955528E-02      6.172323305136E-02      5.762258509659E-02      5.449653501619E-02      5.195235482243E-02      4.979220478160E-02      4.790548360315E-02      3.230950920832E-01
      1.200000000000E+00      1.717768090713E-01      9.460017275009E-02      7.274132035740E-02      6.305558929582E-02      5.742258468297E-02      5.354044992241E-02      5.057096782559E-02      4.814685269437E-02      4.608317548935E-02      4.427656958950E-02      3.084231309939E-01
      1.300000000000E+00      1.676594960923E-01      9.163588876823E-02      7.040405815796E-02      6.107193815811E-02      5.566784229355E-02      5.195294720751E-02      4.911589892021E-02      4.680189717361E-02      4.483248525731E-02      4.310802062661E-02      3.040226997935E-01
      1.400000000000E+00      1.703627831904E-01      9.223058981965E-02      7.087264442236E-02      6.162723383023E-02      5.632728892080E-02      5.271280907275E-02      4.996977696907E-02      4.774302016252E-02      4.585411335209E-02      4.420357999290E-02      3.098735196186E-01
      1.500000000000E+00      1.772019383490E-01      9.515800704889E-02      7.318160600150E-02      6.384334017942E-02      5.856251708132E-02      5.500217979058E-02      5.232607396179E-02      5.017013095723E-02      4.835166985437E-02      4.676899223978E-02      3.210754300784E-01
      1.600000000000E+00      1.846117419586E-01      9.853784541279E-02      7.585228050105E-02      6.639460658314E-02      6.112542742010E-02      5.761896719894E-02      5.501294604113E-02      5.293279716565E-02      5.119076641840E-02      4.968246054519E-02      3.322888161190E-01
      1.700000000000E+00      1.893811060018E-01      1.003809335849E-01      7.731086141468E-02      6.787620984525E-02      6.269898102611E-02      5.929979261329E-02      5.680361160132E-02      5.483122876525E-02      5.319273379616E-02      5.178262977150E-02      3.398665586633E-01
      1.800000000000E+00      1.891725854398E-01      9.907339559490E-02      7.627594213689E-02      6.714337911112E-02      6.220793742234E-02      5.901137384593E-02      5.669326199513E-02      5.488167509423E-02      5.339048688326E-02      5.211635520496E-02      3.417011316409E-01
      1.900000000000E+00      1.826517237443E-01      9.370753971582E-02      7.203708121882E-02      6.355559981358E-02      5.904225457785E-02      5.615941284986E-02      5.409661478812E-02      5.250443965775E-02      5.120811352549E-02      5.011060825939E-02      3.366880249158E-01
      2.000000000000E+00      1.694723274801E-01      8.423297123485E-02      6.458439274477E-02      5.709179678226E-02      5.316497086515E-02      5.069174304908E-02      4.894723828943E-02      4.761965645517E-02      4.655308243048E-02      4.566094277750E-02      3.243683442524E-01
      2.100000000000E+00      1.502517215543E-01      7.144831581182E-02      5.459135272062E-02      4.833835756923E-02      4.510719354266E-02      4.309951258665E-02      4.170407399673E-02      4.065841253243E-02      3.983129440869E-02      3.914983215185E-02      3.047928638748E-01
      2.200000000000E+00      1.266069939634E-01      5.686924903346E-02      4.328226058059E-02      3.837657029730E-02      3.587166161988E-02      3.433381026101E-02      3.327954376140E-02      3.250148178559E-02      3.189593432412E-02      3.140530152419E-02      2.786335538741E-01
      2.300000000000E+00      1.012779246483E-01      4.250511086374E-02      3.222747511722E-02      2.860442049694E-02      2.677103473558E-02      2.565613310551E-02      2.490047102551E-02      2.435003653426E-02      2.392782357471E-02      2.359105203260E-02      2.476966771472E-01
      2.400000000000E+00      7.828709768004E-02      3.057115670897E-02      2.310725244192E-02      2.052492806207E-02      1.922619426148E-02      1.844179754431E-02      1.791456986968E-02      1.753428450785E-02      1.724582802915E-02      1.701858197903E-02      2.161673193945E-01
      2.500000000000E+00      6.277019303186E-02      2.316315114515E-02      1.747454166135E-02      1.552742092671E-02      1.455100106872E-02      1.396323177055E-02      1.356979048311E-02      1.328739256155E-02      1.307439565734E-02      1.290766514754E-02      1.921551638067E-01
      2.600000000000E+00      5.950031443207E-02      2.192430838320E-02      1.653469539268E-02      1.468295147340E-02      1.375074911197E-02      1.318680443977E-02      1.280700852565E-02      1.253245272923E-02      1.232368274694E-02      1.215877959930E-02      1.852131456575E-01
      2.700000000000E+00      7.064705104970E-02      2.773936342520E-02      2.095151863703E-02      1.856943399242E-02      1.735550771279E-02      1.661027458095E-02      1.609952138215E-02      1.572284833147E-02      1.543005606041E-02      1.519325694461E-02      2.002105145061E-01
      2.800000000000E+00      9.476794481556E-02      4.049804349433E-02      3.068959053198E-02      2.713800422076E-02      2.529998513345E-02      2.415259126820E-02      2.335115904282E-02      2.274785209577E-02      2.226875376149E-02      2.187280419128E-02      2.338807669080E-01
      2.900000000000E+00      1.271990960618E-01      5.898204483503E-02      4.491555964800E-02      3.963697174349E-02      3.686180057272E-02      3.510348014635E-02      3.385578862889E-02      3.290124810269E-02      3.213111177423E-02      3.148497958402E-02      2.750265932010E-01
      3.000000000000E+00      1.624153352352E-01      8.093686969270E-02      6.200111696277E-02      5.462458378958E-02      5.068418173928E-02      4.815481098563E-02      4.633660643441E-02      4.492797679114E-02      4.377805543781E-02      4.280305472429E-02      3.147751465992E-01
      3.100000000000E+00      1.955101032689E-01      1.033688031535E-01      7.967873589402E-02      7.010999418963E-02      6.491745628675E-02      6.154553981536E-02      5.909560621543E-02      5.717862093163E-02      5.559980035226E-02      5.425095740454E-02      3.486292068393E-01
      3.200000000000E+00      2.225943988337E-01      1.230416578336E-01      9.537433858178E-02      8.384057014262E-02      7.749065583094E-02      7.332630719900E-02      7.027488571892E-02      6.786945951919E-02      6.587590810720E-02      6.416414472636E-02      3.743871005863E-01
      3.300000000000E+00      2.409004950747E-01      1.370657748496E-01      1.066774883916E-01      9.370350939845E-02      8.647613316644E-02      8.169963811621E-02      7.817820522055E-02      7.538852958736E-02      7.306776434742E-02      7.106974013256E-02      3.909459714434E-01
      3.400000000000E+00      2.487698332429E-01      1.434390289444E-01      1.118465802628E-01      9.816217941982E-02      9.047540209804E-02      8.536700221868E-02      8.158545080364E-02      7.858097953482E-02      7.607699239327E-02      7.391948836809E-02      3.977467912033E-01
      3.500000000000E+00      2.456347257409E-01      1.414405187425E-01      1.102234607448E-01      9.662727006116E-02      8.894990339094E-02      8.382642041435E-02      8.002191625685E-02      7.699307513577E-02      7.446625342098E-02      7.228890161447E-02      3.945342471299E-01
