# M=22, N=11, V0=0.0, Vp0=0.0, Vp=0.0, V=0.06, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 15:29:44
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00      0.000000000000E+00      1.154631945610E-14
      1.000000000000E-01      8.321249330301E-05      1.295312218552E-05      9.714873098865E-06      8.635437695581E-06      8.095718096790E-06      7.771884819707E-06      7.555994703257E-06      7.401786393135E-06      7.286129212414E-06      7.196172783885E-06      4.942093394540E-03
      2.000000000000E-01      2.843456079340E-04      4.943532185697E-05      3.707694962962E-05      3.295721092567E-05      3.089731245076E-05      2.966135007254E-05      2.883735574244E-05      2.824877172536E-05      2.780731915397E-05      2.746395421305E-05      9.617442685048E-03
      3.000000000000E-01      5.535500505749E-04      1.028740092148E-04      7.715749137116E-05      6.858407016752E-05      6.429722199552E-05      6.172500307988E-05      6.001009879242E-05      5.878508857737E-05      5.786626215709E-05      5.715155826724E-05      1.380758657897E-02
      4.000000000000E-01      8.431781201899E-04      1.640247544663E-04      1.230236109242E-04      1.093532698970E-04      1.025177048954E-04      9.841605048955E-05      9.568135138016E-05      9.372776958250E-05      9.226238610394E-05      9.112246817011E-05      1.733290918409E-02
      5.000000000000E-01      1.110042499298E-03      2.230471312172E-04      1.672946779294E-04      1.487041185126E-04      1.394079895523E-04      1.338296332776E-04      1.301101633451E-04      1.274529141799E-04      1.254595529936E-04      1.239087837925E-04      2.006495713549E-02
      6.000000000000E-01      1.321020869026E-03      2.715864286391E-04      2.037036538316E-04      1.810658984800E-04      1.697455127241E-04      1.629520758142E-04      1.584221133335E-04      1.551855648185E-04      1.527574000373E-04      1.508681577493E-04      2.193475312319E-02
      7.000000000000E-01      1.457130463231E-03      3.043426402205E-04      2.282743507727E-04      2.029043502580E-04      1.902170278565E-04      1.826027783207E-04      1.775250652472E-04      1.738968016052E-04      1.711744438797E-04      1.690560234517E-04      2.293701984713E-02
      8.000000000000E-01      1.514890108659E-03      3.197815717964E-04      2.398553567335E-04      2.131962527980E-04      1.998635057969E-04      1.918613037875E-04      1.865243743482E-04      1.827104578696E-04      1.798484245463E-04      1.776209800428E-04      2.313074494433E-02
      9.000000000000E-01      1.504802264587E-03      3.199008096861E-04      2.399447994570E-04      2.132735886140E-04      1.999339741956E-04      1.919270010418E-04      1.865863486632E-04      1.827693082772E-04      1.799045254942E-04      1.776745812068E-04      2.263742475001E-02
      1.000000000000E+00      1.447480092180E-03      3.092221413938E-04      2.319345381796E-04      2.061516182779E-04      1.932554973152E-04      1.855140989329E-04      1.803500620663E-04      1.766588034013E-04      1.738880312807E-04      1.717309170068E-04      2.164076599423E-02
      1.100000000000E+00      1.368406952830E-03      2.933649162014E-04      2.200398271150E-04      1.955773872213E-04      1.833410733965E-04      1.759952131599E-04      1.710945800260E-04      1.675912197872E-04      1.649611553378E-04      1.629132882881E-04      2.039907143786E-02
      1.200000000000E+00      1.292412250573E-03      2.776160238902E-04      2.082264713410E-04      1.850760519404E-04      1.734955331418E-04      1.665429777944E-04      1.619044045529E-04      1.585881071255E-04      1.560982323667E-04      1.541593063061E-04      1.928421600485E-02
      1.300000000000E+00      1.238252495182E-03      2.658488990854E-04      1.993999283449E-04      1.772301057796E-04      1.661398368458E-04      1.594813925809E-04      1.550388610845E-04      1.518625658270E-04      1.494776685442E-04      1.476203702002E-04      1.869003189459E-02
      1.400000000000E+00      1.214244737525E-03      2.599924752982E-04      1.950070329375E-04      1.733254207918E-04      1.624792988357E-04      1.559673761866E-04      1.516225536657E-04      1.485160744803E-04      1.461835602350E-04      1.443670229326E-04      1.866868667047E-02
      1.500000000000E+00      1.218648537395E-03      2.600697631903E-04      1.950650063947E-04      1.733771036392E-04      1.625278929951E-04      1.560141624926E-04      1.516681725691E-04      1.485608919833E-04      1.462278051143E-04      1.444108477284E-04      1.902438477801E-02
      1.600000000000E+00      1.243306080358E-03      2.646731400584E-04      1.985179920876E-04      1.764464653813E-04      1.654054580840E-04      1.587766619853E-04      1.543539720315E-04      1.511919146280E-04      1.488177529776E-04      1.469688555260E-04      1.955299527830E-02
      1.700000000000E+00      1.277484381979E-03      2.716588747638E-04      2.037579958065E-04      1.811041002231E-04      1.697718534395E-04      1.629682698225E-04      1.584290183829E-04      1.551836715512E-04      1.527470155445E-04      1.508494871487E-04      2.009638587721E-02
      1.800000000000E+00      1.311016944049E-03      2.788376234171E-04      2.091427984769E-04      1.858902509526E-04      1.742585502296E-04      1.672751921449E-04      1.626160060320E-04      1.592849187464E-04      1.567838937171E-04      1.548362439592E-04      2.054744046228E-02
      1.900000000000E+00      1.336371220587E-03      2.844946343719E-04      2.133861543823E-04      1.896616375525E-04      1.777937699070E-04      1.706685661507E-04      1.659146950606E-04      1.625158718253E-04      1.599639540388E-04      1.579766403665E-04      2.084411606945E-02
      2.000000000000E+00      1.349570186044E-03      2.876612142821E-04      2.157614291205E-04      1.917724471476E-04      1.797721420509E-04      1.725673122035E-04      1.677602207741E-04      1.643232662625E-04      1.617426479177E-04      1.597329208796E-04      2.096272764251E-02
      2.100000000000E+00      1.350120987941E-03      2.881437752649E-04      2.161234019709E-04      1.920936881263E-04      1.800728246923E-04      1.728555061509E-04      1.680399609141E-04      1.645968583008E-04      1.620115329710E-04      1.599980597340E-04      2.091065096896E-02
      2.200000000000E+00      1.340270971075E-03      2.863745332053E-04      2.147962797854E-04      1.909136216240E-04      1.789661350959E-04      1.717927220981E-04      1.670063467736E-04      1.635839937553E-04      1.610141553581E-04      1.590126606468E-04      2.071942297815E-02
      2.300000000000E+00      1.323950301761E-03      2.831701194377E-04      2.123926271640E-04      1.887767923621E-04      1.769626241050E-04      1.698691274012E-04      1.651359674115E-04      1.617515720613E-04      1.592101553132E-04      1.572307249234E-04      2.043986151697E-02
      2.400000000000E+00      1.305681724799E-03      2.794765305909E-04      2.096220457593E-04      1.863139600151E-04      1.746536313711E-04      1.676524104832E-04      1.629807444194E-04      1.596402533504E-04      1.571317473621E-04      1.551778987228E-04      2.013813830224E-02
      2.500000000000E+00      1.289610629901E-03      2.761543955176E-04      2.071300982558E-04      1.840989276976E-04      1.725770687950E-04      1.656589394043E-04      1.610426757059E-04      1.577417646348E-04      1.552629496580E-04      1.533321993681E-04      1.988577308198E-02
      2.600000000000E+00      1.278740122152E-03      2.738313885100E-04      2.053876033803E-04      1.825501531658E-04      1.711251957031E-04      1.642652401039E-04      1.596877863563E-04      1.564146201685E-04      1.539566343944E-04      1.520421028425E-04      1.973750672693E-02
      2.700000000000E+00      1.274492999481E-03      2.728277786179E-04      2.046347930644E-04      1.818811280265E-04      1.704981155601E-04      1.636633688067E-04      1.591027558105E-04      1.558416485881E-04      1.533927331492E-04      1.514852794982E-04      1.971100832276E-02
      2.800000000000E+00      1.276696487396E-03      2.731490286587E-04      2.048757634907E-04      1.820954585350E-04      1.706991766004E-04      1.638565085056E-04      1.592906482126E-04      1.560258217057E-04      1.535741419758E-04      1.516645606854E-04      1.978705192378E-02
      2.900000000000E+00      1.283933582122E-03      2.745336493568E-04      2.059143712403E-04      1.830187796252E-04      1.715648971792E-04      1.646877030046E-04      1.600988538359E-04      1.568176311304E-04      1.543536756152E-04      1.524345654738E-04      1.992862891726E-02
      3.000000000000E+00      1.294062300269E-03      2.765412918460E-04      2.074203106068E-04      1.843574898377E-04      1.728200293258E-04      1.658927175150E-04      1.612704809166E-04      1.579654308919E-04      1.554836231206E-04      1.535506440926E-04      2.010028793560E-02
      3.100000000000E+00      1.304718162185E-03      2.786629063030E-04      2.090117423728E-04      1.857721935790E-04      1.741464056702E-04      1.671661267126E-04      1.625086030863E-04      1.591783689521E-04      1.566776913906E-04      1.547300521136E-04      2.027315424987E-02
      3.200000000000E+00      1.313746804970E-03      2.804319202996E-04      2.103386883685E-04      1.869518214335E-04      1.752524195511E-04      1.682280082731E-04      1.635410931420E-04      1.601898908197E-04      1.576735096358E-04      1.557136764410E-04      2.042172290684E-02
      3.300000000000E+00      1.319563167414E-03      2.815148673676E-04      2.111510128060E-04      1.876740498727E-04      1.759296608568E-04      1.688783059448E-04      1.641734689151E-04      1.608094999566E-04      1.582835741627E-04      1.563163443650E-04      2.052324784598E-02
