# M=6, N=3, V0=0.0, Vp0=0.0, Vp=0.0, V=-4.67, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:18:16
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -2.220446049250E-16      8.881784197001E-16      6.661338147751E-16      4.440892098501E-16      6.661338147751E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16     -2.220446049250E-16
      1.000000000000E-01      1.681400049537E-01      8.309903719446E-02      6.369514160138E-02      5.636562678143E-02      5.255136490570E-02      5.016516456912E-02      4.849332380506E-02      4.722912495099E-02      4.621921818611E-02      4.537845791460E-02      3.231002766535E-01
      2.000000000000E-01      3.951733101205E-01      2.728382139887E-01      2.217206578348E-01      1.963404905814E-01      1.813478154023E-01      1.711655241683E-01      1.635094250327E-01      1.573294582121E-01      1.520919122834E-01      1.475021733205E-01      5.148163177321E-01
      3.000000000000E-01      5.488309682672E-01      4.555216366798E-01      3.979492688728E-01      3.611048168826E-01      3.359171864053E-01      3.174787732828E-01      3.031507413046E-01      2.914774617477E-01      2.816267498177E-01      2.731031213370E-01      6.142215948525E-01
      4.000000000000E-01      6.269860174183E-01      5.730106055316E-01      5.310368092384E-01      4.988703042205E-01      4.740208571583E-01      4.544362153587E-01      4.386194112474E-01      4.255311203293E-01      4.144611832885E-01      4.049237636831E-01      6.586709156061E-01
      5.000000000000E-01      6.589793185677E-01      6.287040903558E-01      6.021136535279E-01      5.787880406812E-01      5.582805365863E-01      5.401958039395E-01      5.242047977465E-01      5.100352105109E-01      4.974577886612E-01      4.862755921014E-01      6.755794800818E-01
      6.000000000000E-01      6.459647875689E-01      6.064128122189E-01      5.729223836747E-01      5.440866234032E-01      5.189429314425E-01      4.968881970045E-01      4.775235004906E-01      4.605419750772E-01      4.456729523189E-01      4.326632972791E-01      6.685200039486E-01
      7.000000000000E-01      5.266956338076E-01      4.234048993249E-01      3.646772436794E-01      3.301347989052E-01      3.081509229812E-01      2.929313308188E-01      2.815846125005E-01      2.726062870237E-01      2.651717357152E-01      2.588047934024E-01      6.019590594197E-01
      8.000000000000E-01      3.074105611722E-01      1.843254857211E-01      1.455120942208E-01      1.294911879583E-01      1.211006160984E-01      1.159334074166E-01      1.123932902533E-01      1.097838348940E-01      1.077556484132E-01      1.061145620409E-01      4.550723856991E-01
      9.000000000000E-01      2.260717927243E-01      1.198030768926E-01      9.277779217495E-02      8.245153854708E-02      7.716801654130E-02      7.395117108673E-02      7.177115369688E-02      7.018421399567E-02      6.896832157003E-02      6.800011963935E-02      3.867195516977E-01
      1.000000000000E+00      3.997526598366E-01      2.723488536369E-01      2.212854474266E-01      1.974383080704E-01      1.842003117982E-01      1.757795465235E-01      1.698718261684E-01      1.654285267429E-01      1.619145027337E-01      1.590303076676E-01      5.220942948541E-01
      1.100000000000E+00      5.696134120273E-01      4.817732086245E-01      4.260354690524E-01      3.911763083498E-01      3.685452269473E-01      3.530338966226E-01      3.418115869420E-01      3.332982776102E-01      3.265820167877E-01      3.211138179901E-01      6.275263889380E-01
      1.200000000000E+00      6.375337256779E-01      5.897176959100E-01      5.517234379460E-01      5.228702876250E-01      5.013127931610E-01      4.851516244708E-01      4.728575034618E-01      4.633165378781E-01      4.557501714584E-01      4.496209776634E-01      6.646260651422E-01
      1.300000000000E+00      6.417566050678E-01      5.971745547357E-01      5.611246795176E-01      5.331566704016E-01      5.117964335964E-01      4.954416239085E-01      4.827486862822E-01      4.727065043474E-01      4.645895222021E-01      4.578863923827E-01      6.668131948836E-01
      1.400000000000E+00      6.044196171041E-01      5.414527678572E-01      4.932849781448E-01      4.540147558979E-01      4.210593563245E-01      3.932062368530E-01      3.696792352105E-01      3.498282970328E-01      3.330662001466E-01      3.188715607147E-01      6.447307492721E-01
      1.500000000000E+00      5.254609350868E-01      4.491591266849E-01      3.912659814788E-01      3.411408488938E-01      2.985090113012E-01      2.634057874465E-01      2.350583024131E-01      2.122998805086E-01      1.939653905956E-01      1.790651255215E-01      5.875139631663E-01
      1.600000000000E+00      3.959980427804E-01      3.034302751044E-01      2.492657157599E-01      2.139584709695E-01      1.887249354476E-01      1.692214220562E-01      1.533088919268E-01      1.398909213964E-01      1.283596773873E-01      1.183409992536E-01      4.824286220104E-01
      1.700000000000E+00      2.558146666061E-01      1.471197765297E-01      1.148412720785E-01      1.013476945852E-01      9.400221849816E-02      8.923674602326E-02      8.576984524204E-02      8.304449901226E-02      8.078212406176E-02      7.882854841078E-02      4.052663892054E-01
      1.800000000000E+00      1.905955597410E-01      9.509219051576E-02      7.312965114716E-02      6.498008547560E-02      6.084077719784E-02      5.833036159554E-02      5.663577382726E-02      5.540760896646E-02      5.447111699315E-02      5.372921376593E-02      3.529484062908E-01
      1.900000000000E+00      2.847616028169E-01      1.646839497749E-01      1.292282744220E-01      1.150415771213E-01      1.077242900289E-01      1.032741221798E-01      1.002677560965E-01      9.808772607034E-02      9.642464804994E-02      9.510658732308E-02      4.377270201505E-01
      2.000000000000E+00      3.983185978642E-01      2.686454848992E-01      2.179972317113E-01      1.952967491888E-01      1.832373243835E-01      1.759048223273E-01      1.709981577679E-01      1.674862072678E-01      1.648471605651E-01      1.627902395800E-01      5.225391564353E-01
      2.100000000000E+00      4.583930775952E-01      3.345554877111E-01      2.780124461057E-01      2.504079194709E-01      2.351895488487E-01      2.258078750615E-01      2.194986774806E-01      2.149728552731E-01      2.115667726588E-01      2.089081975273E-01      5.618826899547E-01
      2.200000000000E+00      4.909185647146E-01      3.737110871096E-01      3.153082504116E-01      2.852461726546E-01      2.682479745555E-01      2.576688157886E-01      2.505398223328E-01      2.454318871228E-01      2.415975036741E-01      2.386143679292E-01      5.820551088106E-01
      2.300000000000E+00      5.371600701615E-01      4.374347617098E-01      3.790711982242E-01      3.440436239289E-01      3.214847197495E-01      3.057733977055E-01      2.940328727417E-01      2.847401918098E-01      2.770508048866E-01      2.704732630077E-01      6.081881329775E-01
      2.400000000000E+00      5.525189949352E-01      4.773376785508E-01      4.212303950240E-01      3.734755216100E-01      3.326968020718E-01      2.986977306568E-01      2.708661173688E-01      2.482547439468E-01      2.298654790383E-01      2.148130717576E-01      6.092173971217E-01
