# M=20, N=10, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.8, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 17:15:37
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16      0.000000000000E+00     -4.440892098501E-16     -4.440892098501E-16      1.199040866595E-13
      1.000000000000E-01      8.833385235280E-03      2.304014596983E-03      1.729007819628E-03      1.536736305626E-03      1.440539738877E-03      1.382773610683E-03      1.344222697476E-03      1.316651902938E-03      1.295943678919E-03      1.279810498680E-03      6.390099523551E-02
      2.000000000000E-01      2.773811283883E-02      8.765693300947E-03      6.588761686523E-03      5.854296645635E-03      5.486116224410E-03      5.264475320384E-03      5.116104055155E-03      5.009600944573E-03      4.929265248552E-03      4.866374336000E-03      1.206881097451E-01
      3.000000000000E-01      5.078753932181E-02      1.815441614052E-02      1.367836626804E-02      1.214776413423E-02      1.137791272831E-02      1.091259540851E-02      1.059954579003E-02      1.037350480164E-02      1.020184293994E-02      1.006643275291E-02      1.686471119769E-01
      4.000000000000E-01      7.376053976384E-02      2.878281300903E-02      2.174548507771E-02      1.929986396721E-02      1.806389805895E-02      1.731276234750E-02      1.680405414752E-02      1.643387296970E-02      1.615026874924E-02      1.592438072878E-02      2.069168087755E-01
      5.000000000000E-01      9.364311535194E-02      3.893197384293E-02      2.949075319760E-02      2.615357209450E-02      2.445679417139E-02      2.341870858132E-02      2.271003286448E-02      2.218959696582E-02      2.178681642905E-02      2.146247933095E-02      2.353701501023E-01
      6.000000000000E-01      1.086631738441E-01      4.724840296549E-02      3.586850767894E-02      3.178020228739E-02      2.968686131017E-02      2.839638294480E-02      2.750753026515E-02      2.684822751010E-02      2.633243813980E-02      2.591236875578E-02      2.544835945671E-01
      7.000000000000E-01      1.182362116195E-01      5.300028518525E-02      4.029622231904E-02      3.566530876647E-02      3.327602005246E-02      3.179097135567E-02      3.075847492306E-02      2.998474043843E-02      2.937287531683E-02      2.886905996260E-02      2.652310042171E-01
      8.000000000000E-01      1.227878869672E-01      5.613601640731E-02      4.271587424795E-02      3.776231502286E-02      3.518657086345E-02      3.357212071946E-02      3.243909304650E-02      3.158152153120E-02      3.089642702768E-02      3.032661435885E-02      2.690154249778E-01
      9.000000000000E-01      1.234804674884E-01      5.715625871949E-02      4.350402317544E-02      3.841117703595E-02      3.574286205379E-02      3.405666459163E-02      3.286271985034E-02      3.195069419918E-02      3.121542569445E-02      3.059851148328E-02      2.676260910872E-01
