# M=14, N=7, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.06, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-09 02:24:24
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -4.440892098501E-16      6.661338147751E-16      6.661338147751E-16      4.440892098501E-16      4.440892098501E-16      6.661338147751E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      1.776356839400E-15
      1.000000000000E-01      8.407114520481E-05      1.310193317061E-05      9.826482064712E-06      8.734645378539E-06      8.188725030722E-06      7.861171218204E-06      7.642800673446E-06      7.486820567060E-06      7.369834485349E-06      7.278844419423E-06      4.965231741015E-03
      2.000000000000E-01      2.871764395211E-04      4.999192289579E-05      3.749441078615E-05      3.332828313352E-05      3.124518854292E-05      2.999530718184E-05      2.916203243619E-05      2.856681861285E-05      2.812039286670E-05      2.777315917113E-05      9.660626729812E-03
      3.000000000000E-01      5.588128844281E-04      1.039952900646E-04      7.799849550527E-05      6.933160895572E-05      6.499802044124E-05      6.239775118599E-05      6.066414156014E-05      5.942576600781E-05      5.849691175119E-05      5.777440502497E-05      1.386537718226E-02
      4.000000000000E-01      8.507528468027E-04      1.657384001461E-04      1.243089511571E-04      1.104957369584E-04      1.035887137566E-04      9.944416714758E-05      9.668085883430E-05      9.470682954582E-05      9.322609964735E-05      9.207423600843E-05      1.739831199766E-02
      5.000000000000E-01      1.119396352794E-03      2.252697851857E-04      1.689618552829E-04      1.501859329327E-04      1.407970770810E-04      1.351630483557E-04      1.314064331934E-04      1.287226257811E-04      1.267093232129E-04      1.251430238736E-04      2.013037685280E-02
      6.000000000000E-01      1.331469896369E-03      2.741794222048E-04      2.056486644222E-04      1.827945879640E-04      1.713659632538E-04      1.645075202985E-04      1.599341682281E-04      1.566665823847E-04      1.542151004390E-04      1.523076877636E-04      2.199292631608E-02
      7.000000000000E-01      1.468124973920E-03      3.071841663955E-04      2.304058213167E-04      2.047986778786E-04      1.919926665432E-04      1.843071097478E-04      1.791817802543E-04      1.755194378181E-04      1.727714623161E-04      1.706330647917E-04      2.298171769078E-02
      8.000000000000E-01      1.526242885679E-03      3.228289862824E-04      2.421412848976E-04      2.152277656633E-04      2.017676520805E-04      1.936889030865E-04      1.883008364660E-04      1.844503026989E-04      1.815607270241E-04      1.793117901303E-04      2.315704128699E-02
      9.000000000000E-01      1.516797090936E-03      3.232213983448E-04      2.424356414941E-04      2.154871360989E-04      2.020086737837E-04      1.939182315345E-04      1.885217994695E-04      1.846648019244E-04      1.817699510669E-04      1.795165314351E-04      2.264147063175E-02
      1.000000000000E+00      1.460840509379E-03      3.129829718651E-04      2.347555999211E-04      2.086585810690E-04      1.956051674732E-04      1.877691991512E-04      1.825419537034E-04      1.788054072436E-04      1.760005478284E-04      1.738168132670E-04      2.162003064445E-02
      1.100000000000E+00      1.384167309950E-03      2.977872256358E-04      2.233570495096E-04      1.985252583556E-04      1.861039794460E-04      1.786469087885E-04      1.736719425800E-04      1.701153220477E-04      1.674451678049E-04      1.653659913035E-04      2.036051063460E-02
      1.200000000000E+00      1.311744926889E-03      2.829112282035E-04      2.121984312520E-04      1.886057696896E-04      1.768037869516E-04      1.697180791758E-04      1.649905092782E-04      1.616104470799E-04      1.590725774907E-04      1.570961699058E-04      1.927769258175E-02
      1.300000000000E+00      1.261988534842E-03      2.721576332836E-04      2.041321155661E-04      1.814354156526E-04      1.700813030761E-04      1.632642289027E-04      1.587156743841E-04      1.554634171992E-04      1.530213461871E-04      1.511193995924E-04      1.876047349205E-02
      1.400000000000E+00      1.242473776642E-03      2.673441836858E-04      2.005215413245E-04      1.782259434917E-04      1.670723547482E-04      1.603755731532E-04      1.559071956259E-04      1.527121922733E-04      1.503130481495E-04      1.484444771731E-04      1.881917459192E-02
      1.500000000000E+00      1.250595485274E-03      2.683706990896E-04      2.012915310150E-04      1.789103448258E-04      1.677139491398E-04      1.609914732543E-04      1.565059577913E-04      1.532987058741E-04      1.508903690646E-04      1.490146426741E-04      1.922387584492E-02
      1.600000000000E+00      1.277646793883E-03      2.737197353706E-04      2.053038520593E-04      1.824767399352E-04      1.710573389309E-04      1.642010261127E-04      1.596262579344E-04      1.563552300174E-04      1.538990401733E-04      1.519860760750E-04      1.974919759677E-02
      1.700000000000E+00      1.312845202267E-03      2.811658195074E-04      2.108891900754E-04      1.874412655651E-04      1.757113758847E-04      1.686687040487E-04      1.639696417035E-04      1.606097852673E-04      1.580869329501E-04      1.561220837571E-04      2.025610510344E-02
      1.800000000000E+00      1.346223666807E-03      2.884681862274E-04      2.163667452768E-04      1.923099348775E-04      1.802755012377E-04      1.730500223884E-04      1.682290215212E-04      1.647820085737E-04      1.621937385152E-04      1.601779641061E-04      2.066245476312E-02
      1.900000000000E+00      1.370529833692E-03      2.938843059703E-04      2.204294266483E-04      1.959210073768E-04      1.836606941554E-04      1.762996275654E-04      1.713881848873E-04      1.678765278119E-04      1.652397371847E-04      1.631861912539E-04      2.092584689829E-02
      2.000000000000E+00      1.382030855725E-03      2.964316415910E-04      2.223402103969E-04      1.976194880728E-04      1.852530255988E-04      1.778282712992E-04      1.728743716796E-04      1.693323895260E-04      1.666728562322E-04      1.646016225725E-04      2.103534073278E-02
      2.100000000000E+00      1.380318840276E-03      2.959081830083E-04      2.219475583054E-04      1.972707836750E-04      1.849264150326E-04      1.775150129126E-04      1.725700946216E-04      1.690345961474E-04      1.663799854834E-04      1.643126337381E-04      2.100157510183E-02
      2.200000000000E+00      1.367463754568E-03      2.927355231417E-04      2.195677131340E-04      1.951560368911E-04      1.829444693970E-04      1.756129492854E-04      1.707214533853E-04      1.672242574808E-04      1.645984994629E-04      1.625537003831E-04      2.084785822396E-02
      2.300000000000E+00      1.346928187896E-03      2.877057292623E-04      2.157948201593E-04      1.918033337669E-04      1.798022289203E-04      1.725972802180E-04      1.677904100399E-04      1.643538708342E-04      1.617737888249E-04      1.597646785807E-04      2.060956777540E-02
      2.400000000000E+00      1.322513437832E-03      2.817036521474E-04      2.112926213331E-04      1.878025658706E-04      1.760526219392E-04      1.689987257192E-04      1.642928537229E-04      1.609287101692E-04      1.584031471673E-04      1.564366381115E-04      2.034047548305E-02
      2.500000000000E+00      1.297359683502E-03      2.754550386257E-04      2.066055082346E-04      1.836375243842E-04      1.721490972177E-04      1.652524953726E-04      1.606518064645E-04      1.573630680429E-04      1.548942988818E-04      1.529721760787E-04      2.009594400127E-02
      2.600000000000E+00      1.273105836296E-03      2.693316417717E-04      2.020123349338E-04      1.795560029487E-04      1.683238894103E-04      1.615814654623E-04      1.570838864968E-04      1.538690762537E-04      1.514559966023E-04      1.495774041369E-04      1.988996101026E-02
      2.700000000000E+00      1.249614609139E-03      2.632339614095E-04      1.974384656098E-04      1.754916402836E-04      1.645147676315E-04      1.579258778621E-04      1.535309796461E-04      1.503897909831E-04      1.480321708747E-04      1.461969298764E-04      1.972504307592E-02
      2.800000000000E+00      1.224942772416E-03      2.565686032461E-04      1.924387971928E-04      1.710488161932E-04      1.603508632571E-04      1.539297230062E-04      1.496469891518E-04      1.465862018550E-04      1.442891311971E-04      1.425012050003E-04      1.963590122710E-02
      2.900000000000E+00      1.195044712080E-03      2.483337890862E-04      1.862619067925E-04      1.655596311441E-04      1.552060504215E-04      1.489919488185E-04      1.448475867925E-04      1.418859331097E-04      1.396634721544E-04      1.379338063616E-04      1.962418842080E-02
