# M=20, N=10, V0=0.0, Vp0=0.0, Vp=0.0, V=1.5, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-11 02:19:57
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -4.440892098501E-16      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      1.199040866595E-13
      1.000000000000E-01      2.590882156262E-02      8.077716540988E-03      6.070587939254E-03      5.394143250844E-03      5.055152773062E-03      4.851163755969E-03      4.714675365798E-03      4.616758597892E-03      4.542948951238E-03      4.485210593453E-03      1.163022342365E-01
      2.000000000000E-01      7.749733523754E-02      3.046999465284E-02      2.303018672398E-02      2.044396036691E-02      1.913825939630E-02      1.834584011013E-02      1.781007395931E-02      1.742096179238E-02      1.712350412786E-02      1.688714604601E-02      2.134312538147E-01
      3.000000000000E-01      1.358594948344E-01      6.216107097512E-02      4.737667075197E-02      4.199907472458E-02      3.924695851258E-02      3.755430178992E-02      3.639172740314E-02      3.553208680795E-02      3.486180262574E-02      3.431778312690E-02      2.902539532366E-01
      4.000000000000E-01      1.892538408664E-01      9.635597899506E-02      7.412761816852E-02      6.561173238366E-02      6.116738013414E-02      5.838729883929E-02      5.644194200711E-02      5.497416592488E-02      5.380534345779E-02      5.283627756768E-02      3.472214613330E-01
      5.000000000000E-01      2.306036726969E-01      1.263563923091E-01      9.803721595001E-02      8.662562479176E-02      8.052885013127E-02      7.664292413794E-02      7.387198952818E-02      7.174130046015E-02      7.001317050939E-02      6.855564498777E-02      3.857675834238E-01
      6.000000000000E-01      2.567019589351E-01      1.472749485028E-01      1.149676735996E-01      1.013759853256E-01      9.393731062596E-02      8.910662916859E-02      8.560275339909E-02      8.286616618465E-02      8.061612539541E-02      7.869669130295E-02      4.078209121931E-01
      7.000000000000E-01      2.673287432316E-01      1.570156560690E-01      1.229272413439E-01      1.081070393382E-01      9.981421104876E-02      9.433538211361E-02      9.030376698226E-02      8.711761075852E-02      8.447392771450E-02      8.220403177024E-02      4.155142728458E-01
      8.000000000000E-01      2.644699614203E-01      1.563359067138E-01      1.223701865120E-01      1.072541644380E-01      9.863270070127E-02      9.285006390468E-02      8.854421941882E-02      8.511128574084E-02      8.224584668986E-02      7.977712403351E-02      4.111710829675E-01
      9.000000000000E-01      2.517765061695E-01      1.481727471815E-01      1.156992537658E-01      1.010045738123E-01      9.248816117797E-02      8.670182481253E-02      8.235118425059E-02      7.885909247035E-02      7.593221717567E-02      7.340560466850E-02      3.975833682555E-01
