# M=8, N=4, V0=0.0, Vp0=0.0, Vp=0.0, V=1.6, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 08:56:51
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      6.661338147751E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      4.440892098501E-16      8.881784197001E-16
      1.000000000000E-01      3.011614013530E-02      9.678361069761E-03      7.276448135211E-03      6.464686416762E-03      6.057502479584E-03      5.812186675466E-03      5.647805196547E-03      5.529671951646E-03      5.440443900369E-03      5.370486025878E-03      1.263092375042E-01
      2.000000000000E-01      8.924174856463E-02      3.644498574348E-02      2.758899043466E-02      2.447763542680E-02      2.290046340359E-02      2.193895333629E-02      2.128532848996E-02      2.080764972342E-02      2.043994802302E-02      2.014557517153E-02      2.304135166903E-01
      3.000000000000E-01      1.551075741570E-01      7.412508412784E-02      5.667769005727E-02      5.019202287324E-02      4.684099712306E-02      4.476073583047E-02      4.331684849214E-02      4.223685949134E-02      4.138452787712E-02      4.068418699990E-02      3.115763313795E-01
      4.000000000000E-01      2.143641865442E-01      1.144207171764E-01      8.847363018469E-02      7.819450683593E-02      7.274058820765E-02      6.927995113209E-02      6.682208669764E-02      6.493912619939E-02      6.341702984067E-02      6.213701405356E-02      3.708647970516E-01
      5.000000000000E-01      2.595300566993E-01      1.493592181907E-01      1.166666966994E-01      1.029189399745E-01      9.540694942010E-02      9.053329878992E-02      8.699847000633E-02      8.423570359608E-02      8.196104331143E-02      8.001705177144E-02      4.104793534100E-01
      6.000000000000E-01      2.878388590629E-01      1.734486383665E-01      1.364686567841E-01      1.201784532440E-01      1.110424678845E-01      1.050017002125E-01      1.005482960415E-01      9.701779365273E-02      9.407645954680E-02      9.153930531421E-02      4.331890207209E-01
      7.000000000000E-01      2.998540011251E-01      1.846338828141E-01      1.457694624888E-01      1.281658699395E-01      1.181177149020E-01      1.113861057189E-01      1.063695594372E-01      1.023573893624E-01      9.899190157875E-02      9.607475297389E-02      4.419447001858E-01
      8.000000000000E-01      2.981578357342E-01      1.839090162850E-01      1.451646200082E-01      1.274782714182E-01      1.173141178540E-01      1.104635724023E-01      1.053312432089E-01      1.012082254738E-01      9.773762475067E-02      9.472153755065E-02      4.397394419862E-01
      9.000000000000E-01      2.863479125686E-01      1.741421241173E-01      1.370433090885E-01      1.202943260679E-01      1.107108716989E-01      1.042614197365E-01      9.943131253750E-02      9.555028617370E-02      9.228144150361E-02      8.943809198282E-02      4.296444377814E-01
      1.000000000000E+00      2.681786945247E-01      1.587346553329E-01      1.243370431711E-01      1.092275670515E-01      1.007087992544E-01      9.502976720736E-02      9.080634949617E-02      8.743054297015E-02      8.459743059067E-02      8.213814354206E-02      4.147102872633E-01
      1.100000000000E+00      2.466299933996E-01      1.405233096423E-01      1.094792129013E-01      9.638098844243E-02      8.916720079943E-02      8.444188424563E-02      8.098031032728E-02      7.824880792998E-02      7.598017386144E-02      7.402635620032E-02      3.973524663135E-01
      1.200000000000E+00      2.231300676983E-01      1.212146689529E-01      9.390891843112E-02      8.292570147286E-02      7.704775287185E-02      7.328969171222E-02      7.059997771364E-02      6.852355774730E-02      6.683275993382E-02      6.540127920523E-02      3.783764978140E-01
      1.300000000000E+00      1.975611989517E-01      1.014941199252E-01      7.819257345398E-02      6.926073305598E-02      6.461378969245E-02      6.171986286337E-02      5.970529442081E-02      5.819385716569E-02      5.699737493893E-02      5.601134953218E-02      3.566560494596E-01
      1.400000000000E+00      1.692833984873E-01      8.166480520667E-02      6.257121129988E-02      5.555043552469E-02      5.197607226904E-02      4.979731747052E-02      4.831715375802E-02      4.723626987398E-02      4.640498895191E-02      4.574016173917E-02      3.301309404800E-01
      1.500000000000E+00      1.386540364640E-01      6.243219671473E-02      4.758676735190E-02      4.229517800075E-02      3.963338794767E-02      3.803008674322E-02      3.695622201533E-02      3.618489987121E-02      3.560266870517E-02      3.514649988921E-02      2.975685173566E-01
