# M=4, N=2, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.2, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 08:54:53
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      4.440892098501E-16
      1.000000000000E-01      9.966636271240E-04      1.947167048281E-04      1.460446385305E-04      1.298174568818E-04      1.217038658267E-04      1.168357111937E-04      1.135902747716E-04      1.112721058987E-04      1.095334792440E-04      1.081812140682E-04      1.954093289676E-02
      2.000000000000E-01      3.207097316437E-03      7.181275802982E-04      5.386924266435E-04      4.788377331633E-04      4.489103748457E-04      4.309539598519E-04      4.189830165228E-04      4.104323427161E-04      4.040193373612E-04      3.990314443073E-04      3.719091829596E-02
      3.000000000000E-01      5.810132528150E-03      1.406961544206E-03      1.055592670531E-03      9.383047510029E-04      8.796607041418E-04      8.444742759762E-04      8.210166571991E-04      8.042612152155E-04      7.916946337277E-04      7.819206259040E-04      5.166960583046E-02
      4.000000000000E-01      8.067043643590E-03      2.046346026759E-03      1.535545754982E-03      1.364930037146E-03      1.279621910168E-03      1.228437033761E-03      1.194313782824E-03      1.169940032154E-03      1.151659719151E-03      1.137441697927E-03      6.198034907015E-02
      5.000000000000E-01      9.393508129579E-03      2.436834127221E-03      1.828740812346E-03      1.625548194868E-03      1.523951433380E-03      1.462993376046E-03      1.422354671156E-03      1.393327024806E-03      1.371556290043E-03      1.354623496339E-03      6.744288170463E-02
      6.000000000000E-01      9.459836830502E-03      2.456619124732E-03      1.843597758176E-03      1.638754388752E-03      1.536332240169E-03      1.474878950563E-03      1.433910090825E-03      1.404646619584E-03      1.382699016153E-03      1.365628657929E-03      6.770674853063E-02
      7.000000000000E-01      8.249753559346E-03      2.099529408155E-03      1.575474719086E-03      1.400422487892E-03      1.312896082780E-03      1.260380239469E-03      1.225369677261E-03      1.200362132827E-03      1.181606474502E-03      1.167018740249E-03      6.275519533871E-02
      8.000000000000E-01      6.063303588995E-03      1.476953550600E-03      1.108124577047E-03      9.849998033293E-04      9.234373157143E-04      8.864998230859E-04      8.618748280000E-04      8.442855457960E-04      8.310935841429E-04      8.208331695240E-04      5.290530103962E-02
      9.000000000000E-01      3.463320006272E-03      7.830951639668E-04      5.874364151671E-04      5.221657290734E-04      4.895303710136E-04      4.699491561730E-04      4.568950129460E-04      4.475706249267E-04      4.405773339122E-04      4.351381075677E-04      3.880464207027E-02
      1.000000000000E+00      1.178017249103E-03      2.343940841314E-04      1.758058660686E-04      1.562718816653E-04      1.465048890613E-04      1.406446934989E-04      1.367378964573E-04      1.339473271419E-04      1.318544001553E-04      1.302265680545E-04      2.141920997105E-02
      1.100000000000E+00      1.488698293339E-05      2.010348693515E-06      1.507762277919E-06      1.340233136027E-06      1.256468564970E-06      1.206209822358E-06      1.172703994023E-06      1.148771259452E-06      1.130821708495E-06      1.116860946615E-06      2.003158999615E-03
      1.200000000000E+00      8.272802275588E-04      1.584329221062E-04      1.188293985126E-04      1.056261322321E-04      9.902449896770E-05      9.506351900901E-05      9.242286570310E-05      9.053668477044E-05      8.912204907086E-05      8.802177686018E-05      1.764345572110E-02
      1.300000000000E+00      2.954783968310E-03      6.548679040944E-04      4.912313729365E-04      4.366501248906E-04      4.093594920885E-04      3.929851124050E-04      3.820688592826E-04      3.742715356239E-04      3.684235428797E-04      3.638751040788E-04      3.554507022086E-02
      1.400000000000E+00      5.553352568498E-03      1.336458996999E-03      1.002679444406E-03      8.912707500649E-04      8.355663282482E-04      8.021436751183E-04      7.798619063650E-04      7.639463572556E-04      7.520096954234E-04      7.427256251096E-04      5.039173974313E-02
      1.500000000000E+00      7.874762371759E-03      1.990592919208E-03      1.493688637995E-03      1.327723672959E-03      1.244740943707E-03      1.194951305959E-03      1.161758214127E-03      1.138048862818E-03      1.120266849337E-03      1.106436394407E-03      6.115648220859E-02
      1.600000000000E+00      9.314243140739E-03      2.413221813688E-03      1.811010052312E-03      1.609787496055E-03      1.509175778217E-03      1.448808747088E-03      1.408564059669E-03      1.379817854370E-03      1.358258200395E-03      1.341489580637E-03      6.712646809365E-02
      1.700000000000E+00      9.513063127553E-03      2.472513087637E-03      1.855532956035E-03      1.649363469666E-03      1.546278253545E-03      1.484427123404E-03      1.443193036642E-03      1.413740117527E-03      1.391650428191E-03      1.374469558707E-03      6.791790004118E-02
      1.800000000000E+00      8.422423440076E-03      2.149971782865E-03      1.613346777236E-03      1.434086577658E-03      1.344456166973E-03      1.290677920295E-03      1.254825755842E-03      1.229217066947E-03      1.210010550276E-03      1.195072148421E-03      6.348051650228E-02
      1.900000000000E+00      6.312178157458E-03      1.546209601274E-03      1.160105931799E-03      1.031205478436E-03      9.667551361460E-04      9.280849307002E-04      9.023047937362E-04      8.838904101907E-04      8.700796225314E-04      8.593378987964E-04      5.409799109502E-02
      2.000000000000E+00      3.722661763299E-03      8.495614213822E-04      6.373064717174E-04      5.664946756245E-04      5.310887584082E-04      5.098452080720E-04      4.956828411810E-04      4.855668648304E-04      4.779798825674E-04      4.720788963628E-04      4.038509703360E-02
      2.100000000000E+00      1.370511257248E-03      2.773372757475E-04      2.080173812210E-04      1.849043400486E-04      1.733478187956E-04      1.664139060438E-04      1.617912975426E-04      1.584894343275E-04      1.560130369160E-04      1.540869500406E-04      2.327687614843E-02
      2.200000000000E+00      5.393383457830E-05      8.034920289668E-06      6.026202322151E-06      5.356624286468E-06      5.021835268626E-06      4.820961857832E-06      4.687046250673E-06      4.591392245512E-06      4.519651741752E-06      4.463853572112E-06      4.000699034522E-03
      2.300000000000E+00      6.707111924417E-04      1.256595908559E-04      9.424765407740E-05      8.377569262352E-05      7.853971183458E-05      7.539812336110E-05      7.330373104564E-05      7.180773653448E-05      7.068574065117E-05      6.981307718634E-05      1.572821224057E-02
      2.400000000000E+00      2.707174437044E-03      5.935198686061E-04      4.452059774439E-04      3.957386582401E-04      3.710049921024E-04      3.561647924183E-04      3.462713259622E-04      3.392045642079E-04      3.339044928922E-04      3.297822152022E-04      3.386827154284E-02
      2.500000000000E+00      5.293667045990E-03      1.265672968213E-03      9.495553413321E-04      8.440493050956E-04      7.912962235774E-04      7.596443746344E-04      7.385431420057E-04      7.234708329851E-04      7.121666012198E-04      7.033744209577E-04      4.907256935425E-02
      2.600000000000E+00      7.673404929337E-03      1.932449642104E-03      1.450038327640E-03      1.288923359691E-03      1.208365649983E-03      1.160031023984E-03      1.127807939985E-03      1.104791451414E-03      1.087529084985E-03      1.074102799985E-03      6.028413275416E-02
      2.700000000000E+00      9.222240628387E-03      2.385858228804E-03      1.790462681930E-03      1.591523140472E-03      1.492052944827E-03      1.432370827035E-03      1.392582748506E-03      1.364162692414E-03      1.342847650345E-03      1.326269284292E-03      6.675771000851E-02
      2.800000000000E+00      9.553053855568E-03      2.484464828632E-03      1.864507897723E-03      1.657341207893E-03      1.553757383147E-03      1.491607087821E-03      1.450173557604E-03      1.420578178878E-03      1.398381644833E-03      1.381117673909E-03      6.807620149444E-02
      2.900000000000E+00      8.584611969720E-03      2.197510698037E-03      1.649039799510E-03      1.465813746131E-03      1.374200387455E-03      1.319232371957E-03      1.282587028291E-03      1.256411782816E-03      1.236780348710E-03      1.221511455516E-03      6.415584159257E-02
      3.000000000000E+00      6.556085597652E-03      1.614506651603E-03      1.211369258789E-03      1.076772908706E-03      1.009474602045E-03      9.690956179630E-04      9.421762952418E-04      9.229482075839E-04      9.085271418403E-04      8.973107573732E-04      5.524687420882E-02
