# M=8, N=4, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.7, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 08:56:30
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      4.440892098501E-16      4.440892098501E-16      2.220446049250E-16      2.220446049250E-16      4.440892098501E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      2.220446049250E-16      8.881784197001E-16
      1.000000000000E-01      7.312031703120E-03      1.857823544955E-03      1.394015619089E-03      1.239002727925E-03      1.161449884136E-03      1.114881321991E-03      1.083804901017E-03      1.061581132205E-03      1.044890271059E-03      1.031888015086E-03      5.745372482145E-02
      2.000000000000E-01      2.305738103615E-02      7.058595219329E-03      5.303332545868E-03      4.712242715406E-03      4.415980615150E-03      4.237664248671E-03      4.118320825174E-03      4.032676241019E-03      3.968093446104E-03      3.917551858770E-03      1.087496400138E-01
      3.000000000000E-01      4.229474052476E-02      1.458357829973E-02      1.097795300127E-02      9.749852343515E-03      9.132398837687E-03      8.759337008073E-03      8.508472502006E-03      8.327435359940E-03      8.190040634404E-03      8.081741169385E-03      1.521346647782E-01
      4.000000000000E-01      6.140946471384E-02      2.303526564511E-02      1.737749362401E-02      1.542384612460E-02      1.443730764354E-02      1.383815861478E-02      1.343271453482E-02      1.313796153221E-02      1.291239289355E-02      1.273294961922E-02      1.866184501520E-01
      5.000000000000E-01      7.776031952192E-02      3.099035369798E-02      2.342664214838E-02      2.077689994469E-02      1.943147738305E-02      1.860919132806E-02      1.804851185776E-02      1.763733288733E-02      1.731960226570E-02      1.706418112842E-02      2.118821598312E-01
      6.000000000000E-01      8.975474677423E-02      3.733284974260E-02      2.826763951320E-02      2.504755401281E-02      2.340210472885E-02      2.238916791952E-02      2.169258325623E-02      2.117680332871E-02      2.077405699185E-02      2.044669711103E-02      2.281710232060E-01
      7.000000000000E-01      9.684428762273E-02      4.147473232751E-02      3.143775807725E-02      2.782773851640E-02      2.597029808869E-02      2.481789857824E-02      2.401819963312E-02      2.342011353716E-02      2.294810220516E-02      2.256020757001E-02      2.362055906856E-01
      8.000000000000E-01      9.940849841857E-02      4.341429194477E-02      3.292466276797E-02      2.911100176630E-02      2.713495298816E-02      2.589909328793E-02      2.503360292886E-02      2.437987344674E-02      2.385861127009E-02      2.342577745665E-02      2.371315876638E-01
      9.000000000000E-01      9.854836040598E-02      4.363583792272E-02      3.309460223004E-02      2.922735172220E-02      2.720998965697E-02      2.593847936803E-02      2.504025624640E-02      2.435551821386E-02      2.380438083046E-02      2.334248294592E-02      2.325202636873E-01
      1.000000000000E+00      9.581353638692E-02      4.289871209006E-02      3.252925896408E-02      2.869713632905E-02      2.668624417968E-02      2.541013465428E-02      2.450184441745E-02      2.380396642812E-02      2.323781957360E-02      2.275971670175E-02      2.244497195568E-01
      1.100000000000E+00      9.288714811634E-02      4.198642126672E-02      3.182987962931E-02      2.805657907360E-02      2.606777264707E-02      2.479922144724E-02      2.389126974899E-02      2.318964292761E-02      2.261723057502E-02      2.213122219819E-02      2.157506042142E-01
      1.200000000000E+00      9.123279075853E-02      4.148593284820E-02      3.144634020575E-02      2.770625454169E-02      2.573044328366E-02      2.446686936094E-02      2.355990819479E-02      2.285701377697E-02      2.228194238505E-02      2.179236712658E-02      2.102721110730E-01
      1.300000000000E+00      9.163553715809E-02      4.164766561282E-02      3.157026973714E-02      2.781680739002E-02      2.583438310001E-02      2.456693231948E-02      2.365746317319E-02      2.295284238856E-02      2.237653247444E-02      2.188604326044E-02      2.113469238595E-01
      1.400000000000E+00      9.378609433832E-02      4.234763814535E-02      3.210675461096E-02      2.830421809944E-02      2.630123109979E-02      2.502457670725E-02      2.411156036600E-02      2.340660250849E-02      2.283193980555E-02      2.234439872507E-02      2.179867177238E-01
      1.500000000000E+00      9.650351504037E-02      4.314511702973E-02      3.271821601839E-02      2.886858622689E-02      2.685025459293E-02      2.557071954870E-02      2.466100385370E-02      2.396283667705E-02      2.339710419900E-02      2.291987816534E-02      2.262085579597E-01
      1.600000000000E+00      9.831604129976E-02      4.341008565768E-02      3.292143648023E-02      2.907963630473E-02      2.707769182772E-02      2.581740811768E-02      2.492829769450E-02      2.425145320580E-02      2.370743646982E-02      2.325213308089E-02      2.327008161944E-01
      1.700000000000E+00      9.783263251037E-02      4.248767805232E-02      3.221411041240E-02      2.848845102022E-02      2.656058962934E-02      2.535661894923E-02      2.451483996960E-02      2.388013500880E-02      2.337495470644E-02      2.295622767105E-02      2.352964886361E-01
      1.800000000000E+00      9.395796427625E-02      3.986822788414E-02      3.020734239102E-02      2.674509589116E-02      2.496674066162E-02      2.386546193510E-02      2.310287119690E-02      2.253387328629E-02      2.208592538944E-02      2.171873212319E-02      2.325135579822E-01
      1.900000000000E+00      8.605433501337E-02      3.533549250952E-02      2.674138381327E-02      2.370229050142E-02      2.215259538087E-02      2.120086173794E-02      2.054818188738E-02      2.006641332110E-02      1.969148666209E-02      1.938781037847E-02      2.232908243613E-01
      2.000000000000E+00      7.407992999191E-02      2.906738417723E-02      2.196209188794E-02      1.948489873156E-02      1.823007937491E-02      1.746531656010E-02      1.694560864703E-02      1.656593900624E-02      1.627379986153E-02      1.604002098966E-02      2.069005189843E-01
      2.100000000000E+00      5.870758274476E-02      2.166415728863E-02      1.633740861583E-02      1.450614384754E-02      1.358363500923E-02      1.302504188263E-02      1.264841312502E-02      1.237576527768E-02      1.216810670979E-02      1.200377554603E-02      1.829767408340E-01
      2.200000000000E+00      4.141273046361E-02      1.408448717155E-02      1.060091293887E-02      9.418252176679E-03      8.824916060644E-03      8.467410608084E-03      8.227821379320E-03      8.055612961233E-03      7.925517655720E-03      7.823497865204E-03      1.516766193895E-01
      2.300000000000E+00      2.451717362077E-02      7.486086587134E-03      5.625125432984E-03      4.999445156711E-03      4.686328309588E-03      4.498249630585E-03      4.372690085132E-03      4.282855761055E-03      4.215349702376E-03      4.162729156016E-03      1.141536060333E-01
      2.400000000000E+00      1.123178732618E-02      2.993809878934E-03      2.247041313569E-03      1.997370712107E-03      1.872534254156E-03      1.797632125566E-03      1.747697162497E-03      1.712029151157E-03      1.685277984646E-03      1.664471381355E-03      7.447296453114E-02
      2.500000000000E+00      5.935593696820E-03      1.445608641434E-03      1.084598693642E-03      9.640738408498E-04      9.038060303153E-04      8.676411213400E-04      8.435276632017E-04      8.263007483993E-04      8.133779231834E-04      8.033244910253E-04      5.208892524976E-02
      2.600000000000E+00      1.177663162318E-02      3.182710323834E-03      2.388936090119E-03      2.123358064867E-03      1.990514187634E-03      1.910764979093E-03      1.857563106600E-03      1.819531140509E-03      1.790980366006E-03      1.768750385981E-03      7.587445047524E-02
      2.700000000000E+00      2.553943219358E-02      7.946381082133E-03      5.971688560308E-03      5.306115484461E-03      4.972517568020E-03      4.771729656391E-03      4.637346857825E-03      4.540909856975E-03      4.468188998247E-03      4.411278919616E-03      1.154148512418E-01
      2.800000000000E+00      4.311395385761E-02      1.491884235179E-02      1.123128335527E-02      9.974806736781E-03      9.343062041369E-03      8.961351254079E-03      8.704659022403E-03      8.519406306556E-03      8.378803620380E-03      8.267967955175E-03      1.538289722132E-01
      2.900000000000E+00      6.115566068188E-02      2.290656578064E-02      1.727983407896E-02      1.533767440040E-02      1.435714633729E-02      1.376180372079E-02      1.335906366361E-02      1.306638461006E-02      1.284249599115E-02      1.266446998303E-02      1.862723657720E-01
      3.000000000000E+00      7.708650870750E-02      3.062128038631E-02      2.314543840149E-02      2.052946777197E-02      1.920202668506E-02      1.839133668336E-02      1.783905761202E-02      1.743445181359E-02      1.712215124763E-02      1.687139698464E-02      2.110593301078E-01
      3.100000000000E+00      8.920722765574E-02      3.698147889394E-02      2.799902706238E-02      2.481331303049E-02      2.318701312646E-02      2.218701149921E-02      2.150024743654E-02      2.099250489058E-02      2.059667807744E-02      2.027548912873E-02      2.277193321733E-01
      3.200000000000E+00      9.676200301366E-02      4.134789085646E-02      3.134057243443E-02      2.774615061628E-02      2.589854572965E-02      2.475356308704E-02      2.396006216268E-02      2.336747225464E-02      2.290051325285E-02      2.251736982894E-02      2.364765390509E-01
      3.300000000000E+00      9.989765958400E-02      4.362576455953E-02      3.308687490127E-02      2.925666068082E-02      2.727284457358E-02      2.603274760313E-02      2.516478373740E-02      2.450958668467E-02      2.398748368725E-02      2.355422492619E-02      2.380635813239E-01
      3.400000000000E+00      9.951331765101E-02      4.420890947145E-02      3.353427686626E-02      2.961193652121E-02      2.756413904846E-02      2.627231702284E-02      2.535886695607E-02      2.466181972863E-02      2.410020843593E-02      2.362907180774E-02      2.336459707638E-01
      3.500000000000E+00      9.701579826974E-02      4.379049469054E-02      3.321324545354E-02      2.928786869800E-02      2.722270995799E-02      2.590850156025E-02      2.497025795911E-02      2.424711902152E-02      2.365868072331E-02      2.316030262165E-02      2.248328301243E-01
      3.600000000000E+00      9.401640367531E-02      4.310641714255E-02      3.268853714087E-02      2.879103928193E-02      2.672760472620E-02      2.540512145684E-02      2.445369052346E-02      2.371462623951E-02      2.310861949605E-02      2.259164530656E-02      2.139339761166E-01
      3.700000000000E+00      9.202199811659E-02      4.269488952247E-02      3.237297522315E-02      2.849264796339E-02      2.643063939535E-02      2.510355122940E-02      2.414455446902E-02      2.339627662334E-02      2.278007010880E-02      2.225228199300E-02      2.050400815471E-01
      3.800000000000E+00      9.201669355424E-02      4.274486796120E-02      3.241129530182E-02      2.852458877411E-02      2.645848399823E-02      2.512827030682E-02      2.416664141834E-02      2.341601902643E-02      2.279765321385E-02      2.226783476440E-02      2.045346480075E-01
      3.900000000000E+00      9.367161807130E-02      4.307101942270E-02      3.266139122668E-02      2.876196026195E-02      2.669553142755E-02      2.536972377182E-02      2.441481932188E-02      2.367220843759E-02      2.306262134387E-02      2.254205614937E-02      2.122253860584E-01
      4.000000000000E+00      9.553018562342E-02      4.320854527817E-02      3.276686036000E-02      2.888681241950E-02      2.684287375001E-02      2.554018641893E-02      2.460861985851E-02      2.388939828702E-02      2.330316101834E-02      2.280584814774E-02      2.212084029761E-01
      4.100000000000E+00      9.606096051562E-02      4.258457510789E-02      3.228839722447E-02      2.850469672231E-02      2.652714700704E-02      2.527783741687E-02      2.439301333045E-02      2.371665424900E-02      2.317076793506E-02      2.271204552164E-02      2.273590077221E-01
      4.200000000000E+00      9.408110934028E-02      4.070615927052E-02      3.084897972006E-02      2.727429505076E-02      2.542241550562E-02      2.426409096852E-02      2.345277646211E-02      2.283986002124E-02      2.235104557275E-02      2.194506910547E-02      2.288473960750E-01
