# M=4, N=2, V0=0.0, Vp0=0.0, Vp=0.0, V=-1.8, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 08:54:39
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      4.440892098501E-16
      1.000000000000E-01      4.594207999761E-02      1.572915696563E-02      1.184374817811E-02      1.052799624607E-02      9.869997706939E-03      9.475197806124E-03      9.211997867113E-03      9.023997910642E-03      8.882997943288E-03      8.773331302013E-03      1.626882004265E-01
      2.000000000000E-01      1.304348567442E-01      5.750380437235E-02      4.377260632560E-02      3.892027712355E-02      3.648799466440E-02      3.502848021519E-02      3.405546700388E-02      3.336045747637E-02      3.283920032838E-02      3.243377810210E-02      2.884145584062E-01
      3.000000000000E-01      2.145663410111E-01      1.108676304386E-01      8.563987380354E-02      7.621080736528E-02      7.145119806346E-02      6.859331092458E-02      6.668794882839E-02      6.532697065839E-02      6.430623676097E-02      6.351233260441E-02      3.771566373124E-01
      4.000000000000E-01      2.764849687188E-01      1.573920762319E-01      1.232358219487E-01      1.098060214407E-01      1.029589577842E-01      9.884163893694E-02      9.609611000022E-02      9.413497009038E-02      9.266411156619E-02      9.152011021770E-02      4.315790956530E-01
      5.000000000000E-01      3.054235204805E-01      1.813409793978E-01      1.430241552844E-01      1.275484589271E-01      1.196058975444E-01      1.148239067382E-01      1.116345359456E-01      1.093562954393E-01      1.076476046468E-01      1.063186219900E-01      4.548471559297E-01
      6.000000000000E-01      2.977498472055E-01      1.748488336831E-01      1.376291889147E-01      1.227064829359E-01      1.150622540721E-01      1.104616033899E-01      1.073933688584E-01      1.052016790362E-01      1.035579037618E-01      1.022794112040E-01      4.487930581805E-01
      7.000000000000E-01      2.543388938365E-01      1.400274773867E-01      1.090770583528E-01      9.713836500791E-02      9.107679860102E-02      8.743428134627E-02      8.500558521032E-02      8.327077949725E-02      8.196967370731E-02      8.095770243623E-02      4.129078324761E-01
      8.000000000000E-01      1.813306155479E-01      8.844611725134E-02      6.789345481393E-02      6.039241684723E-02      5.661927804332E-02      5.435455621025E-02      5.284470927489E-02      5.176624589214E-02      5.095739830294E-02      5.032829462031E-02      3.446210189953E-01
      9.000000000000E-01      9.363113802507E-02      3.774240473186E-02      2.858079502304E-02      2.540827037244E-02      2.382029562834E-02      2.286748442565E-02      2.223227653464E-02      2.177855660552E-02      2.143826665856E-02      2.117359669981E-02      2.407263634840E-01
